 &Age[yr]   &Pb-208    
 &1.000E+06 &0.000E+00
 &1.049E+06 &0.000E+00
 &1.100E+06 &0.000E+00
 &1.154E+06 &0.000E+00
 &1.210E+06 &0.000E+00
 &1.269E+06 &0.000E+00
 &1.331E+06 &0.000E+00
 &1.395E+06 &0.000E+00
 &1.463E+06 &0.000E+00
 &1.535E+06 &0.000E+00
 &1.610E+06 &0.000E+00
 &1.688E+06 &0.000E+00
 &1.770E+06 &0.000E+00
 &1.857E+06 &0.000E+00
 &1.947E+06 &0.000E+00
 &2.042E+06 &0.000E+00
 &2.142E+06 &0.000E+00
 &2.246E+06 &0.000E+00
 &2.356E+06 &0.000E+00
 &2.471E+06 &0.000E+00
 &2.591E+06 &0.000E+00
 &2.717E+06 &0.000E+00
 &2.850E+06 &0.000E+00
 &2.989E+06 &0.000E+00
 &3.134E+06 &0.000E+00
 &3.287E+06 &0.000E+00
 &3.447E+06 &0.000E+00
 &3.616E+06 &0.000E+00
 &3.792E+06 &0.000E+00
 &3.977E+06 &0.000E+00
 &4.171E+06 &0.000E+00
 &4.374E+06 &0.000E+00
 &4.587E+06 &0.000E+00
 &4.811E+06 &0.000E+00
 &5.045E+06 &0.000E+00
 &5.291E+06 &0.000E+00
 &5.549E+06 &0.000E+00
 &5.820E+06 &0.000E+00
 &6.103E+06 &2.289E-05
 &6.401E+06 &5.066E-05
 &6.713E+06 &7.853E-05
 &7.040E+06 &1.065E-04
 &7.384E+06 &1.347E-04
 &7.744E+06 &1.631E-04
 &8.121E+06 &1.917E-04
 &8.517E+06 &2.193E-04
 &8.932E+06 &2.472E-04
 &9.368E+06 &2.753E-04
 &9.824E+06 &3.035E-04
 &1.030E+07 &3.317E-04
 &1.081E+07 &3.597E-04
 &1.133E+07 &3.876E-04
 &1.189E+07 &4.113E-04
 &1.246E+07 &4.349E-04
 &1.307E+07 &4.584E-04
 &1.371E+07 &4.819E-04
 &1.438E+07 &5.053E-04
 &1.508E+07 &5.285E-04
 &1.581E+07 &5.516E-04
 &1.658E+07 &5.745E-04
 &1.739E+07 &5.974E-04
 &1.824E+07 &6.202E-04
 &1.913E+07 &6.429E-04
 &2.006E+07 &6.653E-04
 &2.104E+07 &6.876E-04
 &2.207E+07 &7.098E-04
 &2.314E+07 &7.319E-04
 &2.427E+07 &7.540E-04
 &2.545E+07 &7.759E-04
 &2.670E+07 &7.978E-04
 &2.800E+07 &8.195E-04
 &2.936E+07 &8.412E-04
 &3.079E+07 &8.629E-04
 &3.229E+07 &8.844E-04
 &3.387E+07 &9.059E-04
 &3.552E+07 &9.273E-04
 &3.725E+07 &9.487E-04
 &3.907E+07 &9.700E-04
 &4.097E+07 &9.913E-04
 &4.297E+07 &1.012E-03
 &4.507E+07 &1.034E-03
 &4.726E+07 &1.056E-03
 &4.957E+07 &1.078E-03
 &5.198E+07 &1.100E-03
 &5.452E+07 &1.122E-03
 &5.718E+07 &1.143E-03
 &5.996E+07 &1.165E-03
 &6.289E+07 &1.187E-03
 &6.595E+07 &1.208E-03
 &6.917E+07 &1.230E-03
 &7.254E+07 &1.252E-03
 &7.608E+07 &1.273E-03
 &7.979E+07 &1.295E-03
 &8.368E+07 &1.316E-03
 &8.775E+07 &1.338E-03
 &9.203E+07 &1.359E-03
 &9.652E+07 &1.381E-03
 &1.012E+08 &1.404E-03
 &1.062E+08 &1.427E-03
 &1.113E+08 &1.449E-03
 &1.168E+08 &1.472E-03
 &1.225E+08 &1.494E-03
 &1.284E+08 &1.516E-03
 &1.347E+08 &1.539E-03
 &1.413E+08 &1.561E-03
 &1.481E+08 &1.583E-03
 &1.554E+08 &1.608E-03
 &1.629E+08 &1.635E-03
 &1.709E+08 &1.661E-03
 &1.792E+08 &1.688E-03
 &1.879E+08 &1.714E-03
 &1.971E+08 &1.741E-03
 &2.067E+08 &1.767E-03
 &2.168E+08 &1.793E-03
 &2.274E+08 &1.819E-03
 &2.385E+08 &1.846E-03
 &2.501E+08 &1.872E-03
 &2.623E+08 &1.898E-03
 &2.751E+08 &1.924E-03
 &2.885E+08 &1.949E-03
 &3.025E+08 &1.970E-03
 &3.173E+08 &1.992E-03
 &3.327E+08 &2.014E-03
 &3.490E+08 &2.035E-03
 &3.660E+08 &2.057E-03
 &3.838E+08 &2.079E-03
 &4.025E+08 &2.100E-03
 &4.222E+08 &2.122E-03
 &4.427E+08 &2.144E-03
 &4.643E+08 &2.165E-03
 &4.870E+08 &2.186E-03
 &5.107E+08 &2.208E-03
 &5.356E+08 &2.229E-03
 &5.617E+08 &2.250E-03
 &5.891E+08 &2.271E-03
 &6.178E+08 &2.292E-03
 &6.479E+08 &2.313E-03
 &6.795E+08 &2.334E-03
 &7.127E+08 &2.354E-03
 &7.474E+08 &2.373E-03
 &7.838E+08 &2.393E-03
 &8.221E+08 &2.412E-03
 &8.621E+08 &2.431E-03
 &9.042E+08 &2.449E-03
 &9.483E+08 &2.468E-03
 &9.945E+08 &2.487E-03
 &1.043E+09 &2.505E-03
 &1.094E+09 &2.524E-03
 &1.147E+09 &2.542E-03
 &1.203E+09 &2.561E-03
 &1.262E+09 &2.579E-03
 &1.323E+09 &2.597E-03
 &1.388E+09 &2.615E-03
 &1.455E+09 &2.633E-03
 &1.526E+09 &2.650E-03
 &1.601E+09 &2.668E-03
 &1.679E+09 &2.685E-03
 &1.761E+09 &2.702E-03
 &1.846E+09 &2.719E-03
 &1.937E+09 &2.736E-03
 &2.031E+09 &2.752E-03
 &2.130E+09 &2.769E-03
 &2.234E+09 &2.785E-03
 &2.343E+09 &2.801E-03
 &2.457E+09 &2.817E-03
 &2.577E+09 &2.832E-03
 &2.702E+09 &2.848E-03
 &2.834E+09 &2.864E-03
 &2.972E+09 &2.879E-03
 &3.117E+09 &2.894E-03
 &3.269E+09 &2.910E-03
 &3.428E+09 &2.925E-03
 &3.596E+09 &2.940E-03
 &3.771E+09 &2.955E-03
 &3.955E+09 &2.970E-03
 &4.148E+09 &2.985E-03
 &4.350E+09 &2.999E-03
 &4.562E+09 &3.014E-03
 &4.784E+09 &3.028E-03
 &5.017E+09 &3.043E-03
 &5.262E+09 &3.057E-03
 &5.519E+09 &3.071E-03
 &5.788E+09 &3.085E-03
 &6.070E+09 &3.099E-03
 &6.366E+09 &3.113E-03
 &6.676E+09 &3.127E-03
 &7.002E+09 &3.140E-03
