[Fe/H] err  [C/Fe] err  [Mg/Fe]  err  [Si/Fe]  err  [Ca/Fe]  err   [Sc/Fe]  err   [Ti/Fe] err  [Cr/Fe] err  [Mn/Fe] err  [Co/Fe] err  [Ni/Fe]  err    [Zn/Fe]  err   [Sr/Fe]  err   [Ba/Fe]  err  
-2.97  0.00  0.55  0.15  0.06   0.06   -0.07   0.0   0.29   0.09    0.10    0.0    0.36   0.06  -0.12  0.07  -0.15  0.03   0.28  0.03   -0.03  0.15    0.54    0.0    -1.18   0.0    -30.0  0.0  
-3.05  0.00  0.45  0.15  0.29   0.06    0.31   0.0   0.37   0.10    0.44    0.0    0.38   0.05  -0.24  0.06  -0.24  0.00   0.40  0.04    0.04  0.07    0.28    0.0    -0.57   0.0    -30.0  0.0  
-2.92  0.00  0.40  0.15  0.08   0.06    0.04   0.0   0.29   0.10    0.29    0.0    0.45   0.06  -0.23  0.12  -0.36  0.01   0.31  0.08   -0.07  0.18    0.41    0.0    -0.02   0.0    -0.26  0.0  
-3.10  0.00  0.38  0.15  0.22   0.06    0.15   0.0   0.27   0.08    0.21    0.0    0.27   0.05  -0.22  0.04  -0.17  0.05   0.37  0.08    0.02  0.01    0.37    0.0    -0.36   0.0    -30.0  0.0  
-3.30  0.00  0.38  0.15  0.23   0.10    0.31   0.0   0.31   0.16    0.28    0.0    0.39   0.04  -0.28  0.09  -0.34  0.00   0.57  0.11    0.08  0.08   -30.0    0.0     0.18   0.0    -30.0  0.0  
-3.30  0.00  -30.0  0.0  0.05   0.05   -0.13   0.0   0.30   0.12    0.35    0.0    0.49   0.11  -0.21  0.08  -0.29  0.00   0.50  0.00   -0.01  0.04    0.82    0.0    -0.16   0.0    -0.23  0.0  
-2.89  0.00  0.37  0.15  0.36   0.08   -0.01   0.0   0.24   0.10    0.35    0.0    0.26   0.06  -0.32  0.05  -0.38  0.03   0.39  0.13    0.04  0.11    0.39    0.0    -0.57   0.0    -30.0  0.0  
-3.04  0.00  0.62  0.15  0.25   0.07   -0.02   0.0   0.47   0.16    0.16    0.0    0.44   0.14  -0.16  0.04  -0.11  0.02   0.44  0.21    0.03  0.07    0.67    0.0     0.31   0.0    -30.0  0.0  
-3.07  0.00  0.45  0.15  0.21   0.08    0.27   0.0   0.32   0.14    0.21    0.0    0.38   0.07  -0.23  0.03  -0.30  0.00   0.48  0.12    0.08  0.06    0.50    0.0     0.03   0.0    -0.05  0.0  
-2.70  0.00  0.38  0.15  0.19   0.06    0.00   0.0   0.28   0.06    0.10    0.0    0.50   0.07   0.01  0.04   0.28  0.02   0.36  0.09    0.19  0.09    0.73    0.0    -0.60   0.0    -30.0  0.0  
-2.91  0.00  0.49  0.15  0.28   0.05    0.17   0.0   0.49   0.07    0.36    0.0    0.52   0.08  -0.12  0.05  -0.19  0.01   0.39  0.03    0.04  0.08    0.71    0.0     0.16   0.0     0.18  0.0  
-2.83  0.00  0.41  0.15  0.27   0.06    0.17   0.0   0.46   0.10    0.27    0.0    0.47   0.07  -0.16  0.06  -0.22  0.02   0.45  0.11    0.04  0.12    0.66    0.0     0.36   0.0    -0.35  0.0  
-2.77  0.00 -30.0  0.15  0.06   0.03   -30.0   0.0   0.40   0.22   -30.0    0.0   -30.0    0.0  -0.18  0.05  -30.0  0.00  -30.0  0.00    0.04  0.00    0.33    0.0    -30.0   0.0    -30.0  0.0  
-3.20  0.00 -30.0  0.15  0.19   0.09    0.01   0.0   0.40   0.11    0.41    0.0    0.49   0.03  -0.20  0.08  -0.24  0.00   0.57  0.00    0.07  0.01    0.68    0.0     0.08   0.0    -30.0  0.0  
-3.55  0.00  1.18  0.15  0.43   0.08    0.15   0.0   0.36   0.23    0.26    0.0    0.35   0.12  -0.21  0.15  -0.26  0.00   0.70  0.00   -0.09  0.05    0.98    0.0     0.34   0.0    -30.0  0.0  
-2.75  0.00  0.23  0.15  0.28   0.07    0.17   0.0   0.45   0.08    0.20    0.0    0.45   0.12  -0.16  0.06  -0.19  0.01   0.30  0.11    0.02  0.04    0.55    0.0    -0.32   0.0    -0.28  0.0  
-3.08  0.00  0.56  0.15  0.18   0.03   -0.12   0.0   0.43   0.13    0.17    0.0    0.38   0.09  -0.24  0.06  -0.31  0.00   0.33  0.05   -0.01  0.17    0.47    0.0    -0.10   0.0    -30.0  0.0  
-2.58  0.00  0.56  0.15  0.22   0.06    0.14   0.0   0.40   0.14    0.31    0.0    0.45   0.11  -0.10  0.16  -0.11  0.02   0.38  0.15    0.03  0.05    0.40    0.0     0.21   0.0    -0.40  0.0  
-3.81  0.00  0.34  0.15  0.58   0.05    0.31   0.0   0.39   0.14    0.42    0.0    0.34   0.07  -0.41  0.16  -0.53  0.10   0.39  0.05   -0.05  0.04   -30.0    0.0    -1.59   0.0    -1.0   0.0  
