[Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [TiII/Fe] [Cr/Fe] [Mn/Fe] [FeI/Fe] [FeII/Fe] [Co/Fe] [Ni/Fe] [Zn/Fe]
-2.47  -0.51  -30.0  0.50   -0.16    0.25    -0.01  0.40 0.25 0.32 0.09 0.20 0.24 -0.26 -0.39 0.01 -0.02 0.14 -0.09 0.24 
-2.82  -0.41  -30.0  0.62   -0.27    0.36     0.27  0.47 0.16 0.31 0.11 0.12 0.18 -0.40 -0.41 0.03 -0.04 0.29 0.03 0.16
-2.59  -0.34   0.42  0.75   -0.30    0.39     0.08  0.44 0.31 0.44 0.10 0.25 0.29 -0.33 -0.48 0.01 -0.01 0.21 -0.18 0.13
-2.07  -0.44   0.57  0.69    0.19    0.19    -0.06  0.52 0.47 0.40 0.20 0.23 0.33 -0.22 -0.47 0.02 -0.03 0.36 0.00 0.00
-3.06  -0.02  -30.0  0.42   -0.45    0.31     0.06  0.39 0.17 0.41 0.04 0.16 0.14 -0.34 -0.38 0.00 0.00 0.19 -0.05 0.22
-4.19  -0.33  -30.0 -30.0   -0.56    0.20    -0.02  0.20 -30.0 0.20 0.04 0.37 0.25 -0.44 -0.60 -0.01 0.02 0.37 -0.19 0.69
-3.77   0.25  -30.0 -30.0   -0.67    0.16    -0.25  0.42 0.08 0.35 0.01 0.40 0.18 -0.41 -0.55 -0.06 0.06 0.55 0.08 0.23
-3.36   0.34  -30.0 -30.0   -0.43    0.28     0.04  0.50 0.12 0.38 0.01 0.32 0.24 -0.38 -0.51 0.00 0.01 0.37 0.03 0.18
-2.88  -0.22   0.73 -30.0   -0.08    0.25     0.17  0.60 0.14 0.41 0.06 0.28 0.23 -0.26 -0.43 0.03 -0.03 0.33 0.04 0.23
-3.04   0.28  -30.0 -30.0   -30.0    0.09    -0.22  0.29 0.07 0.13 -0.18 -0.04 -0.10 -0.43 -0.29 0.00 0.00 -0.10 -0.28 0.10
-3.86  -0.03  -30.0  1.04   -0.85    0.20    -0.15  0.41 0.10 0.37 -0.11 0.35 0.14 -0.41 -0.59 0.00 0.00 0.47 -0.15 0.49
-3.00  -0.62  -30.0  0.59    0.84    0.36    -0.13  0.45 0.20 0.35 0.15 0.32 0.30 -0.34 -0.38 0.00 0.00 0.23 -0.02 0.32
-3.49   0.27  -30.0 -30.0   -0.80    0.11    -0.27  0.29 0.05 0.20 0.00 0.13 0.04 -0.42 -0.25 0.00 0.00 0.37 0.06 0.46
-2.99  -0.98  -30.0  0.52    0.21    0.42     0.44  0.34 0.12 0.35 0.02 0.16 0.14 -0.37 -0.43 0.00 0.00 0.24 0.04 0.26
-2.97  -0.15   1.05 -30.0   -0.17    0.52     0.65  0.42 0.16 0.36 0.08 0.20 0.20 -0.51 -0.32 0.04 -0.04 0.17 -0.09 0.18
-3.25  -30.0  -30.0 -30.0   -0.36    0.44    -0.11  0.35 -30.0 0.36 0.12 0.29 0.25 -0.41 -0.54 -0.04 0.04 0.22 -0.23 0.40
-3.78   0.24  -30.0 -30.0   -0.56    0.19    -0.14  0.52 -0.01 0.35 0.37 0.34 0.32 -0.48 -0.54 -0.03 0.03 0.48 0.00 0.44
-3.29  -0.52  -30.0  0.77    0.01    0.34     0.21  0.34 0.17 0.31 0.06 0.24 0.21 -0.38 -0.38 0.00 0.00 0.20 0.02 0.45
-3.03   0.89   0.53  0.47   -0.45    0.22    -0.09  0.43 0.09 0.32 -0.02 0.16 0.13 -0.32 -0.48 -0.01 0.01 0.11 -0.21 0.20
-2.69   0.27  -30.0  0.94   -0.38    0.08    -0.11  0.54 0.10 0.36 0.13 0.27 0.33 -0.23 -0.59 0.01 0.00 0.38 -0.05 0.26
-3.41   0.50  -30.0 -30.0   -0.66    0.26    -0.08  0.41 0.10 0.29 0.02 0.27 0.18 -0.38 -0.22 -0.01 0.01 0.42 0.07 0.67
-3.14  -0.02  -30.0  0.89   -0.35    0.28    -0.18  0.29 0.10 0.27 0.26 0.28 0.20 -0.29 -0.12 -0.01 0.01 0.42 0.14 0.37
-3.97   1.17   2.57  1.98    0.94    1.56     0.48  0.77 -0.12 0.34 0.09 0.35 0.36 -0.42 -0.47 -0.03 0.02 0.33 -0.10 0.66
-3.43  -30.0  -30.0 -30.0   -30.0    0.00     0.19  0.33 0.14 0.14 -0.11 0.10 0.00 -0.46 -0.33 -0.02 0.02 0.13 -0.12 0.25
-2.84   0.32  -30.0  0.75   -0.35    0.13    -0.34  0.25 -0.04 0.22 -0.02 0.15 0.11 -0.41 -0.37 -0.01 0.01 0.17 -0.09 0.15
