[Fe/H] [Mg/Fe] [Na/Fe] [Al/Fe]
-0.35 0.02 0.00 0.14
-1.96 0.38 -0.37 -30.0
-0.31 0.04 0.00 0.16
-0.83 0.31 -0.01 0.52
-0.58 0.34 0.05 0.45
-2.45 0.02 -0.72 -30.0
-1.05 0.32 -0.05 0.30
-0.59 0.31 0.08 0.40
-0.41 0.32 0.11 0.40
-0.63 0.32 0.10 0.38
-1.02 0.32 -0.13 0.15
-0.58 0.26 0.12 0.31
-0.45 0.07 0.01 0.21
-0.53 0.18 -0.03 0.25
-0.83 0.29 -0.03 0.35
-0.74 0.28 -0.01 0.41
-0.82 0.26 0.01 0.37
-0.65 0.39 0.07 0.54
-1.57 0.40 -0.28 -0.11
-1.47 0.41 -0.13 0.11
-0.59 0.44 0.16 0.37
-2.16 0.32 -0.18 -30.0
-0.44 0.09 -0.09 0.17
-0.70 0.36 0.12 0.51
-0.33 0.18 0.02 0.18
-1.88 0.46 -0.46 0.10
-1.51 0.47 -0.16 -30.0
-0.46 0.18 -0.02 0.35
-0.44 0.07 0.02 0.15
-0.81 0.05 -0.28 -0.23
-0.47 0.22 0.17 0.41
-0.41 0.16 0.06 0.21
-0.61 0.35 0.05 0.39
-0.73 0.21 -0.03 0.34
-0.58 0.16 -0.06 0.29
-0.57 0.41 0.09 0.47
-0.70 0.29 0.07 0.43
-0.60 0.38 0.13 0.42
-0.95 0.64 0.24 0.83
-0.17 -0.07 -0.12 0.09
-2.00 0.18 -0.48 -0.16
-0.54 0.24 0.10 0.30
-0.64 0.41 0.08 0.53
-0.14 -0.22 -0.13 -0.10
-0.86 0.53 0.14 0.54
-0.52 0.36 0.12 0.40
-2.19 0.45 -0.25 -0.15
-2.25 0.32 -0.44 -30.0
-1.16 0.28 -0.14 -30.0
-1.07 0.43 0.07 0.59
-0.78 0.51 0.12 0.59
-2.51 0.03 -0.72 -0.53
-2.54 0.17 -0.55 -0.45
-1.35 0.26 -0.23 -0.04
-3.12 0.33 -0.32 -30.0
