[Star/Star]   [Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [S/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Sr/Fe] [Y/Fe] [Ba/Fe] [Zr/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
    70        -0.35   0.21  -30.0  0.29  0.02 -0.02  0.08  0.08   0.10  0.12  0.08  0.08  0.01 -0.05  0.01 -0.08  0.02 -0.02 -0.03  0.11 -0.12 -0.05 -30.0 -0.10  0.03 -30.0  0.08
   101        -0.29   0.19  -30.0  0.24  0.01  0.01  0.04  0.05   0.12  0.11  0.02  0.06 -0.01 -0.06 -0.02 -0.13  0.01 -0.02 -0.11  0.10 -0.01  0.08  0.00  0.01  0.05  0.07 -30.0
   153        -0.11   0.28   0.42  0.40  0.11  0.06  0.15  0.11   0.21  0.21  0.00  0.00 -0.03 -0.04  0.01 -0.07  0.00  0.01 -0.03  0.05 -0.02  0.00 -0.03 -0.19 -0.16 -0.10  0.01
   330        -0.27   0.33   0.32  0.35  0.05  0.07  0.09  0.07   0.12  0.18  0.02  0.00 -0.03 -0.07 -0.03 -0.15 -0.03 -0.03 -0.07  0.08 -0.02 -0.01  0.01 -0.13 -0.07 -0.01  0.00
   912        -0.26   0.15  -30.0  0.43  0.08  0.09  0.08  0.08   0.16  0.34  0.06 -0.03  0.04 -0.05 -0.02 -0.17 -0.08 -0.03 -0.14  0.00  0.10  0.07  0.04  0.02  0.00 -0.06  0.01
  2663        -0.41   0.20  -30.0  0.30  0.05  0.07  0.04  0.04   0.12  0.22  0.04  0.01  0.00 -0.05 -0.05 -0.18 -0.04 -0.03 -0.13  0.07  0.02  0.01 -30.0 -0.01 -0.01  0.10 -30.0
  3079        -0.19   0.20   0.43  0.27  0.01 -0.03  0.04  0.03   0.15  0.12 -0.01  0.02 -0.05 -0.03 -0.06 -0.13 -0.04 -0.05 -0.12  0.06 -0.02 -0.01  0.02 -0.09 -0.05  0.03 -0.06
  3440        -0.36   0.33   0.25  0.33  0.03  0.10  0.11  0.06   0.15  0.21  0.03  0.06  0.03 -0.03 -0.03 -0.06 -0.03 -0.03 -0.04  0.08 -0.11 -0.05 -30.0 -0.16 -0.08  0.03 -0.02
  3454        -0.58   0.22  -30.0  0.36  0.10  0.11  0.07  0.07   0.11  0.28  0.05  0.05  0.04  0.04 -0.04 -0.13 -0.05 -0.03 -0.13  0.08  0.04 -0.06 -0.02 -0.05 -0.05 -30.0  0.21
  3532        -0.35   0.14  -30.0  0.37  0.05  0.11  0.04  0.07   0.06  0.32  0.08  0.04  0.03  0.06 -0.02 -0.18  0.00 -0.05 -0.15  0.13  0.08  0.01  0.01  0.06  0.09 -30.0  0.04
  3894        -0.38   0.05  -30.0  0.18  0.03  0.09  0.18  0.03  -0.05  0.26  0.06  0.01  0.09 -0.01  0.01 -0.20 -0.06 -0.05 -0.15 -0.02  0.03 -0.04 -0.08 -0.04  0.06 -30.0 -30.0
  5065        -0.18   0.19   0.28  0.30 -0.02  0.06  0.14  0.06   0.08  0.17  0.03  0.08  0.02 -0.05 -0.02 -0.16  0.00 -0.01 -0.07  0.06 -0.02 -0.01 -0.02 -0.10  0.04  0.03  0.16
  5494        -0.17   0.22  -30.0  0.35  0.16 -0.07  0.05  0.11   0.16  0.20  0.02 -0.12 -30.0  0.06 -0.08 -0.02 -30.0  0.00 -30.0 -0.03 -30.0 -30.0 -30.0 -0.08 -30.0 -30.0 -30.0
  5750        -0.39   0.07  -30.0  0.20  0.08  0.01  0.06  0.08  -0.10 -30.0  0.07 -0.19  0.06 -30.0  0.03 -0.27 -30.0 -0.05 -30.0 -0.05 -30.0 -0.18 -30.0 -0.06 -0.02 -30.0 -30.0
