&H-1      &9.23338E-08
&H-2      &9.39347E-11
&He-3     &3.82821E-14
&He-4     &4.30980E-01
&Li-6     &7.75855E-15
&Li-7     &9.42284E-13
&Be-9     &2.07260E-13
&B-10     &3.27115E-17
&B-11     &1.59270E-12
&C-12     &7.14924E-08
&C-13     &6.97731E-10
&N-14     &1.55056E-07
&N-15     &2.45250E-08
&O-16     &1.27343E-06
&O-17     &2.14530E-10
&O-18     &3.84047E-08
&F-19     &4.85539E-08
&Ne-20    &1.58654E-08
&Ne-21    &7.32880E-08
&Ne-22    &1.34830E-07
&Na-23    &1.65023E-07
&Mg-24    &3.31111E-08
&Mg-25    &1.07833E-07
&Mg-26    &5.14551E-07
&Al-27    &4.76744E-08
&Si-28    &1.82632E-07
&Si-29    &1.45967E-07
&Si-30    &3.08602E-07
&P-31     &1.64775E-07
&S-32     &3.85903E-07
&S-33     &2.95739E-06
&S-34     &7.09545E-06
&S-36     &3.49132E-06
&Cl-35    &1.08501E-06
&Cl-37    &4.70434E-06
&Ar-36    &7.62396E-21
&Ar-38    &5.82974E-07
&Ar-40    &1.37091E-06
&K-39     &1.01698E-07
&K-40     &1.78405E-23
&K-41     &1.67230E-05
&Ca-40    &4.94806E-22
&Ca-42    &4.10634E-05
&Ca-43    &2.14616E-05
&Ca-44    &1.10282E-04
&Ca-46    &3.18806E-05
&Ca-48    &1.45986E-05
&Sc-45    &3.82340E-05
&Ti-46    &8.13402E-22
&Ti-47    &2.05750E-05
&Ti-48    &7.23821E-16
&Ti-49    &2.54450E-05
&Ti-50    &1.15915E-04
&V-50     &7.61521E-22
&V-51     &4.46484E-05
&Cr-50    &3.11283E-22
&Cr-52    &1.01306E-04
&Cr-53    &1.25314E-05
&Cr-54    &1.25504E-05
&Mn-55    &2.24480E-04
&Fe-54    &3.02395E-21
&Fe-56    &1.00037E-04
&Fe-57    &4.84851E-05
&Fe-58    &1.14579E-05
&Co-59    &3.88699E-05
&Ni-58    &1.23645E-21
&Ni-60    &2.46675E-05
&Ni-61    &1.47129E-04
&Ni-62    &1.78219E-04
&Ni-64    &3.61504E-05
&Cu-63    &1.13270E-04
&Cu-65    &1.36690E-05
&Zn-64    &2.01110E-21
&Zn-66    &2.65839E-05
&Zn-67    &4.42328E-05
&Zn-68    &6.57578E-05
&Zn-70    &5.08965E-04
&Ga-69    &1.89143E-04
&Ga-71    &2.33209E-04
&Ge-70    &1.83021E-21
&Ge-72    &6.83416E-05
&Ge-73    &7.92317E-05
&Ge-74    &2.39778E-04
&Ge-76    &2.16421E-03
&As-75    &3.91939E-04
&Se-74    &5.86896E-23
&Se-76    &7.01766E-22
&Se-77    &6.78270E-04
&Se-78    &4.10566E-03
&Se-80    &1.28097E-04
&Se-82    &2.57502E-04
&Br-79    &7.13328E-05
&Br-81    &1.39645E-04
&Kr-78    &6.30605E-24
&Kr-80    &1.74477E-22
&Kr-82    &2.86394E-21
&Kr-83    &1.96369E-03
&Kr-84    &8.60932E-04
&Kr-86    &7.95557E-04
&Rb-85    &6.03280E-04
&Rb-87    &5.39223E-04
&Sr-84    &2.04560E-23
&Sr-86    &7.24210E-22
&Sr-87    &1.41981E-21
&Sr-88    &2.20316E-04
&Y-89     &5.11756E-04
&Zr-90    &1.21730E-03
&Zr-91    &1.18506E-03
&Zr-92    &6.21195E-04
&Zr-94    &1.09336E-03
&Zr-96    &7.94854E-04
&Nb-93    &5.08727E-04
&Mo-92    &3.82728E-22
&Mo-94    &8.31830E-22
&Mo-95    &1.07634E-03
&Mo-96    &7.68752E-10
&Mo-97    &8.82546E-04
&Mo-98    &1.50620E-03
&Mo-100   &9.36749E-04
&Ru-96    &2.19882E-24
&Ru-98    &1.27055E-23
&Ru-99    &1.03690E-03
&Ru-100   &2.51424E-21
&Ru-101   &6.18480E-04
&Ru-102   &1.44958E-03
&Ru-104   &1.39790E-02
&Rh-103   &5.72689E-03
&Pd-102   &0.00000E+00
&Pd-104   &6.53691E-24
&Pd-105   &1.45942E-02
&Pd-106   &2.01079E-02
&Pd-108   &6.72663E-02
&Pd-110   &2.02537E-02
&Ag-107   &2.89899E-02
&Ag-109   &4.13286E-02
&Cd-106   &0.00000E+00
&Cd-108   &8.69778E-24
&Cd-110   &4.39919E-22
&Cd-111   &1.80732E-02
&Cd-112   &5.42617E-03
&Cd-113   &2.00885E-03
&Cd-114   &1.57213E-03
&Cd-116   &2.74952E-03
&In-113   &0.00000E+00
&In-115   &1.68819E-03
&Sn-112   &0.00000E+00
&Sn-114   &1.04633E-27
&Sn-115   &2.64057E-27
&Sn-116   &1.86043E-23
&Sn-117   &2.69859E-03
&Sn-118   &2.53269E-03
&Sn-119   &3.79861E-03
&Sn-120   &3.86556E-03
&Sn-122   &2.53315E-02
&Sn-124   &6.02622E-02
&Sb-121   &1.53720E-02
&Sb-123   &4.83906E-02
&Te-120   &0.00000E+00
&Te-122   &2.00969E-26
&Te-123   &1.66442E-27
&Te-124   &6.97739E-25
&Te-125   &7.15848E-02
&Te-126   &4.11216E-02
&Te-128   &4.12057E-03
&Te-130   &1.41433E-04
&I-127    &1.60370E-02
&Xe-124   &0.00000E+00
&Xe-126   &0.00000E+00
&Xe-128   &5.21643E-27
&Xe-129   &4.85774E-04
&Xe-130   &5.64295E-23
&Xe-131   &9.87419E-05
&Xe-132   &2.90144E-05
&Xe-134   &9.16693E-07
&Xe-136   &1.83228E-08
&Cs-133   &3.57247E-07
&Ba-130   &0.00000E+00
&Ba-132   &7.21306E-27
&Ba-134   &3.81701E-22
&Ba-135   &4.07629E-07
&Ba-136   &2.65591E-21
&Ba-137   &8.35427E-09
&Ba-138   &4.63548E-08
&La-138   &0.00000E+00
&La-139   &1.49759E-09
&Ce-136   &0.00000E+00
&Ce-138   &1.32638E-24
&Ce-140   &5.59876E-09
&Ce-142   &4.27517E-11
&Pr-141   &4.71089E-10
&Nd-142   &0.00000E+00
&Nd-143   &6.47145E-11
&Nd-144   &1.63761E-10
&Nd-145   &3.50452E-10
&Nd-146   &1.92502E-10
&Nd-148   &1.49636E-10
&Nd-150   &1.10091E-10
&Sm-144   &0.00000E+00
&Sm-147   &1.55124E-10
&Sm-148   &9.52132E-22
&Sm-149   &1.86059E-10
&Sm-150   &1.31597E-21
&Sm-152   &2.92096E-11
&Sm-154   &5.84959E-12
&Eu-151   &9.77426E-11
&Eu-153   &2.10905E-11
&Gd-152   &1.85247E-28
&Gd-154   &1.32580E-21
&Gd-155   &9.27163E-12
&Gd-156   &7.84317E-12
&Gd-157   &1.29322E-11
&Gd-158   &4.50974E-12
&Gd-160   &5.31272E-13
&Tb-159   &1.91777E-12
&Dy-156   &0.00000E+00
&Dy-158   &0.00000E+00
&Dy-160   &0.00000E+00
&Dy-161   &3.14478E-13
&Dy-162   &9.21291E-14
&Dy-163   &5.55660E-14
&Dy-164   &1.20291E-14
&Ho-165   &4.91824E-15
&Er-162   &0.00000E+00
&Er-164   &0.00000E+00
&Er-166   &4.77762E-15
&Er-167   &7.40337E-15
&Er-168   &5.85899E-15
&Er-170   &6.86211E-15
&Tm-169   &1.32526E-14
&Yb-168   &0.00000E+00
&Yb-170   &0.00000E+00
&Yb-171   &4.46658E-14
&Yb-172   &1.77882E-13
&Yb-173   &5.98780E-13
&Yb-174   &1.39998E-12
&Yb-176   &8.47767E-13
&Lu-175   &2.05826E-12
&Lu-176   &0.00000E+00
&Hf-174   &0.00000E+00
&Hf-176   &4.68728E-28
&Hf-177   &1.01058E-12
&Hf-178   &4.47456E-13
&Hf-179   &6.02708E-13
&Hf-180   &5.30600E-13
&Ta-180   &0.00000E+00
&Ta-181   &3.65695E-13
&W-180    &0.00000E+00
&W-182    &1.30051E-13
&W-183    &1.73953E-13
&W-184    &1.47491E-13
&W-186    &1.38415E-12
&Re-185   &6.91917E-13
&Re-187   &3.82953E-12
&Os-184   &0.00000E+00
&Os-186   &0.00000E+00
&Os-187   &0.00000E+00
&Os-188   &1.06803E-12
&Os-189   &1.31641E-12
&Os-190   &3.68653E-12
&Os-192   &3.61108E-12
&Ir-191   &5.37501E-12
&Ir-193   &3.02746E-12
&Pt-190   &0.00000E+00
&Pt-192   &0.00000E+00
&Pt-194   &2.81514E-12
&Pt-195   &1.41523E-12
&Pt-196   &1.30683E-12
&Pt-198   &2.98749E-14
&Au-197   &2.89642E-13
&Hg-196   &0.00000E+00
&Hg-198   &1.64899E-25
&Hg-199   &7.90746E-15
&Hg-200   &1.88622E-13
&Hg-201   &3.10980E-14
&Hg-202   &1.30643E-15
&Hg-204   &2.39160E-15
&Tl-203   &7.35190E-15
&Tl-205   &6.48210E-15
&Pb-204   &0.00000E+00
&Pb-206   &2.03344E-15
&Pb-207   &7.00097E-15
&Pb-208   &1.02439E-14
&Bi-209   &1.00436E-14
&Th-232   &4.44223E-12
&U-235    &8.21099E-13
&U-238    &8.94755E-15
