H Yields (Mass fraction normalized to 1)
H Taken from Arnould et al. 2007 (http://adsabs.harvard.edu/abs/2007PhR...450...97A)
&Isotopes  &Z=0.02
&Zn-70   &0.0391442318883
&Ga-69   &0.030801081734
&Ga-71   &0.0100546388332
&Ge-72   &0.0
&Ge-73   &0.0332868833211
&Ge-74   &0.105346556914
&Ge-76   &0.0482302652755
&As-75   &0.0204864337693
&Se-77   &0.0209207347362
&Se-78   &0.0
&Se-80   &0.16243427612
&Se-82   &0.0367441475973
&Br-79   &0.0274581071859
&Br-81   &0.0238208365878
&Kr-83   &0.0262694940132
&Kr-84   &0.143233601793
&Kr-86   &0.0
&Rb-85   &0.0176263333225
&Rb-87   &0.00183577875826
&Sr-88   &0.0260066276385
&Y-89    &0.0071373935224
&Zr-90   &0.0169748818721
&Zr-91   &0.00138090564026
&Zr-92   &0.000412300194269
&Zr-94   &0.0
&Zr-96   &0.0
&Nb-93   &0.000663166147538
&Mo-95   &0.000961176613666
&Mo-97   &0.000566305602938
&Mo-98   &0.000523446954886
&Mo-100  &0.00163320021513
&Ru-99   &0.00123747203145
&Ru-101  &0.0019486398648
&Ru-102  &0.00232179582718
&Ru-104  &0.0025326603756
&Rh-103  &0.00221036334225
&Pd-105  &0.00201807087465
&Pd-106  &0.0013097602845
&Pd-108  &0.000928604041145
&Pd-110  &0.00124004355033
&Ag-107  &0.00163148586921
&Ag-109  &0.00135461900279
&Cd-111  &0.00121918567494
&Cd-112  &0.00142433573696
&Cd-113  &0.00101260699133
&Cd-114  &0.00141690690463
&Cd-116  &0.000800599545627
&In-115  &0.000922318106098
&Sn-117  &0.00126804453372
&Sn-118  &0.00208035877649
&Sn-119  &0.00158205556179
&Sn-120  &0.00185549373637
&Sn-122  &0.00134004706245
&Sn-124  &0.00197121208611
&Sb-121  &0.000730882811461
&Sb-123  &0.00100432098604
&Te-125  &0.00231236692461
&Te-126  &0.00448015734313
&Te-128  &0.0135976204056
&Te-130  &0.0148433784423
&I-127   &0.0077831304864
&Xe-129  &0.010066067806
&Xe-131  &0.0077802732432
&Xe-132  &0.00622879018368
&Xe-134  &0.0037287023806
&Xe-136  &0.003242971036
&Cs-133  &0.00296867568846
&Ba-135  &0.00241922782042
&Ba-137  &0.00168291624688
&Ba-138  &0.00213407494871
&La-139  &0.00157691252402
&Ce-140  &0.00162862862601
&Ce-142  &0.000677166639235
&Pr-141  &0.00112061078442
&Nd-143  &0.00072945418986
&Nd-144  &0.00103832218016
&Nd-145  &0.000565734154298
&Nd-146  &0.000562305462454
&Nd-148  &0.000450301528875
&Nd-150  &0.000531161511535
&Sm-147  &0.000354869605878
&Sm-149  &0.000347726497869
&Sm-152  &0.000627164883174
&Sm-154  &0.000662023250257
&Eu-151  &0.000493160176928
&Eu-153  &0.000547162073475
&Gd-155  &0.000524304127847
&Gd-156  &0.000652594347685
&Gd-157  &0.000534304479059
&Gd-158  &0.000700881757824
&Gd-160  &0.000856601512417
&Tb-159  &0.000690595682292
&Dy-161  &0.000862030274503
&Dy-162  &0.00105346556914
&Dy-163  &0.00114489735165
&Dy-164  &0.00122061429655
&Ho-165  &0.00100032084555
&Er-166  &0.000903174576634
&Er-167  &0.000658880282733
&Er-168  &0.000614307288758
&Er-170  &0.000453158772079
&Tm-169  &0.000415157437472
&Yb-171  &0.000366870027333
&Yb-172  &0.000473445198824
&Yb-173  &0.000395156735047
&Yb-174  &0.000491731555327
&Yb-176  &0.000371441616458
&Lu-175  &0.000385727832476
&Hf-177  &0.000304296401175
&Hf-178  &0.000246951530081
&Hf-179  &0.000178491982924
&Hf-180  &0.000188606623865
&Ta-181  &0.000138633440235
&W-182   &0.000178863424541
&W-183   &8.5945875562e-05
&W-184   &0.00014094780723
&W-186   &0.000329154417046
&Re-185  &0.000201864232329
&Re-187  &0.00042972937781
&Os-188  &0.000961748062306
&Os-189  &0.00140662082909
&Os-190  &0.00208693043585
&Os-192  &0.00378870448787
&Ir-191  &0.0031601109831
&Ir-193  &0.00541161862747
&Pt-194  &0.00590306445848
&Pt-195  &0.00627164883174
&Pt-196  &0.00427729307568
&Pt-198  &0.00135919059192
&Au-197  &0.00271895263247
&Hg-199  &0.000729168465539
&Hg-200  &0.000482588377075
&Hg-201  &0.000384870659515
&Hg-202  &0.000375156032623
&Hg-204  &0.000392013767524
&Tl-203  &4.84016998677e-05
&Tl-205  &0.000736311573548
&Pb-206  &0.00293153152682
&Pb-207  &0.0021240745975
&Pb-208  &4.50872977516e-06
&Bi-209  &0.000756598000293
