[O/Fe] err [Na/Fe] err [Mg/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Fe/H] err
  0.51  0.12 -30.0 -30.0  0.36  0.07  1.09  0.12  0.28  0.11  0.87  0.18 -2.14  0.12
 -30.0 -30.0 -30.0 -30.0  0.26  0.13 -30.0 -30.0 -0.03  0.09  0.39  0.19 -2.08  0.15
 -30.0 -30.0 -30.0 -30.0  0.71  0.19 -30.0 -30.0  0.86  0.06  0.66  0.12 -2.80  0.19
 -30.0 -30.0 -30.0 -30.0 -0.54  0.16 -30.0 -30.0 -0.33  0.27 -0.08  0.19 -2.03  0.16
 -30.0 -30.0 -30.0 -30.0  0.39  0.19 -30.0 -30.0  0.14  0.44 -0.12  0.26 -2.18  0.19
  0.78  0.16 -30.0 -30.0  0.22  0.11 -30.0 -30.0  0.06  0.14  0.54  0.14 -2.12  0.16
 -30.0 -30.0 -30.0 -30.0  0.68  0.28 -30.0 -30.0 -0.03  0.10  0.42  0.19 -2.45  0.28
  1.02  0.22 -30.0 -30.0  0.37  0.22 -30.0 -30.0  0.51  0.35  0.28  0.16 -2.60  0.22
 -30.0 -30.0 -30.0 -30.0 -0.12  0.19 -30.0 -30.0 -0.30  0.19 -30.0 -30.0 -2.47  0.19
  1.06  0.25 -30.0 -30.0  0.71  0.25 -30.0 -30.0  0.57  0.32  0.54  0.32 -2.29  0.25
 -30.0 -30.0 -30.0 -30.0  0.64  0.25 -30.0 -30.0  0.20  0.14  0.59  0.13 -2.45  0.15
 -30.0 -30.0 -30.0 -30.0  0.21  0.25 -30.0 -30.0  0.11  0.13  0.40  0.19 -2.19  0.13
 -30.0 -30.0 -30.0 -30.0  0.40  0.25 -30.0 -30.0  0.31  0.35  0.36  0.12 -2.24  0.18
 -30.0 -30.0 -30.0 -30.0  0.32  0.15 -30.0 -30.0  0.25  0.24  0.18  0.05 -1.85  0.23
 -30.0 -30.0 -30.0 -30.0  0.44  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -2.41  0.31
 -30.0 -30.0 -30.0 -30.0  0.25  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -2.08  0.23
 -30.0 -30.0 -30.0 -30.0  0.11  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.95  0.20
 -30.0 -30.0 -30.0 -30.0  0.03  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.85  0.23
 -30.0 -30.0 -30.0 -30.0 -0.01  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.94  0.21
 -30.0 -30.0 -30.0 -30.0  0.06  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.90  0.21
 -30.0 -30.0 -30.0 -30.0  0.25  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.96  0.28
 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.74  0.20
 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.81  0.20
  0.66  0.12  0.01  0.24  0.45  0.12 -30.0 -30.0  0.35  0.09  0.42  0.13 -1.63  0.12
  0.60  0.05  0.10  0.11  0.61  0.12  0.58  0.21  0.25  0.10  0.54  0.12 -1.65  0.11
  0.71  0.10  0.36  0.35  0.58  0.17  0.47  0.09  0.37  0.20  0.58  0.14 -1.62  0.17
  0.46  0.12 -30.0 -30.0  0.47  0.19  0.22  0.21  0.32  0.10  0.48  0.11 -1.79  0.12
 -30.0 -30.0 -30.0 -30.0  0.77  0.14 -30.0 -30.0  0.33  0.10  0.58  0.19 -2.28  0.16
  0.52  0.17  0.33  0.17  0.56  0.18 -30.0 -30.0  0.36  0.45  0.22  0.34 -1.75  0.17
 -30.0 -30.0 -30.0 -30.0  0.74  0.04 -30.0 -30.0  0.34  0.18  0.16  0.11 -1.80  0.14
 -0.04  0.15 -0.36  0.15 -30.0 -30.0  0.46  0.15 -0.09  0.13 -0.03  0.08 -1.51  0.15
 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  0.56  0.12 -30.0 -30.0 -1.80  0.15
 -30.0 -30.0 -30.0 -30.0  0.35  0.02 -30.0 -30.0  0.33  0.12 -0.10  0.06 -1.80  0.17
  0.50  0.09  0.17  0.16  0.34  0.07  0.31  0.19  0.24  0.13 -0.10  0.07 -1.48  0.16
  0.42  0.18 -30.0 -30.0  0.30  0.21 -30.0 -30.0  0.07  0.22  0.31  0.14 -1.69  0.18
 -30.0 -30.0  0.37  0.18  0.39  0.18 -30.0 -30.0  0.29  0.29  0.09  0.16 -1.90  0.18
  0.35  0.16 -30.0 -30.0  0.69  0.12 -30.0 -30.0  0.24  0.22  0.42  0.18 -1.83  0.16
  0.47  0.18 -30.0 -30.0  0.46  0.02  0.70  0.23  0.39  0.18  0.34  0.08 -2.03  0.18
 -30.0 -30.0 -30.0 -30.0  0.20  0.16 -30.0 -30.0  0.19  0.22  0.13  0.16 -1.95  0.16
  0.89  0.13 -30.0 -30.0  0.33  0.06  0.55  0.21  0.18  0.26  0.05  0.11 -1.84  0.13
  0.69  0.12  0.59  0.14  0.65  0.12  0.43  0.10  0.34  0.15  0.66  0.22 -1.95  0.12
  0.72  0.16 -30.0 -30.0  0.40  0.12  0.66  0.24  0.37  0.27  0.06  0.02 -2.03  0.16
 -30.0 -30.0 -30.0 -30.0  0.57  0.15  0.92  0.15  0.29  0.39  0.85  0.27 -1.98  0.15
  0.70  0.16 -30.0 -30.0  0.40  0.10  0.27  0.16  0.36  0.26  0.66  0.08 -1.66  0.16
  0.52  0.07 -0.03  0.12  0.44  0.19  0.49  0.22  0.21  0.13  0.63  0.14 -1.71  0.12
  1.16  0.19 -30.0 -30.0  0.52  0.19  0.59  0.19  0.53  0.29  0.30  0.27 -1.78  0.19
 -30.0 -30.0 -30.0 -30.0  0.37  0.10 -30.0 -30.0  0.35  0.31  0.26  0.24 -1.88  0.16
 -30.0 -30.0 -30.0 -30.0  0.53  0.24  0.77  0.22  0.03  0.33 -0.08  0.20 -1.74  0.22
 -30.0 -30.0 -30.0 -30.0  0.84  0.16 -30.0 -30.0  0.30  0.37 -0.08  0.18 -1.83  0.16
 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.16  0.42 -0.01  0.17 -1.70  0.30
 -30.0 -30.0 -30.0 -30.0  0.39  0.19 -30.0 -30.0  0.34  0.29  0.35  0.24 -2.43  0.19
 -30.0 -30.0 -30.0 -30.0  0.07  0.17 -30.0 -30.0  0.36  0.21  0.08  0.11 -1.75  0.17
 -30.0 -30.0 -30.0 -30.0  0.21  0.22 -30.0 -30.0  0.06  0.32 -0.23  0.08 -1.78  0.22
  0.73  0.19 -30.0 -30.0  0.01  0.19 -30.0 -30.0  0.13  0.26 -0.03  0.35 -1.85  0.19
  0.54  0.16 -30.0 -30.0  0.75  0.23  0.85  0.17  0.26  0.33  0.28  0.14 -2.09  0.17
  0.59  0.20 -30.0 -30.0  0.11  0.06 -30.0 -30.0  0.28  0.28  0.14  0.16 -1.57  0.20
  0.47  0.11  0.20  0.14  0.52  0.19  0.32  0.14  0.26  0.22  0.21  0.29 -1.87  0.14
 -30.0 -30.0 -30.0 -30.0  0.46  0.25 -30.0 -30.0  0.30  0.08  0.52  0.20 -1.85  0.13
 -30.0 -30.0 -30.0 -30.0  0.43  0.25 -30.0 -30.0  0.26  0.16  0.38  0.09 -1.81  0.17
 -30.0 -30.0 -30.0 -30.0  0.28  0.25 -30.0 -30.0  0.24  0.19  0.44  0.28 -1.53  0.18
 -30.0 -30.0 -30.0 -30.0  0.25  0.25 -30.0 -30.0  0.19  0.15  0.71  0.25 -1.57  0.22
 -30.0 -30.0 -30.0 -30.0  0.48  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.85  0.26
 -30.0 -30.0 -30.0 -30.0  0.54  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.77  0.27
 -30.0 -30.0 -30.0 -30.0  0.37  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.75  0.30
 -30.0 -30.0 -30.0 -30.0  0.30  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.68  0.35
 -30.0 -30.0 -30.0 -30.0  0.09  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.46  0.27
 -30.0 -30.0 -30.0 -30.0  0.26  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.43  0.23
 -30.0 -30.0 -30.0 -30.0  0.15  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.41  0.22
 -30.0 -30.0 -30.0 -30.0  0.30  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.52  0.27
 -30.0 -30.0 -30.0 -30.0  0.27  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.35  0.20
 -30.0 -30.0 -30.0 -30.0  0.10  0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.18  0.22
