[Fe/H] err [Fe2/H] err [Mg/H] err [Ca/H] err [Ti/H] err [Ti2/H] err [Cr/H] err [Co/H] err [Ni/H] err [Ba/H] err [Na/H] err [Si/H] err [Sc/H] err [Y/H] err [La/H] err [Nd/H] err [Eu/H] err 
-1.99  0.05 -1.85  0.08 -30.0 -30.0 -1.60  0.17 -30.0 -30.0 -1.84  0.12 -2.80  0.17 -30.0 -30.0 -30.0 -30.0 -2.86  0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.60  0.03 -1.09  0.06 -1.53  0.14 -1.18  0.25 -1.36  0.08 -1.23  0.10 -1.77  0.14 -30.0 -30.0 -1.07  0.14 -1.16  0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-2.32  0.04 -1.80  0.16 -2.10  0.23 -2.16  0.10 -30.0 -30.0 -2.19  0.16 -2.66  0.23 -30.0 -30.0 -2.28  0.23 -3.31  0.16 -30.0 -30.0 -0.90  0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.57  0.04 -0.45  0.23 -1.09  0.16 -1.42  0.09 -30.0 -30.0 -0.80  0.26 -1.36  0.11 -30.0 -30.0 -30.0 -30.0 -1.17  0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.57  0.05 -0.78  0.26 -1.72  0.26 -30.0 -30.0 -1.15  0.26 -1.34  0.26 -1.51  0.26 -30.0 -30.0 -30.0 -30.0 -1.23  0.26 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.54  0.04 -1.37  0.08 -1.72  0.21 -1.76  0.09 -1.22  0.21 -1.57  0.15 -1.39  0.21 -1.58  0.21 -1.06  0.21 -1.45  0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.57  0.04 -1.16  0.20 -1.54  0.18 -30.0 -30.0 -1.37  0.18 -1.07  0.14 -2.00  0.18 -30.0 -30.0 -1.56  0.18 -1.17  0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.67  0.03 -1.15  0.09 -1.26  0.17 -1.56  0.07 -2.01  0.17 -1.08  0.12 -1.69  0.12 -1.60  0.17 -30.0 -30.0 -1.30  0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.73  0.04 -1.42  0.09 -1.42  0.24 -1.58  0.08 -1.65  0.17 -1.05  0.17 -1.66  0.17 -1.59  0.24 -1.12  0.24 -1.00  0.24 -30.0 -30.0 -30.0 -30.0 -1.22  0.24 -1.66  0.24 -0.83  0.24 -30.0 -30.0 -30.0 -30.0 
-2.29  0.08 -2.05  0.36 -2.25  0.36 -2.61  0.36 -1.24  0.36 -2.50  0.36 -3.03  0.36 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.75  0.03 -1.36  0.07 -1.40  0.14 -1.59  0.06 -1.93  0.08 -1.09  0.14 -1.45  0.14 -1.86  0.14 -30.0 -30.0 -1.48  0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.48  0.02 -0.96  0.07 -1.33  0.08 -1.42  0.04 -1.62  0.04 -1.41  0.06 -1.73  0.08 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.57  0.07 -1.34  0.18 -1.29  0.25 -30.0 -30.0 -30.0 -30.0 -0.90  0.25 -1.60  0.25 -30.0 -30.0 -1.11  0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.39  0.04 -1.13  0.15 -1.00  0.19 -1.25  0.10 -1.35  0.13 -1.36  0.15 -1.09  0.19 -1.28  0.19 -0.84  0.19 -1.41  0.19 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.64  0.05 -1.10  0.14 -1.89  0.21 -1.74  0.18 -30.0 -30.0 -1.55  0.21 -2.29  0.21 -30.0 -30.0 -1.49  0.21 -1.87  0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.20  0.09 -0.56  0.21 -1.93  0.40 -1.57  0.40 -0.79  0.40 -1.16  0.23 -1.72  0.40 -1.46  0.40 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.21  0.08 -1.22  0.18 -2.16  0.32 -1.00  0.32 -0.67  0.23 -0.90  0.23 -1.55  0.32 -30.0 -30.0 -0.90  0.32 -1.30  0.32 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
