[Fe/H] err [FeII/H] err [Na/H] err [Mg/H] err [Si/H] err [Ca/H] err [Sc/H] err [Ti/H] err [TiII/H] err [Cr/H] err [Ni/H] err [Y/H] err [Ba/H] err [La/H] err [Nd/H] err [Eu/H] err
-0.70 0.04 -0.02 0.18 -1.38 0.16 -0.76 0.23 -0.44 0.23 -1.05 0.08  30.0 0.00 -1.04 0.10 -0.39 0.23 -1.16 0.23 -0.90 0.08  30.0 0.00 -0.31 0.16 -0.43 0.16 -0.21 0.16  30.0 0.00
-0.88 0.05 -0.02 0.09 -1.53 0.22 -0.86 0.31 -0.41 0.31 -0.79 0.15  30.0 0.00 -1.24 0.12 -0.90 0.31 -0.68 0.31 -0.98 0.10  30.0 0.00 -0.33 0.31 -0.67 0.31 -0.40 0.31 -0.50 0.31
-0.48 0.03 -0.41 0.11 -1.49 0.16 -0.89 0.16 -0.70 0.16 -0.81 0.08  30.0 0.00 -1.18 0.06 -0.46 0.16 -0.98 0.16 -0.79 0.05  30.0 0.00 -0.17 0.11 -0.39 0.11 -0.49 0.16 -0.15 0.16
-0.70 0.03 -0.30 0.20 -1.56 0.14 -0.72 0.14  30.0 0.00 -0.91 0.07  30.0 0.00 -1.13 0.07 -0.78 0.12 -0.88 0.14 -1.08 0.10  30.0 0.00 -0.36 0.10  30.0 0.00 -0.44 0.14 -0.24 0.14
-1.02 0.02 -0.26 0.20  30.0 0.00 -0.79 0.10 -0.99 0.10 -1.22 0.08 -1.24 0.10 -1.41 0.06 -0.84 0.22  30.0 0.00 -1.16 0.08  30.0 0.00 -0.65 0.10 -0.85 0.13  30.0 0.00 -0.65 0.10
-0.64 0.03 -0.24 0.25  30.0 0.00 -0.77 0.22 -0.71 0.16 -1.17 0.09  30.0 0.00 -1.09 0.09 -0.54 0.16 -0.87 0.22 -0.88 0.12 -0.76 0.22  0.03 0.22 -0.39 0.22  0.49 0.16  30.0 0.00
-0.88 0.02 -0.42 0.07 -1.69 0.16 -0.89 0.16 -0.44 0.16 -1.04 0.09 -0.80 0.16 -1.24 0.06 -0.93 0.22 -0.91 0.16 -1.03 0.05  30.0 0.00 -0.51 0.11 -0.71 0.27 -0.60 0.16 -0.50 0.16
-0.80 0.02  30.0 0.00 -1.63 0.15 -1.12 0.15  30.0 0.00 -1.11 0.06  30.0 0.00 -1.15 0.05 -1.15 0.48 -1.29 0.15 -1.17 0.06  30.0 0.00 -0.61 0.13 -0.88 0.15 -0.45 0.11 -0.66 0.15 
-2.17 0.04 -0.14 0.22  30.0 0.00 -2.05 0.16  30.0 0.00 -1.75 0.12  30.0 0.00  30.0 0.00 -1.19 0.11 -1.86 0.16 -2.03 0.09  30.0 0.00  30.0 0.00  30.0 0.00 -0.38 0.16  30.0 0.00
-0.88 0.03 -0.68 0.20  30.0 0.00 -1.34 0.19 -0.65 0.19 -1.21 0.14  30.0 0.00 -1.67 0.08 -0.87 0.13 -1.77 0.19 -1.38 0.10 -0.71 0.19  30.0 0.00  30.0 0.00 -0.19 0.19  30.0 0.00
-0.85 0.02 -0.53 0.23 -1.82 0.15 -0.98 0.15 -0.77 0.11 -1.31 0.06  30.0 0.00 -1.39 0.06 -0.82 0.11 -1.61 0.15 -1.25 0.06  30.0 0.00 -0.65 0.15 -1.15 0.11 -0.76 0.11 -0.78 0.15 
-0.74 0.02 -0.17 0.12 -1.44 0.10 -0.80 0.10  30.0 0.00 -1.19 0.08  30.0 0.00 -1.30 0.06 -0.88 0.11 -1.33 0.12 -1.23 0.06  30.0 0.00 -0.43 0.10 -0.56 0.10 -0.76 0.21 -0.65 0.10 
-0.62 0.03 -0.68 0.09 -1.93 0.23 -0.79 0.23 -0.61 0.16 -0.82 0.12  30.0 0.00 -1.56 0.12 -0.74 0.18 -0.84 0.23 -0.97 0.07  30.0 0.00 -0.24 0.23 -0.81 0.23 -0.45 0.16 -0.57 0.23 
-0.96 0.02 -0.64 0.21 -1.76 0.10 -0.82 0.10 -0.76 0.19 -1.25 0.05 -1.37 0.10 -1.44 0.04 -0.91 0.08 -1.47 0.10 -1.23 0.04  30.0 0.00  30.0 0.00 -0.66 0.07 -0.39 0.10 -0.46 0.10 
-1.68 0.04  0.06 0.19  30.0 0.00 -1.44 0.21  30.0 0.00 -1.81 0.07  30.0 0.00 -1.92 0.12 -1.52 0.38  30.0 0.00 -1.54 0.12  30.0 0.00 -1.97 0.21  30.0 0.00  30.0 0.00 -0.75 0.21 
-0.44 0.03 -0.53 0.10  30.0 0.00 -0.54 0.19  30.0 0.00 -0.78 0.08 -0.53 0.19 -0.79 0.12 -0.46 0.13 -0.38 0.19 -0.55 0.10  30.0 0.00 -0.11 0.19 -0.27 0.13 -0.26 0.13  30.0 0.00
-1.00 0.03 -0.31 0.32  30.0 0.00 -0.97 0.21 -0.62 0.21 -1.19 0.06  30.0 0.00 -1.27 0.07 -0.83 0.12 -1.31 0.21 -1.26 0.09  30.0 0.00 -0.44 0.15 -0.69 0.15 -0.29 0.21  30.0 0.00
-1.02 0.02 -0.44 0.10  30.0 0.00 -0.84 0.08 -0.89 0.11 -1.18 0.08 -0.88 0.11 -1.39 0.05 -0.68 0.08 -1.37 0.14 -1.08 0.04 -0.92 0.11 -0.81 0.08 -0.66 0.33  30.0 0.00 -0.57 0.11 
-0.82 0.02 -0.52 0.10 -1.47 0.15 -1.02 0.15 -0.87 0.15 -1.19 0.07  30.0 0.00 -1.30 0.06 -1.00 0.11  30.0 0.00 -1.04 0.05  30.0 0.00 -0.27 0.15 -0.67 0.11 -0.51 0.25 -0.26 0.15 
-0.92 0.02 -0.11 0.25  30.0 0.00 -1.26 0.11 -0.97 0.11 -1.43 0.07  30.0 0.00 -1.55 0.05 -0.85 0.11 -1.58 0.11 -1.32 0.04  30.0 0.00 -0.93 0.11 -1.12 0.08 -0.73 0.11 -1.02 0.11 
-0.26 0.07 -0.26 0.11  30.0 0.00 -0.30 0.43 -0.75 0.43 -0.87 0.14 -0.71 0.43 -1.26 0.15 -0.24 0.30  30.0 0.00 -0.49 0.14  30.0 0.00  30.0 0.00 -0.47 0.30  30.0 0.00 -0.08 0.43 
-0.70 0.03 -0.82 0.12 -1.92 0.23 -0.78 0.23 -0.74 0.16 -1.13 0.08  30.0 0.00 -1.05 0.08 -0.52 0.23 -0.97 0.23 -1.03 0.09  30.0 0.00 -0.26 0.23 -0.53 0.16 -0.43 0.23 -0.60 0.23 
-1.48 0.02 -1.33 0.10  30.0 0.00 -1.47 0.13  30.0 0.00 -1.65 0.05 -1.34 0.13 -1.97 0.13 -1.44 0.17 -1.76 0.13 -1.59 0.07  30.0 0.00 -1.27 0.13  30.0 0.00  30.0 0.00 -1.02 0.13 
-1.92 0.03 -1.63 0.13  30.0 0.00 -1.38 0.18  30.0 0.00 -1.84 0.07  30.0 0.00 -1.89 0.28 -1.61 0.18  30.0 0.00 -1.72 0.12  30.0 0.00  30.0 0.00  30.0 0.00  30.0 0.00 -1.12 0.18 
-2.31 0.02 -0.49 0.09  30.0 0.00 -1.65 0.09  30.0 0.00 -2.28 0.06  30.0 0.00  30.0 0.00 -2.20 0.19 -2.55 0.09 -2.23 0.12  30.0 0.00 -2.13 0.09  30.0 0.00  30.0 0.00  30.0 0.00
-0.81 0.03 -0.20 0.20 -1.55 0.22 -1.02 0.22 -0.92 0.22 -1.11 0.09 -0.94 0.22 -1.35 0.11 -1.12 0.16  30.0 0.00 -1.07 0.07 -0.98 0.22 -0.68 0.22  30.0 0.00 -0.16 0.22 -0.46 0.22 
-0.67 0.03 -0.46 0.09  30.0 0.00 -1.07 0.20  30.0 0.00 -0.74 0.09  30.0 0.00 -1.25 0.10 -0.72 0.19 -0.78 0.20 -0.91 0.08  30.0 0.00  30.0 0.00 -0.55 0.14 -0.30 0.19 -0.56 0.20 
-0.76 0.03 -1.65 0.09  30.0 0.00 -0.96 0.20  30.0 0.00 -1.05 0.07 -1.08 0.20 -1.22 0.11 -1.02 0.34 -0.65 0.20 -1.10 0.07  30.0 0.00 -0.57 0.20 -1.03 0.14  30.0 0.00 -0.59 0.20 
-2.55 0.02 -1.48 0.13 -1.05 0.09  30.0 0.00 -1.37 0.09 -1.86 0.11  30.0 0.00  30.0 0.00 -1.90 0.09  30.0 0.00 -2.09 0.11  30.0 0.00 -2.15 0.09  30.0 0.00  30.0 0.00 -1.45 0.09 
-2.09 0.05 -1.05 0.21  30.0 0.00 -1.65 0.22  30.0 0.00 -1.62 0.31  30.0 0.00  30.0 0.00 -1.40 0.21  30.0 0.00 -2.11 0.22  30.0 0.00 -2.17 0.22  30.0 0.00  30.0 0.00  30.0 0.00
-1.79 0.07 -0.65 0.12  30.0 0.00 -1.83 0.36  30.0 0.00 -1.80 0.15  30.0 0.00 -1.76 0.25 -1.31 0.36 -2.46 0.36 -1.98 0.18  30.0 0.00 -1.54 0.28  30.0 0.00  30.0 0.00  30.0 0.00
-0.98 0.03  0.08 0.31  30.0 0.00 -1.09 0.23 -0.87 0.16 -1.30 0.12  30.0 0.00 -1.53 0.08 -0.62 0.25 -1.51 0.23 -1.06 0.06  30.0 0.00  30.0 0.00 -0.82 0.33 -0.44 0.23 -0.61 0.23 
-0.30 0.04 -1.57 0.08 -1.59 0.22 -0.61 0.31 -0.44 0.22 -0.43 0.15  30.0 0.00 -0.62 0.18 -0.97 0.31 -0.75 0.31 -0.75 0.12  30.0 0.00  30.0 0.00 -0.36 0.31  0.62 0.31  30.0 0.00
-2.40 0.02 -0.87 0.12  30.0 0.00 -1.78 0.13  30.0 0.00 -1.97 0.07  30.0 0.00 -2.49 0.13 -1.75 0.13 -2.44 0.09 -2.37 0.06  30.0 0.00 -2.02 0.13  30.0 0.00  30.0 0.00  30.0 0.00
-1.39 0.02 -0.18 0.11  30.0 0.00 -1.35 0.08 -1.32 0.08 -1.44 0.06  30.0 0.00 -1.65 0.12 -0.82 0.07 -1.74 0.06 -1.63 0.06  30.0 0.00 -1.38 0.10 -1.31 0.08  30.0 0.00 -0.71 0.08 
-0.64 0.03 -1.57 0.18 -1.27 0.22 -0.81 0.22 -0.41 0.22 -1.22 0.07  30.0 0.00 -1.10 0.09 -0.90 0.37 -0.92 0.22 -1.21 0.11  30.0 0.00 -0.32 0.16 -0.66 0.16 -0.34 0.22 -0.43 0.22 
-2.05 0.05 -0.28 0.13  30.0 0.00 -2.16 0.25  30.0 0.00 -2.05 0.12  30.0 0.00  30.0 0.00 -1.55 0.25 -2.23 0.25 -1.96 0.16  30.0 0.00 -1.97 0.25  30.0 0.00  30.0 0.00  30.0 0.00
-0.77 0.04 -0.43 0.14  30.0 0.00 -1.07 0.28  30.0 0.00 -1.09 0.09 -0.57 0.28 -1.53 0.11 -0.96 0.28 -0.49 0.28 -0.88 0.10  30.0 0.00 -0.31 0.28 -0.57 0.28  30.0 0.00 -0.29 0.28 
-1.15 0.03 -1.31 0.13 -1.88 0.22 -1.15 0.22  30.0 0.00 -1.67 0.10  30.0 0.00 -1.67 0.08 -1.26 0.23 -1.71 0.22 -1.32 0.12  30.0 0.00 -0.67 0.22 -1.44 0.16  30.0 0.00 -0.91 0.22 
-1.87 0.04 -0.13 0.13  30.0 0.00 -1.36 0.22  30.0 0.00 -1.70 0.08 -1.69 0.22 -2.09 0.38 -1.23 0.28 -1.94 0.16 -1.84 0.08  30.0 0.00 -2.22 0.22  30.0 0.00  30.0 0.00 -1.11 0.22 
-0.60 0.03  30.0 0.00  30.0 0.00 -0.70 0.18  30.0 0.00 -1.03 0.07  30.0 0.00 -0.69 0.09 -0.45 0.13  30.0 0.00 -0.90 0.11  30.0 0.00 -0.17 0.18 -0.28 0.18  30.0 0.00 -0.06 0.38 
-0.48 0.03 -0.36 0.13  30.0 0.00 -0.91 0.13  30.0 0.00 -0.69 0.05  30.0 0.00 -0.76 0.09 -0.64 0.09 -0.33 0.15 -0.81 0.14 -0.76 0.13 -0.30 0.13  30.0 0.00  30.0 0.00 -0.25 0.13 
-0.54 0.03 -0.39 0.12 -1.53 0.19 -0.85 0.19 -0.49 0.19 -0.91 0.08  30.0 0.00 -1.17 0.07 -0.73 0.13 -1.02 0.19 -0.79 0.06  30.0 0.00 -0.29 0.19 -0.55 0.21 -0.22 0.19 -0.13 0.19 
-0.97 0.03 -0.80 0.19 -1.39 0.16 -0.93 0.16 -0.46 0.16 -0.94 0.13 -0.81 0.16 -1.31 0.06 -1.28 0.16 -1.43 0.16 -1.08 0.09  30.0 0.00 -0.30 0.11 -0.34 0.16 -0.19 0.16 -0.52 0.16 
-0.97 0.02 -1.09 0.17 -1.22 0.10 -0.93 0.14 -0.90 0.14 -1.13 0.07  30.0 0.00 -1.17 0.06 -1.30 0.14  30.0 0.00 -1.05 0.04  30.0 0.00 -0.37 0.14 -0.62 0.14 -0.76 0.14 -0.55 0.14 
