[Fe/H]  err  [Na/H]   err    [Mg/H] err    [Al/H]   err    [Si/H]  err    [Ca/H]   err   [Sc/H]  err     [ScII/H] err     [Ti/H]   err    [TiII/H] err   [V/H]   err    [Cr/H]  err  [CrII/H]    err     [Mn/H]  err   [Co/H]   err     [Ni/H]    err   
-0.84 -30.0  -1.330  0.028  -0.827  0.081  -0.931   0.325  -0.807  0.061  -0.677  0.025  -0.970  0.099    -0.842  0.282   -0.763  0.067   -0.782  0.017 -1.109  0.035  -0.824  0.066  -0.797    0.068   -1.148  0.141  -0.929  0.192    -1.000  0.063  
-1.39 -30.0  -1.450  -30.0  -1.090  0.071   -30.0   -30.0  -1.031  0.302  -1.044  0.072   -30.0  -30.0    -1.238  0.162   -0.735  0.272   -0.887  0.183 -0.632  -30.0  -1.067  0.299  -1.185    0.188   -1.430  0.306  -0.611  0.208    -0.991  0.291  
-0.85 -30.0  -1.212  -30.0  -0.793  0.126   0.056   -30.0  -0.872  0.033  -0.709  0.060  -0.543  -30.0    -1.026  0.034   -0.731  0.063   -0.770  0.052 -0.834  0.111  -0.833  0.133  -0.837    0.045   -1.188  0.067  -1.032  0.140    -1.005  0.077  
-0.81 -30.0  -0.901  0.028  -0.697  0.098  -0.868   0.092  -0.719  0.061  -0.663  0.051  -0.708  -30.0    -0.838  0.094   -0.720  0.094   -0.743  0.055 -0.874  0.083  -0.829  0.083  -0.773    0.075   -1.088  0.101  -0.676  0.391    -0.873  0.092  
-0.61 -30.0  -0.521  0.014  -0.323  0.049  -0.375   0.021  -0.365  0.022  -0.335  0.036  -0.374  0.007    -0.488  0.181   -0.290  0.029   -0.283  0.021 -0.505  0.066  -0.598  0.056  -0.580    0.070   -0.870  0.090  -0.456  0.082    -0.580  0.044  
-0.71 -30.0  -0.611  0.007  -0.383  0.071  -0.507   0.042  -0.459  0.024  -0.438  0.029  -0.489  0.120    -0.568  0.046   -0.411  0.047   -0.415  0.043 -0.629  0.078  -0.678  0.052  -0.685    0.091   -0.980  0.099  -0.620  0.068    -0.695  0.044  
-1.32 -30.0  -1.832  0.092  -1.440  0.156   -30.0   -30.0  -1.332  0.117  -1.140  0.037  -1.316  0.165    -1.492  0.119   -1.176  0.065   -1.163  0.076 -1.514  0.032  -1.165  0.116  -1.316    0.064   -1.720  0.128  -1.483  0.105    -1.473  0.090  
-1.07 -30.0  -1.112  -30.0  -0.977  0.086   -30.0   -30.0  -0.969  0.048  -0.875  0.062   -30.0  -30.0    -1.198  0.062   -1.042  0.076   -0.960  0.048 -1.206  0.201  -1.084  0.179  -1.032    0.079   -1.490  0.074  -1.066  0.267    -1.222  0.106  
-1.13 -30.0  -1.328  0.007  -0.893  0.061  -1.124   -30.0  -0.887  0.016  -0.838  0.058   -30.0  -30.0    -1.095  0.061   -0.969  0.061   -0.912  0.097 -1.298  0.060  -1.179  0.134  -0.980    0.240   -1.538  0.052  -1.200  0.064    -1.215  0.056  
-1.03 -30.0  -0.996  0.085  -0.993  0.178  -0.752   -30.0  -0.879  0.200  -0.631  0.111  -0.580  0.118    -0.977  0.136   -0.532  0.141   -0.927  0.149 -0.656  0.181  -0.711  0.167  -0.947    0.021   -1.248  0.069  -0.807  0.144    -1.050  0.150  
-0.36 -30.0  -0.590  0.099  -0.330  0.052    0.116  -30.0  -0.301  0.188  -0.359  0.173    0.197  0.792    -0.180  0.233   0.173   0.369  -0.092  0.242  0.087   0.254 -0.071  0.386   -0.610   0.240   -0.663  0.300  -0.117  0.433    -0.353  0.307 
-0.77 -30.0  -0.688  0.092  -0.513  0.087   -0.679  0.042  -0.546  0.052  -0.460  0.080   -0.566  0.099    -0.655  0.073  -0.469   0.097  -0.503  0.039 -0.780   0.081 -0.738  0.140   -0.721   0.062   -1.058  0.098  -0.606  0.306    -0.769  0.126 
-0.78 -30.0  -0.773  0.042  -0.550  0.087   -0.725  0.120  -0.608  0.063  -0.578  0.062   -0.607  0.084    -0.652  0.073  -0.561   0.049  -0.592  0.035 -0.809   0.027 -0.727  0.056   -0.677   0.107   -0.988  0.088  -0.600  0.160    -0.798  0.051 
-0.83 -30.0  -0.599  0.092  -0.623  0.134   -0.416  0.120  -0.799  0.234  -0.440  0.171   -0.186  0.089    -0.667  0.305  -0.280   0.191  -0.648  0.165 -0.414   0.228 -0.589  0.129   -0.867   0.304   -1.105  0.044  -0.706  0.081    -0.807  0.179 
-0.51 -30.0   0.249  0.919  -0.463  0.147   -0.406  0.014  -0.459  0.192  -0.324  0.173   -0.424  0.233    -0.453  0.185  -0.360   0.150  -0.432  0.354 -0.424   0.181 -0.395  0.126   -0.278   0.389   -0.520  0.087  -0.481  0.140    -0.495  0.119 
-0.84 -30.0  -0.604  0.396  -0.357  0.189   -0.575  0.141  -0.470  0.219  -0.456  0.122   -0.074  0.189    -0.428  0.186  -0.207   0.238  -0.475  0.391 -0.491   0.498 -0.486  0.222   -0.079   0.253   -0.805  0.269   0.025  0.526    -0.437  0.294 
-1.10 -30.0  -1.230  -30.0  -0.933  0.067    -30.0  -30.0  -0.978  0.053  -0.835  0.059    -30.0  -30.0    -1.106  0.056  -0.812   0.102  -0.853  0.080 -0.841   -30.0 -1.017  0.248   -1.079   0.066   -1.457  0.110  -1.221  -30.0    -1.167  0.082 
-0.79 -30.0  -0.695  0.014  -0.483  0.076   -0.565  0.014  -0.543  0.029  -0.515  0.037   -0.565  0.127    -0.647  0.056  -0.517   0.040  -0.512  0.035 -0.715   0.061 -0.783  0.062   -0.705   0.059   -1.050  0.099  -0.684  0.073    -0.779  0.039 
-0.97 -30.0  -0.965  0.035  -0.727  0.057   -0.780  0.042  -0.853  0.113  -0.691  0.086   -0.769  0.070    -0.878  0.133  -0.618   0.121  -0.818  0.146 -0.801   0.180 -0.843  0.095   -0.950   0.163   -1.173  0.017  -0.852  0.158    -0.969  0.106 
