[Fe/H] [C/O] [O/H]
-2.61 -0.39 -1.99
-1.88 -0.50 -1.32
-2.41 -0.39 -1.73
-2.12 -0.47 -1.45
-0.82 -0.38 -0.60
-0.86 -0.18 -0.67
-1.42 -0.35 -0.84
-1.74 -0.53 -1.09
-1.66 -0.56 -0.96
-0.77 -0.33 -0.26
-2.42 -0.44 -1.74
-0.74 -0.24 -0.43
-0.73 -0.30 -0.31
-1.79 -0.35 -1.45
-1.14 -0.51 -0.50
-1.93 -0.51 -1.22
-1.79 -0.55 -1.14
-1.12 -0.42 -0.76
-1.17 -0.38 -0.74
-2.29 -0.55 -1.64
-2.67 -0.14 -2.23
-2.09 -0.51 -1.40
-2.27 -0.35 -1.70
-0.76 -0.42 -0.59
-1.52 -0.50 -0.80
-2.28 -0.54 -1.34
-1.67 -0.58 -1.26
-1.80 -0.61 -1.10
-1.34 -0.46 -1.04
-3.17 -0.43 -2.40
-3.12 -0.39 -2.40
-1.52 -0.67 -0.97
-1.64 -0.63 -0.93
-2.62 -0.24 -2.13
