[Fe/H]  [Al/H] [Al/Fe]
-2.47   -2.39   0.08
-2.82   -2.92   -0.10
-2.59   -2.52   0.07
-2.07   -1.97   0.10
-3.06   -3.12   -0.06
-4.19   -4.12   0.07
-3.77   -3.87   -0.10
-3.36   -3.47   -0.11
-2.88   -2.97   -0.09
-3.04   -3.37   -0.33
-3.86   -3.82   0.04
-3.00   -3.17   -0.17
-3.49   -3.73   -0.24
-2.99   -3.02   -0.03
-2.97   -3.02   -0.05
-3.25   -3.37   -0.12
-3.78   -3.67   0.11
-3.29   -3.32   -0.03
-2.69   -2.63   0.06
-3.41   -3.52   -0.11
-3.14   -3.27   -0.13
-3.43   -3.42   0.01
-2.84   -3.02   -0.18
-3.33   -3.32   0.01
-2.62   -2.47   0.15
-3.56   -3.72   -0.16
-3.04   -3.11   -0.07
-2.82   -2.87   -0.05
-3.19   -3.22   -0.03
-3.06   -3.32   -0.26
-2.69   -2.62   0.07
-3.30   -3.22   0.08
-2.91   -2.92   -0.01
-2.97   -3.27   -0.30
-3.05   -3.17   -0.12
-2.92   -3.22   -0.30
-3.10   -3.19   -0.09
-3.28   -3.37   -0.09
-3.43   -3.47   -0.04
-2.89   -2.97   -0.08
-3.04   -3.07   -0.03
-3.07   -3.22   -0.15
-2.70   -2.97   -0.27
-2.91   -2.99   -0.08
-2.83   -2.92   -0.09
-3.24   -3.42   -0.18
-3.55   -3.50   0.05
-2.75   -2.87   -0.12
-3.08   -3.30   -0.22
-2.58   -2.77   -0.19
