[Fe/H] [Sr/H] [Zr/H] [La/H] [Ce/H] [Nd/H] [Sm/H] [Eu/H]
-0.59 -0.70 -0.52 -30.0 -0.70 -0.51 -0.32 -0.22
 0.18 -30.0  0.09  0.12  0.25  0.07 -30.0  0.11
 0.12 -30.0  0.19  0.09  0.06  0.05  0.07  0.06
 0.03 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.01
-0.64 -0.69 -0.40 -0.67 -30.0 -0.61 -30.0 -0.32
-0.54 -0.56 -30.0 -0.43 -0.36 -0.29 -0.35 -0.30
-0.47 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.30 -30.0 -30.0 -0.29 -0.33 -0.17 -0.23 -0.27
 0.34  0.04 -30.0  0.26 -30.0  0.15 -30.0  0.46
-0.01 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.19 -30.0  0.02 -30.0 -30.0  0.07 -30.0  0.13
-0.18 -30.0 -30.0 -0.23 -30.0 -0.21 -0.15 -30.0
-0.60 -0.14 -30.0 -30.0 -0.22 -0.32 -0.16 -30.0
-0.55 -30.0 -0.23 -30.0 -30.0 -0.29 -30.0 -0.19
-0.41 -30.0 -0.31 -30.0 -0.55 -30.0 -0.23 -30.0
-0.15 -30.0 -0.22 -30.0 -0.26 -0.16 -30.0  0.01
-0.10 -30.0 -30.0 -30.0 -30.0 -0.06 -0.22 -30.0
-0.38 -30.0 -30.0 -0.27 -0.24 -0.23 -30.0 -0.12
-0.24 -30.0 -0.30 -0.48 -30.0 -0.32 -0.27 -0.12
-0.29 -30.0 -0.21 -0.25 -0.31 -0.19 -0.12 -0.04
-0.59 -30.0 -30.0 -0.21 -30.0 -30.0 -0.21 -0.05
 0.16 -30.0  0.06  0.05  0.15  0.10  0.18  0.08
-0.26 -30.0 -30.0 -30.0 -0.24 -0.20 -0.25 -0.09
-0.32 -0.48 -0.32 -0.21 -0.28 -0.26 -0.15 -0.06
-0.35 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.16
-0.06 -30.0 -0.04  0.03 -0.03 -0.06 -0.26  0.04
 0.12 -30.0  0.14 -30.0 -30.0 -0.04  0.21  0.09
-0.29 -30.0 -0.25 -30.0 -0.11 -0.12 -0.07 -0.24
-0.62 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.00 -30.0  0.03 -0.01  0.01 -0.04  0.09  0.01
-0.11 -30.0 -30.0 -0.10 -0.02 -0.04  0.06 -0.03
-0.46 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.04 -30.0 -0.05 -30.0 -0.06  0.06 -30.0  0.13
-0.08 -30.0 -0.10  0.01 -0.12 -0.15 -0.08  0.11
-0.11 -30.0 -0.06 -0.01 -0.28 -0.07  0.11 -30.0
-0.44 -0.55 -0.43 -0.37 -0.56 -0.37 -0.34 -0.13
 0.22 -30.0  0.16  0.15  0.20  0.11  0.24  0.20
-0.10 -30.0 -30.0 -30.0  0.17  0.17  0.17 -30.0
-0.50 -30.0 -0.51 -0.44 -0.61 -30.0 -0.44 -0.28
 0.35 -30.0  0.16  0.22  0.29  0.21 -30.0 -30.0
 0.02 -30.0 -0.10 -0.26 -0.53 -30.0 -0.34 -30.0
-2.05 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.28 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.62 -0.63 -0.35 -30.0 -0.77 -0.62 -0.43 -0.30
 0.20 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  0.12
 0.04  0.31 -0.01 -0.04 -0.01 -0.04  0.31  0.09
-2.62 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.61 -30.0 -30.0 -30.0 -30.0 -30.0  0.04 -0.14
 0.00 -0.15  0.01 -0.04 -0.08 -0.15 -0.02  0.04
-0.23 -30.0 -30.0 -30.0 -0.08 -0.04 -0.03 -0.08
-0.30 -0.15 -30.0 -30.0 -0.03 -0.29 -30.0 -0.15
-0.33 -0.26 -30.0 -30.0 -0.22 -0.33 -30.0 -0.18
 0.10 -30.0  0.10 -0.02  0.19  0.05 -30.0  0.04
-0.28 -0.42 -0.29 -0.39 -0.38 -0.15 -0.27 -0.03
 0.04 -30.0 -0.05 -0.20 -0.19  0.01  0.02  0.10
-0.28 -0.41 -0.32 -0.20 -0.26 -0.20 -0.08  0.04
-0.05 -30.0  0.11 -0.05  0.02  0.00  0.10  0.08
 0.08 -30.0 -30.0 -30.0  0.11  0.06  0.16  0.04
