[Fe/H] [Cbl/H] [O/H] [C/O] [C/H]
-0.36 -0.33 -30.0 -30.0 -0.34
-0.28 -0.11 -30.0 -30.0 -0.13
-0.11 -0.05 -30.0 -30.0 -0.08
-0.45 -0.37 -0.25 -0.12 -0.39
-0.06 -0.02 -0.11 0.09 -0.03
0.17 0.21 0.06 0.15 0.20
0.20 0.19 0.14 0.05 0.18
-0.31 -0.20 -0.12 -0.08 -0.22
-0.17 -0.03 -30.0 -30.0 -0.05
0.26 0.18 0.14 0.04 0.22
0.14 0.15 0.04 0.11 0.14
0.19 0.21 0.11 0.10 0.20
-0.52 -0.39 -0.26 -0.13 -0.40
0.24 0.10 0.13 -0.03 0.18
-0.30 -0.20 -0.23 0.03 -0.22
0.06 0.09 0.03 0.06 0.07
0.10 0.08 0.02 0.06 0.11
0.33 0.21 0.17 0.04 0.22
0.03 -0.09 0.03 -0.12 -0.07
-0.06 -0.13 -0.05 -0.08 -0.13
0.12 0.07 0.12 -0.05 0.05
0.23 0.21 0.15 0.06 0.21
0.32 0.25 0.14 0.11 0.26
-0.40 -0.33 -0.31 -0.02 -0.35
0.12 0.18 0.06 0.12 0.17
-0.24 -0.30 -0.18 -0.12 -0.28
0.37 0.25 0.19 0.24 0.29
0.27 0.25 0.14 0.11 0.25
-0.73 -0.60 -0.46 -0.14 -0.62
0.22 0.10 0.16 -0.06 0.15
-0.17 -0.14 -0.11 -0.03 -0.15
0.22 0.22 0.13 -0.09 0.22
0.20 0.13 0.10 0.03 0.15
0.35 0.27 0.16 0.11 0.31
0.12 0.19 0.05 0.14 0.17
-0.11 0.04 0.09 -0.05 0.03
-0.33 -0.25 -0.05 -0.20 -0.25
-0.42 -0.42 0.00 -0.42 -0.38
-0.59 -0.53 -0.16 -0.37 -0.52
-0.41 -0.38 -0.01 -0.37 -0.35
-0.84 -0.76 -0.32 -0.44 -0.77
-0.71 -0.72 -0.24 -0.48 -0.71
-0.34 -0.20 0.00 -0.20 -0.21
0.30 0.12 0.20 -0.08 0.24
-0.02 -0.11 0.01 -0.12 -0.02
-0.46 -0.44 -0.05 -0.39 -0.44
-0.20 -0.07 0.08 -0.15 -0.06
-0.65 -0.56 -0.29 -0.27 -0.57
-0.38 -0.30 -0.01 -0.29 -0.31
-0.08 -0.08 0.10 -0.18 -0.08
-0.01 0.07 0.04 0.03 0.07
