[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
-0.59  0.04  0.42  0.11  0.08  0.03  0.29  0.04  0.25  0.04  0.16  0.03  0.17  0.04  0.20  0.06 -0.04  0.06 -0.02  0.04  0.13  0.06 -0.13  0.12 -0.09  0.09
 0.18  0.08  0.04  0.15  0.01  0.05  0.11  0.07  0.13  0.05  0.05  0.05  0.03  0.05  0.02  0.07 -0.02  0.07  0.01  0.05  0.20  0.11 -0.16  0.15 -0.02  0.09
 0.12  0.08 -0.05  0.15 -0.01  0.05 -0.01  0.06 -0.04  0.05  0.02  0.06  0.01  0.06 -0.03  0.07  0.03  0.08  0.01  0.06 -0.02  0.08  0.00  0.15  0.01  0.10
-0.23  0.06 -30.0 -30.0  0.05  0.06  0.06  0.09  0.02  0.05  0.05  0.04  0.08  0.05  0.01  0.08 -0.04  0.07 -0.03  0.06 -0.06  0.03 -0.09  0.14  0.17  0.08
 0.03  0.07  0.13  0.14  0.08  0.05  0.08  0.06  0.04  0.04  0.05  0.05  0.04  0.07  0.03  0.07  0.02  0.07 -0.01  0.05 -0.08  0.08 -0.06  0.15 -0.05  0.09
-0.33  0.06 -30.0 -30.0  0.09  0.04  0.03  0.06  0.03  0.04  0.07  0.04  0.09  0.05  0.10  0.07 -0.02  0.08  0.00  0.06 -0.08  0.03 -0.06  0.15  0.18  0.10
-0.02  0.05  0.00  0.09  0.00  0.05 -0.06  0.05 -0.02  0.03  0.00  0.02  0.09  0.03 -0.02  0.05 -0.04  0.07 -0.07  0.05 -0.14  0.03  0.04  0.12  0.35  0.05
-0.64  0.06  0.67  0.16  0.05  0.04  0.41  0.07  0.34  0.04  0.23  0.07  0.23  0.09  0.32  0.09  0.09  0.18  0.01  0.07  0.22  0.08  0.09  0.20 -0.05  0.06
-0.54  0.05  0.20  0.13  0.04  0.03  0.13  0.03  0.06  0.04  0.05  0.05  0.12  0.06  0.10  0.06  0.04  0.06 -0.04  0.05  0.00  0.08 -0.02  0.14  0.01  0.07
-0.19  0.06  0.00  0.15  0.00  0.03  0.05  0.04  0.08  0.03  0.05  0.03  0.06  0.04  0.05  0.07 -0.01  0.09 -0.03  0.07 -0.04  0.06 -0.03  0.16  0.11  0.06
-0.47  0.05  0.50  0.11  0.03  0.04  0.34  0.04  0.27  0.04  0.20  0.05  0.14  0.07  0.23  0.05  0.03  0.06  0.02  0.05  0.20  0.06  0.01  0.12 -0.07  0.06
-0.30  0.05  0.02  0.17  0.07  0.08  0.19  0.07  0.18  0.05  0.11  0.06  0.10  0.09  0.10  0.04  0.01  0.05  0.01  0.05  0.03  0.08  0.00  0.14  0.07  0.07
