[Fe/H] [Cu/H] [Zn/H]
-3.05 -4.00 -2.35
-3.01 -3.94 -2.81
-2.99 -3.85 -2.34
-2.82 -3.77 -2.02
-2.74 -3.79 -2.29
-2.66 -3.76 -2.21
-2.47 -3.42 -2.27
-2.36 -3.01 -1.96
-2.18 -30.0 -2.03
-2.17 -2.87 -1.82
-2.11 -3.11 -2.31
-2.06 -2.96 -1.96
-2.04 -2.69 -1.69
-1.83 -2.28 -1.13
-1.78 -2.23 -30.0
-1.76 -2.51 -1.61
-1.74 -2.19 -1.64
-1.68 -1.88 -1.23
-1.60 -2.10 -1.10
-1.57 -1.88 -1.52
-1.50 -1.90 -30.0
-1.49 -1.79 -1.39
-1.48 -2.10 -1.43
-1.48 -1.63 -1.33
-1.43 -1.83 -1.38
-1.20 -1.45 -30.0
-1.12 -1.42 -1.02
-1.05 -0.95 -0.85
-0.95 -1.00 -0.80
-0.91 -1.16 -0.76
-0.90 -1.02 -0.74
-0.86 -0.96 -0.91
-0.81 -0.66 -0.81
-0.70 -0.85 -0.75
-0.67 -0.67 -0.67
-0.65 -0.70 -0.60
-0.50 -0.56 -0.54
-0.35 -0.40 -0.35
