[Fe/H] err [C/Fe] err [N/Fe] err [Mg/Fe] err [Al/Fe] err [Ca/Fe] err [Ti/Fe] err [Mn/Fe] err [FeII/H] err [Ni/Fe] err [SrII/Fe] err [BaII/Fe] err [EuII/Fe] err [Na/Fe] err [Si/Fe] err [ScII/Fe] err [TiI/Fe] err [V/Fe] err [Cr/Fe] err [Co/Fe] err [Cu/Fe] err [Zn/Fe] err [YII/Fe] err [LaII/Fe] err [Pb/Fe] err [K/Fe] err [VII/Fe] err [Sr/Fe] err [ZrII/Fe] err [NdII/Fe] err [CeII/Fe] err [CaII/Fe] err [MnII/Fe] err [O/Fe] err [PrII/Fe] err [DyII/Fe] err [FeIII/H] err [CrII/Fe] err [SmII/Fe] err [GdII/Fe] err [Sc/Fe] err
-2.79 0.16 2.66 -30.0 2.11 -30.0 0.57 0.16 -0.05 -30.0 0.37 -30.0 0.29 0.14 -0.17 0.02 -0.02 0.21 0.06 -30.0 -0.02 -30.0 0.09 -30.0 1.71 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.29 0.21 0.16 -30.0 -30.0 -30.0 0.03 0.27 -0.16 0.22 -0.1 0.19 0.04 0.07 -0.28 0.07 0.03 0.04 0.29 0.24 -1.89 -30.0 -1.11 -30.0 1.25 -30.0 -0.16 0.14 -0.06 -30.0 0.12 0.13 0.67 -30.0 1.06 -30.0 -0.33 0.16 0.63 0.12 1.31 0.36 1.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.99 0.2 0.0 -30.0 -30.0 -30.0 0.56 0.05 -0.11 -30.0 0.26 0.07 0.31 0.18 -0.76 0.16 -0.04 0.15 -0.26 0.02 -0.43 0.07 -0.27 -30.0 0.66 0.06 -30.0 -30.0 0.65 -30.0 0.07 0.08 0.33 0.15 -30.0 -30.0 -0.38 0.26 0.44 0.2 -30.0 -30.0 0.14 -30.0 -0.21 0.02 0.01 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.52 0.16 1.59 -30.0 0.54 -30.0 0.85 0.1 -30.0 -30.0 0.42 0.15 0.13 0.05 -30.0 -30.0 -0.15 0.19 -30.0 -30.0 -30.0 -30.0 1.15 0.05 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.03 0.15 -30.0 -30.0 -0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 2.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.07 0.17 2.9 -30.0 -30.0 -30.0 0.88 0.13 -0.04 -30.0 0.4 0.15 0.13 0.19 -0.33 0.12 -0.14 0.21 -0.08 -30.0 0.74 -30.0 1.28 0.18 1.0 -30.0 1.38 0.0 -30.0 -30.0 1.61 -30.0 0.98 -30.0 -30.0 -30.0 -30.0 -30.0 0.77 -30.0 -30.0 -30.0 -30.0 -30.0 0.7 0.01 1.71 0.04 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.8 0.14 -30.0 -30.0 -30.0 -30.0 0.18 0.08 0.36 0.05 0.14 0.08 0.15 0.09 -0.84 0.16 0.12 0.16 -0.08 -30.0 0.03 0.03 0.35 -30.0 1.18 0.0 -30.0 -30.0 -0.23 -30.0 0.01 0.21 -30.0 -30.0 -30.0 -30.0 -0.33 0.13 0.33 0.09 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.72 0.15 -30.0 -30.0 -30.0 -30.0 0.49 0.07 -0.18 0.12 0.37 0.14 0.35 0.1 -0.64 0.15 -0.07 0.16 -0.01 -30.0 -0.45 0.07 -0.56 -30.0 1.36 -30.0 -30.0 -30.0 0.05 -30.0 0.14 0.08 0.59 0.08 1.01 -30.0 -0.21 0.1 0.39 0.13 -30.0 -30.0 0.58 -30.0 0.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.15 0.18 0.12 -30.0 0.92 -30.0 0.53 0.12 -0.21 -30.0 0.33 0.13 0.27 0.11 -0.83 0.01 0.06 0.15 -0.2 0.05 -0.52 -30.0 -0.52 0.02 -30.0 -30.0 0.11 0.06 0.01 -30.0 0.26 0.15 0.21 0.1 -30.0 -30.0 -0.43 0.15 0.31 0.13 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.18 0.18 0.06 -30.0 -30.0 -30.0 0.54 0.08 0.01 -30.0 0.16 0.13 0.05 0.14 -0.99 0.02 0.03 0.19 -0.39 -30.0 -0.36 0.07 0.02 0.13 0.03 0.07 0.33 0.03 0.55 0.2 0.16 0.05 -0.01 0.14 -0.31 -30.0 -0.71 0.19 0.27 0.26 -30.0 -30.0 -0.04 -30.0 -0.51 0.04 -0.04 0.03 -30.0 -30.0 0.39 -30.0 -0.01 0.21 0.75 -30.0 -0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.66 0.16 0.37 -30.0 0.13 -30.0 0.47 0.11 -0.39 -30.0 0.34 0.1 0.31 0.11 -0.58 0.17 -0.2 0.12 -0.22 0.2 0.02 -30.0 -0.43 0.13 0.48 0.16 -0.01 0.07 0.58 -30.0 0.19 0.12 0.3 0.12 -30.0 -30.0 -0.23 0.17 0.36 0.27 -30.0 -30.0 0.28 0.1 -0.11 0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.4 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.51 0.16 -30.0 -30.0 -30.0 -30.0 0.23 0.1 -0.17 0.12 0.32 0.12 0.51 0.12 -0.83 0.14 -0.04 0.1 0.05 -30.0 -0.27 0.05 -0.2 -30.0 1.55 -30.0 -30.0 -30.0 0.02 -30.0 0.33 0.1 0.57 0.11 -30.0 -30.0 -0.15 0.09 0.22 0.02 -30.0 -30.0 0.52 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.84 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.65 0.11 0.72 -30.0 -30.0 -30.0 0.32 0.09 -0.27 0.21 0.28 0.07 0.35 0.06 -0.61 0.07 0.06 0.12 -30.0 -30.0 -0.16 0.05 -0.49 -30.0 -30.0 -30.0 -0.35 0.08 0.22 -30.0 0.2 0.05 0.64 0.09 -30.0 -30.0 -0.24 0.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.76 0.16 1.93 -30.0 1.78 -30.0 0.52 0.27 0.35 -30.0 0.21 0.11 0.69 0.17 -0.51 0.01 0.1 0.09 -0.2 -30.0 0.47 -30.0 1.97 0.09 1.54 0.13 0.19 0.01 -30.0 -30.0 0.22 0.19 0.53 0.12 -30.0 -30.0 -0.16 0.13 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 0.6 0.03 1.74 0.04 2.8 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.98 0.26 1.94 0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.1 0.11 0.87 -30.0 -30.0 -30.0 0.45 0.07 -0.34 -30.0 0.39 0.07 0.2 0.04 -0.74 0.09 0.05 0.14 0.13 -30.0 -0.58 0.02 -0.54 -30.0 1.63 -30.0 0.93 -30.0 0.23 -30.0 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -0.29 0.07 0.46 0.01 -30.0 -30.0 1.03 -30.0 0.71 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.15 0.15 0.52 -30.0 -0.03 -30.0 0.44 0.11 -0.52 -30.0 0.33 0.12 0.34 0.11 -0.6 0.02 0.1 0.16 -0.04 0.03 0.21 -30.0 -0.87 -30.0 -30.0 -30.0 -0.13 0.06 0.45 -30.0 0.25 0.13 0.38 0.15 -30.0 -30.0 -0.49 0.08 0.55 0.1 -30.0 -30.0 -30.0 -30.0 0.24 0.05 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.66 -30.0 -30.0 -30.0 -30.0 -30.0 0.74 -30.0 -0.34 0.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.55 0.15 -30.0 -30.0 -30.0 -30.0 0.42 0.23 -0.32 0.05 0.2 0.11 0.31 0.13 -0.71 0.08 0.02 0.17 -0.22 -30.0 -0.38 0.04 -0.51 -30.0 1.66 -30.0 -30.0 -30.0 0.11 -30.0 0.2 0.25 0.74 0.16 -30.0 -30.0 -0.29 0.15 0.49 0.03 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.8 0.19 0.21 6.1 -30.0 -30.0 0.28 0.07 -30.0 -30.0 0.22 0.17 0.01 0.15 -1.23 0.02 -0.05 0.14 -0.33 0.18 -0.42 -30.0 -1.07 -30.0 -30.0 -30.0 -0.24 0.03 -30.0 -30.0 -30.0 -30.0 0.06 0.11 -30.0 -30.0 -0.5 0.1 0.33 0.21 -30.0 -30.0 0.08 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.34 0.15 0.4 -30.0 -30.0 -30.0 0.5 0.13 -0.24 -30.0 0.52 0.13 0.14 0.1 -0.94 0.01 -0.03 0.13 -30.0 -30.0 0.22 0.03 -0.72 0.11 0.61 -30.0 -0.05 0.06 0.82 -30.0 -0.07 0.09 0.22 0.11 -30.0 -30.0 -0.44 0.19 0.48 -30.0 -30.0 -30.0 0.45 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.09 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 2.04 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-3.55 0.15 0.62 -30.0 1.07 -30.0 0.35 0.08 -0.19 0.17 0.27 0.11 0.39 0.1 -0.9 0.02 -0.05 0.17 -0.04 0.06 0.05 0.05 -0.85 0.04 1.18 0.17 -0.11 0.08 0.57 -30.0 0.75 0.04 0.61 0.1 -30.0 -30.0 -0.43 0.12 0.55 0.18 -0.85 0.06 0.84 -30.0 0.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.36 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.0 -30.0 -0.48 0.16 1.57 0.2 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.74 0.15 1.79 -30.0 -30.0 -30.0 0.46 0.07 -30.0 -30.0 0.16 0.18 0.21 0.12 -30.0 -30.0 0.08 0.15 -30.0 -30.0 0.97 -30.0 1.65 0.06 -30.0 -30.0 0.67 0.15 -30.0 -30.0 -30.0 -30.0 0.39 0.1 -30.0 -30.0 -0.43 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.13 0.29 1.37 0.04 -30.0 -30.0 0.43 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.66 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.62 0.14 -30.0 -30.0 -30.0 -30.0 0.5 0.02 -0.13 0.13 0.37 0.13 0.26 0.09 -0.49 0.14 -0.06 0.17 0.09 -30.0 -0.28 0.0 -0.39 -30.0 1.24 -30.0 -30.0 -30.0 0.18 -30.0 -30.0 -30.0 0.64 0.16 -30.0 -30.0 -0.34 0.09 0.6 0.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 1.75 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
