[Fe/H]  err    [La/H]  err    [Eu/H]  err    [Pb/H]  err
-3.05  -30.0   -3.71   0.10   -3.34   0.20   -30.0  -30.0
-1.93  -30.0   -2.06   0.12   -1.75   0.14   -2.26   0.19 
-2.52  -30.0   -3.48   0.11   -3.16   0.20   -30.0  -30.0
-2.14  -30.0   -2.14   0.12   -2.03   0.16   -30.0  -30.0
-1.98  -30.0   -2.21   0.14   -1.83   0.16   -2.41   0.22
-2.42  -30.0   -2.24   0.05   -1.90   0.05   -30.0  -30.0
-1.86  -30.0   -1.82   0.12   -1.43   0.14   -2.21   0.19
-1.52  -30.0   -1.44   0.06   -1.03   0.09   -1.53   0.20
-2.18  -30.0   -2.20   0.07   -1.85   0.05   -1.89   0.30
-2.72  -30.0   -3.59   0.13   -3.28   0.11   -30.0  -30.0
-1.95  -30.0   -1.83   0.05   -1.47   0.07   -2.14   0.14
-2.40  -30.0   -2.70   0.16   -2.33   0.20   -30.0  -30.0
-1.66  -30.0   -1.74   0.12   -1.40   0.14   -2.01   0.19
-1.87  -30.0   -1.82   0.05   -1.58   0.07   -2.01   0.25
-1.64  -30.0   -1.60   0.12   -1.25   0.18   -1.86   0.26
-1.93  -30.0   -1.79   0.12   -1.39   0.14   -1.96   0.26
