[Fe/H] err     [FeII/H] err    [C/Fe] err     [N/Fe] err      [O/Fe] err     [Na/Fe] err   [Mg/Fe] err   [Al/Fe] err   [Si/Fe] err     [K/Fe] err      [Ca/Fe] err    [Sc/Fe] err     [Ti/Fe] err     [TiII/Fe] err  [V/Fe] err      [VII/Fe] err      [Cr/Fe] err  [Mn/Fe] err     [Co/Fe] err       [Ni/Fe] err       [Cu/Fe] err    [Zn/Fe] err     [Sr/Fe] err    [Y/Fe] err       [Zr/Fe] err      [Ru/Fe] err     [Ba/Fe] err      [La/Fe] err        [Ce/Fe] err      [Pr/Fe] err     [Nd/Fe] err        [Sm/Fe] err       [Eu/Fe] err      [Gd/Fe] err        [Tb/Fe] err       [Dy/Fe] err         [Ho/Fe] err       [Er/Fe] err      [Yb/Fe] err       [Hf/Fe] err    [Ir/Fe] err [Pb/Fe] err
-3.22  0.15     -3.09  0.15     0.01  0.25     0.60  0.36      51111 -30.0   14444 -30.0    0.69  0.15   -0.67  0.29    15555 -30.0    16666 -30.0      0.62  0.17    -0.05  0.15      0.29  0.15      0.22  0.15    -0.03  0.19       0.15  0.24      -0.15  0.14   -0.42  0.16      0.00  0.20        0.07  0.21      26666 -30.0     27777 -30.0     -0.28  0.25    -0.53  0.17       -0.06  0.18     31111 -30.0     -0.44  0.15      -0.08  0.22      -320.11 -30.0       0.53  0.22      -0.18  0.18       35555 -30.0       0.19  0.19     3660.81 -30.0        37777 -30.0        0.29  0.20        39999 -30.0        0.47  0.43       0.07  0.19      4331.30 -30.0   44444 -30.0 881.71  0.00                                                                                                                                                                        
-2.85  0.21     -2.59  0.15    -0.08  0.25  1330.61 -30.0       0.87  0.20   14444 -30.0    0.48  0.21   -0.68  0.29     0.44  0.36    16666 -30.0      0.49  0.22    -0.06  0.15      0.44  0.20      0.31  0.15    19999 -30.0    2220.31 -30.0      -0.13  0.21   -0.41  0.20      0.06  0.25       -0.10  0.26      26666 -30.0   2770.54 -30.0     -0.00  0.23    -0.42  0.22     2990.37 -30.0     31111 -30.0     -0.79  0.14     666666  0.00      3220.93 -30.0    3331.29 -30.0    3440.87 -30.0     3551.51 -30.0     990.89  0.00     3661.63 -30.0      3771.82 -30.0     3880.94 -30.0      3991.38 -30.0     4111.16 -30.0    4220.44 -30.0      4332.05 -30.0   44444 -30.0 882.26  0.00         
-3.31  0.15     -3.12  0.15    -0.33  0.25     0.60  0.36    5110.85 -30.0   14444 -30.0    0.30  0.15   -0.66  0.30     1.03  0.27     0.45  0.18      0.21  0.17    -0.40  0.15     -0.21  0.14     -0.12  0.15    -0.42  0.18      -0.45  0.26      -0.28  0.15   -0.34  0.15     -0.37  0.20       -0.05  0.19    -260.08 -30.0      0.45  0.14     -0.12  0.21    -0.81  0.17       -0.21  0.15     31111 -30.0     -1.64  0.15     666666  0.00      -320.62 -30.0    -230.10 -30.0    -340.51 -30.0     3550.06 -30.0     -80.68  0.00     3660.39 -30.0      3770.38 -30.0     -380.55 -30.0      3990.20 -30.0     4110.13 -30.0    -420.89 -30.0      4330.95 -30.0   44444 -30.0 881.41  0.00         
-2.54  0.21     -2.42  0.14     0.25  0.25  1331.10 -30.0       0.44  0.21   14444 -30.0    0.38  0.22   -0.74  0.31  1550.90 -30.0    16666 -30.0      0.47  0.22     0.11  0.15      0.40  0.20      0.44  0.14    19999 -30.0       0.49  0.29      -0.09  0.21   -0.15  0.21      0.05  0.23        0.16  0.27      26666 -30.0   2770.42 -30.0      0.29  0.24    -0.26  0.22        0.42  0.17     31111 -30.0     -0.48  0.15     666666  0.00      3220.92 -30.0    3331.34 -30.0    3440.73 -30.0     3551.45 -30.0     990.55  0.00     3661.54 -30.0      3771.83 -30.0     3881.03 -30.0      3991.30 -30.0     4111.39 -30.0    4220.33 -30.0      4331.91 -30.0   44444 -30.0 882.04  0.00         
-3.63  0.21     -3.35  0.17  1221.01 -30.0  1333.71 -30.0    5110.83 -30.0   -0.10  0.22    0.34  0.22   -0.78  0.23     0.08  0.26    16666 -30.0      0.54  0.24    -0.00  0.15     18888 -30.0      0.20  0.14  1991.47 -30.0    2221.21 -30.0      -0.11  0.20  230.49 -30.0   2440.54 -30.0       -0.00  0.33    2661.74 -30.0   2771.41 -30.0     -1.37  0.17   770.96  0.00     2991.04 -30.0     31111 -30.0    -90.53  0.00     661.48  0.00      3221.77 -30.0    3332.30 -30.0    3441.79 -30.0     3552.28 -30.0     991.56  0.00     3662.48 -30.0      3772.68 -30.0     3881.95 -30.0      3992.40 -30.0     4112.28 -30.0    4221.33 -30.0      4333.10 -30.0   44444 -30.0 883.13  0.00         
-2.68  0.14     -2.70  0.15     0.07  0.25    -0.10  0.36       0.59  0.19   14444 -30.0    0.55  0.16   -0.72  0.30    15555 -30.0     0.32  0.18      0.52  0.17    -0.08  0.15      0.17  0.14      0.24  0.15    -0.15  0.17       0.11  0.24      -0.21  0.15   -0.39  0.14     -0.14  0.22        0.14  0.18    -260.30 -30.0      0.19  0.15     -0.11  0.25    -0.46  0.17        0.04  0.15     31111 -30.0     -0.34  0.15      -0.10  0.20      3220.48 -30.0       0.55  0.16       0.02  0.16        0.11  0.20       0.20  0.16     3660.93 -30.0      3771.70 -30.0        0.27  0.16        39999 -30.0        0.32  0.42      -0.05  0.18      4331.08 -30.0 4441.80 -30.0 881.04  0.00 
-3.29  0.22     -3.02  0.14  1220.50 -30.0  1331.10 -30.0    5110.94 -30.0   14444 -30.0    0.50  0.21   -0.75  0.22     0.39  0.36    16666 -30.0      0.56  0.23    -0.02  0.15      0.58  0.21      0.13  0.14    19999 -30.0    2220.96 -30.0      -0.33  0.20   -0.55  0.20      0.12  0.27       -0.22  0.27      26666 -30.0   2770.96 -30.0     -0.31  0.16   -70.15  0.00     2990.73 -30.0     31111 -30.0     -0.68  0.15     661.52  0.00      3221.47 -30.0    3332.03 -30.0    3441.43 -30.0     3552.01 -30.0     991.10  0.00     3662.22 -30.0      3772.97 -30.0     3881.40 -30.0      3992.00 -30.0     4111.88 -30.0    4221.28 -30.0      4332.81 -30.0 4443.48 -30.0 882.92  0.00 
-3.42  0.21     -3.37  0.16  1220.89 -30.0  1333.34 -30.0    5111.12 -30.0   14444 -30.0    0.35  0.24   -0.75  0.21     0.40  0.34    16666 -30.0      0.46  0.24    -0.09  0.17     18888 -30.0      0.18  0.15    19999 -30.0    2221.13 -30.0      -0.30  0.20   -0.57  0.22      0.30  0.28       -0.02  0.27      26666 -30.0   2771.17 -30.0     -0.47  0.13     -999  0.00     2991.25 -30.0     31111 -30.0    -90.50  0.00     661.54  0.00      3221.74 -30.0    3332.36 -30.0    3441.69 -30.0     3552.35 -30.0     991.48  0.00     3662.49 -30.0      3772.79 -30.0     3881.79 -30.0      3992.30 -30.0     4112.26 -30.0    4221.19 -30.0      4333.00 -30.0   44444 -30.0 882.97  0.00 
-3.00  0.22     -2.88  0.15  1220.60 -30.0  1331.40 -30.0    5110.41 -30.0   14444 -30.0    0.44  0.22   -0.70  0.23     0.55  0.36    16666 -30.0      0.55  0.22    -0.06  0.15      0.45  0.22      0.21  0.14    19999 -30.0      22222 -30.0      -0.17  0.20   -0.46  0.21      0.14  0.25       -0.02  0.27      26666 -30.0   2770.98 -30.0     -0.35  0.16   770.19  0.00     2990.63 -30.0     31111 -30.0     -0.51  0.14     661.07  0.00      3221.39 -30.0    3332.30 -30.0    3441.40 -30.0     3551.92 -30.0     991.04  0.00     3662.00 -30.0      3772.38 -30.0     3881.43 -30.0      3991.84 -30.0     4111.75 -30.0    4220.95 -30.0      4332.54 -30.0   44444 -30.0 882.53  0.00 
-2.86  0.21     -2.90  0.15     0.52  0.25  1331.27 -30.0       0.30  0.23   -0.05  0.31    0.49  0.22   -0.77  0.29     0.71  0.36    16666 -30.0      0.46  0.22    -0.02  0.15      0.47  0.21      0.28  0.14  1990.53 -30.0    2220.51 -30.0      -0.20  0.21   -0.41  0.20      0.18  0.24        0.00  0.28      26666 -30.0   2770.74 -30.0     -0.28  0.20   -70.32  0.00     2990.83 -30.0     31111 -30.0     -0.50  0.14     666666  0.00      3221.21 -30.0    3331.68 -30.0    3441.25 -30.0     3551.80 -30.0     990.95  0.00     3661.99 -30.0      3772.27 -30.0     3881.28 -30.0      3991.83 -30.0     4111.73 -30.0    4220.65 -30.0      4332.57 -30.0   44444 -30.0 882.40  0.00 
