[Fe/H] [C/Fe] [N/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [TiII/Fe] [Cr/Fe] [Mn/Fe] [FeII/Fe] [Co/Fe] [Ni/Fe] [Sr/Fe] [Ba/Fe]
-2.92   0.16   0.21 -30.0  0.21 -30.0 -30.0  0.27  0.07  0.30  0.32 -0.31 -0.68 -2.87  0.11  0.02 -0.19 -1.09
-1.00   1.07   1.28 -0.04 -0.06 -30.0 -30.0  0.11 -30.0  0.28  0.21 -30.0 -30.0 -1.34 -30.0 -30.0 -30.0  1.51
-2.80   0.36  -0.24 -30.0  0.08 -30.0  0.39  0.28  0.33  0.33  0.50 -0.12 -0.60 -2.70  0.24  0.28  0.04 -0.57
-2.95   0.40  -30.0 -30.0  0.28 -30.0  0.51  0.33  0.77  0.60  0.70 -0.14 -30.0 -3.01  0.44  0.20 -0.02 -0.26
-2.82  -30.0  -30.0 -30.0  0.82 -0.49 -30.0  0.54  0.25  0.63  0.35 -0.38 -30.0 -2.78 -30.0 -30.0  0.46  1.88
-3.32   1.18  -30.0 -30.0  0.50 -30.0 -30.0  0.58  0.46 -30.0  0.53  0.05 -30.0 -30.0  0.65  0.22  0.04 -30.0
-3.05   0.56  -30.0 -30.0  0.55 -30.0 -30.0  0.72  0.44 -30.0  0.72  0.13 -30.0 -3.08  0.53  0.32  0.43 -30.0
-2.28   2.00   1.20 -30.0  0.12 -0.45 -30.0 -30.0 -30.0  0.34  0.67 -30.0 -30.0 -2.20 -30.0 -30.0  0.91  2.30
-2.74  -30.0  -30.0 -30.0  0.48 -0.63  0.30  0.47  0.22  0.64  0.47 -0.12 -0.65 -2.85  0.34  0.09 -0.26 -0.54
-2.31  -0.50   0.85  0.45  0.06 -0.51 -30.0  0.23  0.43  0.12  0.50 -0.15 -30.0 -2.19 -0.06  0.04  0.25 -0.14
-2.65   0.58   1.59  0.40  0.32 -30.0 -30.0  0.34 -30.0  0.29  0.30 -30.0 -30.0 -2.59 -30.0 -30.0 -30.0 -0.42
-2.60   2.32  -30.0  0.79  0.14 -30.0 -30.0  0.31 -30.0 -30.0  0.35 -0.09 -30.0 -2.48  0.25 -0.07 -0.07  0.40
-3.00   2.72   2.63 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  0.66  0.56 -0.11 -30.0 -3.01 -30.0 -30.0 -30.0  2.28
-2.67   2.12   1.20  1.18  0.20 -0.68 -30.0  0.21 -30.0  0.50  0.37 -0.17 -30.0 -2.60  0.24  0.07  0.33  2.32
-3.04   0.11  -30.0 -30.0  0.47 -0.44 -30.0  0.51 -30.0  0.42  0.51 -0.09 -0.68 -3.00  0.12  0.02  0.04 -1.17
-4.15  -0.33   1.07  0.03  0.17 -0.65 -30.0  0.22  0.10  0.44  0.29 -0.40 -30.0 -4.11  0.35 -0.14 -0.71 -0.76
-3.68   1.81   2.40 -0.08  0.29 -30.0 -0.01  0.11 -30.0 -30.0  0.40  0.23 -30.0 -3.51 -30.0  0.30 -0.85  0.14
-2.59  -30.0  -30.0 -30.0  0.34 -0.61  0.27  0.42  0.39  0.62  0.59 -0.06 -0.81 -2.60  0.23  0.17 -0.10 -0.27
-4.08   0.86   2.15  1.98  0.51 -30.0 -30.0  0.65  0.17  0.68  0.40 -0.50 -30.0 -30.0 -30.0  0.17 -1.06 -0.46
-2.93   0.30   0.12  0.32  0.20 -0.91 -30.0  0.24  0.07  0.19  0.15 -0.41 -30.0 -2.90  0.02 -0.03  0.22  0.49
-2.74  -0.67  -30.0 -30.0  0.30 -0.46 -30.0  0.39 -30.0  0.29  0.45 -30.0 -0.53 -2.62 -0.01 -0.15  0.25 -0.04
-2.90  -30.0  -30.0 -30.0  0.44 -0.65  0.29  0.53  0.19 -30.0  0.26 -0.20 -0.63 -2.84  0.45  0.19 -0.39 -0.08
-3.28   1.31  -30.0 -0.02  0.06 -0.69  0.16  0.42  0.10  0.76  0.35 -0.13 -0.66 -3.03  0.64  0.09 -0.30 -0.64
-2.75  -30.0  -30.0 -30.0  0.29 -0.78  0.39  0.31  0.20  0.78  0.49 -0.18 -0.69 -2.52  0.50 -0.12 -0.15 -0.27
-3.17   0.42  -30.0 -30.0  0.25 -0.49 -30.0  0.32 -30.0  0.63  0.41 -30.0 -0.70 -3.13  0.24  0.15  0.26 -0.33
-5.54   3.85   2.43  1.11  0.26 -30.0 -30.0  0.12 -30.0 -30.0  0.04 -30.0 -30.0 -30.0 -30.0 -30.0 -0.52  0.82
-2.65  -30.0  -30.0 -30.0  0.00 -30.0 -30.0  0.26 -30.0 -30.0 -30.0 -0.28 -30.0 -30.0 -30.0 -0.08 -30.0 -30.0
-2.39   0.41   1.42  0.26  0.19 -30.0 -30.0  0.30 -30.0  0.39  0.38 -0.09 -30.0 -2.34 -30.0 -30.0 -30.0 -0.14
-3.14  -30.0  -30.0 -30.0 -30.0 -30.0 -30.0  0.80 -30.0 -30.0  0.77 -30.0 -30.0 -3.03 -30.0  0.63  0.08 -30.0
-2.64  -0.13   0.82  0.48  0.16 -0.70 -30.0  0.30  0.23  0.26  0.45 -0.20 -30.0 -2.75  0.03  0.13  0.18 -0.45
-2.70   0.37  -30.0 -30.0 -30.0 -30.0 -30.0 -0.18 -30.0  0.75 -0.04 -0.61 -30.0 -2.80 -30.0 -0.37 -0.50 -30.0
-2.75   0.16  -0.51  0.46  0.29 -0.57 -30.0  0.31  0.18  0.44  0.38 -0.31 -0.48 -2.76  0.02  0.18  0.63  1.02
-3.02  -30.0  -30.0 -30.0  0.12 -0.78 -0.07  0.39  0.28 -30.0  0.50 -0.06 -0.50 -30.0 -30.0 -30.0  0.09 -0.71
-3.79   0.62   1.07  0.07  0.32 -0.61  0.66  0.36  1.05  0.70  0.50 -0.36 -0.86 -3.62  0.44  0.06  0.30 -0.88
-4.00   1.13  -30.0  0.11  0.32 -0.19 -30.0  0.17  0.32 -30.0  0.50 -30.0 -30.0 -30.0 -30.0  0.13  1.09  0.34
-4.09   1.57  -30.0  0.17  0.48 -0.16 -30.0  0.20 -0.07 -30.0  0.04 -30.0 -30.0 -30.0 -30.0  0.12  0.53 -0.04
-2.67  -30.0  -30.0 -30.0  0.54 -0.55  0.45  0.46 -30.0  0.67  0.37 -0.26 -0.51 -2.63  0.54  0.20 -0.09 -0.32
-2.32   1.82   0.85 -30.0  0.65 -0.64 -30.0 -30.0 -30.0  0.57  0.42 -0.30 -0.82 -2.44  0.47 -0.18  1.09  2.42
