&H-1      &7.01016E-03
&H-2      &4.35193E-06
&He-3     &9.16540E-07
&He-4     &3.36945E-01
&Li-6     &8.18375E-13
&Li-7     &3.09695E-15
&Be-9     &4.44164E-13
&B-10     &1.66678E-11
&B-11     &3.81771E-10
&C-12     &6.30176E-09
&C-13     &2.41103E-07
&N-14     &4.35223E-07
&N-15     &2.23893E-07
&O-16     &5.40020E-06
&O-17     &1.44499E-04
&O-18     &6.64173E-06
&F-19     &4.57041E-06
&Ne-20    &3.28302E-05
&Ne-21    &1.53332E-05
&Ne-22    &1.86939E-05
&Na-23    &2.75464E-08
&Mg-24    &3.54181E-08
&Mg-25    &1.87399E-08
&Mg-26    &4.50805E-08
&Al-27    &6.20191E-10
&Si-28    &2.72528E-10
&Si-29    &1.54819E-09
&Si-30    &2.79258E-09
&P-31     &2.40983E-09
&S-32     &1.44557E-08
&S-33     &3.54091E-09
&S-34     &2.74275E-07
&S-36     &2.17876E-08
&Cl-35    &1.37493E-07
&Cl-37    &1.80229E-07
&Ar-36    &0.00000E+00
&Ar-38    &5.66836E-07
&Ar-40    &7.21420E-08
&K-39     &6.39242E-08
&K-40     &0.00000E+00
&K-41     &2.52082E-07
&Ca-40    &0.00000E+00
&Ca-42    &8.04505E-05
&Ca-43    &3.84812E-05
&Ca-44    &2.76897E-05
&Ca-46    &4.82807E-05
&Ca-48    &2.13856E-05
&Sc-45    &8.55758E-06
&Ti-46    &0.00000E+00
&Ti-47    &3.07859E-05
&Ti-48    &2.31310E-25
&Ti-49    &9.96909E-06
&Ti-50    &4.13496E-05
&V-50     &0.00000E+00
&V-51     &5.30614E-06
&Cr-50    &0.00000E+00
&Cr-52    &2.08386E-05
&Cr-53    &2.75210E-05
&Cr-54    &1.57967E-05
&Mn-55    &1.07270E-05
&Fe-54    &0.00000E+00
&Fe-56    &3.71786E-05
&Fe-57    &4.73082E-06
&Fe-58    &3.27695E-06
&Co-59    &5.89379E-06
&Ni-58    &0.00000E+00
&Ni-60    &9.36950E-06
&Ni-61    &5.89012E-06
&Ni-62    &3.67054E-05
&Ni-64    &5.65945E-06
&Cu-63    &1.07957E-05
&Cu-65    &4.35814E-06
&Zn-64    &0.00000E+00
&Zn-66    &5.56083E-06
&Zn-67    &6.44218E-06
&Zn-68    &2.00484E-05
&Zn-70    &3.35548E-05
&Ga-69    &7.55543E-06
&Ga-71    &1.05122E-05
&Ge-70    &0.00000E+00
&Ge-72    &1.58399E-05
&Ge-73    &1.35161E-05
&Ge-74    &5.08718E-05
&Ge-76    &4.24748E-04
&As-75    &5.07002E-05
&Se-74    &0.00000E+00
&Se-76    &0.00000E+00
&Se-77    &1.82658E-04
&Se-78    &1.79882E-03
&Se-80    &2.84943E-03
&Se-82    &2.50804E-04
&Br-79    &1.61691E-04
&Br-81    &3.43667E-04
&Kr-78    &0.00000E+00
&Kr-80    &0.00000E+00
&Kr-82    &0.00000E+00
&Kr-83    &4.84175E-04
&Kr-84    &4.61382E-04
&Kr-86    &3.49877E-04
&Rb-85    &1.99133E-04
&Rb-87    &2.01320E-04
&Sr-84    &0.00000E+00
&Sr-86    &0.00000E+00
&Sr-87    &0.00000E+00
&Sr-88    &1.59707E-04
&Y-89     &1.79429E-04
&Zr-90    &3.28066E-04
&Zr-91    &4.82016E-05
&Zr-92    &1.30543E-04
&Zr-94    &1.24102E-04
&Zr-96    &1.80731E-04
&Nb-93    &2.93540E-05
&Mo-92    &0.00000E+00
&Mo-94    &0.00000E+00
&Mo-95    &1.37459E-04
&Mo-96    &0.00000E+00
&Mo-97    &9.92372E-05
&Mo-98    &1.59675E-04
&Mo-100   &8.62945E-05
&Ru-96    &0.00000E+00
&Ru-98    &0.00000E+00
&Ru-99    &3.15231E-05
