[Fe/H] err  [FeII/H] err   [Na/H] err  [Mg/H] err  [Al/H] err  [Si/H] err  [Ca/H] err  [Ti/H] err  [TiII/H] err  [Cr/H] err  [CrII/H] err  [Ni/H] err  [Zn/H] err  [Y/H] err   [Ba/H] err   [O/H]   err  [Eu/H] err 
-0.20  0.06  -0.19   0.06  -0.13  0.04 -0.13  0.06 -0.21  0.03 -0.16  0.07 -0.17  0.05 -0.20  0.07  -0.16   0.10 -0.23  0.07  -0.21   0.06 -0.25  0.07 -0.24  0.00 -0.25 0.10   0.00  0.03  -30.0   0.0   0.08  0.0
-0.36  0.07  -0.34   0.05  -0.25  0.05 -0.28  0.09 -0.31  0.04 -0.29  0.06 -0.28  0.12 -0.30  0.07  -0.26   0.08 -0.42  0.07  -0.36   0.06 -0.40  0.08 -0.41  0.00 -0.44 0.10  -0.17  0.11  -0.205  0.0  -0.19  0.0
-0.28  0.07  -0.25   0.06  -0.13  0.07 -0.18  0.02 -0.30  0.00 -0.22  0.06 -0.21  0.10 -0.16  0.14  -0.23   0.10 -0.37  0.07  -0.30   0.07 -0.33  0.08 -0.34  0.00  0.31 0.14   0.54  0.06  -30.0   0.0  -0.03  0.0
-0.11  0.07  -0.09   0.05  -0.08  0.07 -0.08  0.10 -0.10  0.11 -0.11  0.06 -0.04  0.14 -0.06  0.09  -0.09   0.12 -0.16  0.07  -0.13   0.11 -0.19  0.08 -0.25  0.00 -0.14 0.13   0.35  0.15  -30.0   0.0  -0.02  0.0
-0.34  0.10  -0.35   0.09  -0.34  0.05 -0.14  0.06 -0.13  0.04 -0.23  0.12 -0.23  0.08 -0.20  0.16  -0.21   0.15 -0.25  0.10  -0.32   0.11 -0.37  0.13 -0.28  0.00 -0.57 0.23  -0.34  0.08  -30.0   0.0  -0.16  0.0 
 0.17  0.07   0.19   0.07   0.23  0.05  0.23  0.08  0.18  0.03  0.23  0.07  0.19  0.04  0.12  0.03   0.11   0.00  0.16  0.03   0.00   0.00  0.16  0.05  0.10  0.00  0.44 0.00   0.26  0.01   0.06   0.0  -30.0  0.0                                              
-0.17  0.08  -0.13   0.07  -0.09  0.07 -0.08  0.13 -0.12  0.09 -0.12  0.07 -0.13  0.08 -0.12  0.10  -0.11   0.08 -0.21  0.05  -0.16   0.10 -0.21  0.10 -0.25  0.00 -0.15 0.13   0.23  0.08  -30.0   0.0  -0.06  0.0
-0.53  0.07  -0.58   0.07  -0.47  0.03 -0.23  0.07 -0.30  0.05 -0.38  0.07 -0.37  0.08 -0.37  0.06  -0.42   0.12 -0.55  0.03  -0.56   0.06 -0.53  0.05 -0.46  0.00 -0.74 0.08  -0.62  0.05  -30.0   0.0  -0.35  0.0
-0.52  0.07  -0.53   0.07  -0.38  0.04 -0.34  0.02 -0.43  0.01 -0.43  0.06 -0.50  0.10 -0.46  0.02   0.11   0.00 -0.52  0.01   0.00   0.00 -0.52  0.06 -0.46  0.00 -0.36 0.00  -0.40  0.23  -0.26   0.0  -30.0  0.0                                         
-0.41  0.08  -0.42   0.21  -0.32  0.08 -0.05  0.04 -0.05  0.04 -0.24  0.05 -0.25  0.07  0.00  0.05   0.11   0.00 -0.32  0.08   0.00   0.00 -0.36  0.04 -0.22  0.00  0.09 0.00  -0.56  0.08  -0.01   0.0  -30.0  0.0                                       
-0.32  0.07  -0.32   0.08  -0.28  0.02 -0.18  0.08 -0.21  0.05 -0.31  0.05 -0.27  0.12 -0.27  0.14  -0.27   0.08 -0.34  0.06  -0.34   0.07 -0.35  0.06 -0.20  0.00  0.45 0.12   0.63  0.06  -0.265  0.0  -0.06  0.0
-0.71  0.08  -0.75   0.09  -0.61  0.04 -0.31  0.12 -0.33  0.05 -0.43  0.08 -0.40  0.06 -0.38  0.10  -0.43   0.09 -0.72  0.04  -0.68   0.05 -0.68  0.08 -0.52  0.00 -0.60 0.11  -0.71  0.07  -0.24   0.0  -0.32  0.0
-0.52  0.07  -0.50   0.08  -0.39  0.07 -0.42  0.02 -0.32  0.22 -0.43  0.07 -0.44  0.08 -0.37  0.06  -0.39   0.12 -0.62  0.08  -0.48   0.09 -0.50  0.09 -0.57  0.00 -0.60 0.14  -0.29  0.08  -0.26   0.0  -0.22  0.0
-0.26  0.08  -0.29   0.09  -0.25  0.05 -0.08  0.05 -0.02  0.03 -0.24  0.10 -0.11  0.09 -0.19  0.09  -0.22   0.07 -0.26  0.08  -0.25   0.07 -0.30  0.07 -0.23  0.00 -0.43 0.07  -0.23  0.06  -0.005  0.0  -0.07  0.0
-0.61  0.08  -0.62   0.07  -0.56  0.04 -0.30  0.13 -0.33  0.02 -0.44  0.07 -0.44  0.04 -0.42  0.07  -0.43   0.09 -0.63  0.04  -0.59   0.07 -0.60  0.07 -0.47  0.00 -0.79 0.07  -0.64  0.13  -30.0   0.0  -30.0  0.0
-0.37  0.07  -0.35   0.07  -0.16  0.07 -0.12  0.09 -0.16  0.01 -0.18  0.06 -0.21  0.07 -0.20  0.08  -0.13   0.12 -0.45  0.06  -0.36   0.05 -0.35  0.08 -0.25  0.00 -0.51 0.15  -0.24  0.07  -30.0   0.0  -30.0  0.0
-0.07  0.08  -0.07   0.07  -0.13  0.03 -0.00  0.02  0.04  0.03 -0.04  0.04 -0.05  0.03 -0.07  0.08  -0.06   0.14 -0.09  0.04  -0.03   0.02 -0.08  0.05 -0.0   0.00 -0.19 0.06  -0.04  0.03   0.10   0.0   0.02  0.0
-0.67  0.07  -0.68   0.07  -0.63  0.01 -0.40  0.08 -0.53  0.03 -0.53  0.07 -0.58  0.08 -0.55  0.05  -0.49   0.08 -0.68  0.11  -0.66   0.07 -0.70  0.08 -0.61  0.00 -0.83 0.08  -0.66  0.05  -0.175  0.0  -0.33  0.0
-0.63  0.07  -0.62   0.07  -0.50  0.04 -0.24  0.05 -0.30  0.03 -0.39  0.09 -0.37  0.03 -0.37  0.05  -0.31   0.07 -0.64  0.05  -0.61   0.08 -0.62  0.09 -0.47  0.00 -0.68 0.07  -0.71  0.09  -30.0   0.0  -30.0  0.0
-0.91  0.07  -0.89   0.06  -0.83  0.03 -0.55  0.07 -0.57  0.12 -0.63  0.11 -0.67  0.08 -0.65  0.06  -0.59   0.08 -0.90  0.17  -0.90   0.09 -0.91  0.10 -0.78  0.00 -0.89 0.10  -0.81  0.10  -0.32   0.0  -0.48  0.0
-0.28  0.07  -0.26   0.06  -0.20  0.06 -0.13  0.10 -0.23  0.07 -0.19  0.07 -0.19  0.08 -0.24  0.12  -0.20   0.11 -0.34  0.06  -0.27   0.07 -0.28  0.09 -0.36  0.00 -0.32 0.12  -0.06  0.08  -0.085  0.0   0.10  0.0
-0.45  0.07  -0.46   0.08  -0.36  0.03 -0.11  0.03 -0.15  0.05 -0.27  0.05 -0.21  0.11 -0.20  0.05  -0.19   0.08 -0.44  0.05  -0.43   0.06 -0.43  0.07 -0.25  0.00 -0.52 0.08  -0.51  0.05  -0.005  0.0  -0.07  0.0
-0.05  0.09  -0.03   0.06  -0.11  0.07 -0.09  0.13 -0.04  0.06 -0.07  0.06  0.03  0.07 -0.13  0.11  -0.10   0.11 -0.04  0.03   0.03   0.06 -0.17  0.08 -0.18  0.00  0.02 0.08   0.21  0.14  -0.04   0.0  -0.02  0.0
-0.06  0.06  -0.05   0.07  -0.03  0.04 -0.03  0.11 -0.05  0.05 -0.05  0.07 -0.03  0.06 -0.07  0.07  -0.04   0.10 -0.11  0.05  -0.05   0.03 -0.08  0.09 -0.19  0.00 -0.07 0.12   0.11  0.07   0.01   0.0   0.03  0.0
-0.28  0.07  -0.29   0.07  -0.32  0.02 -0.24  0.05 -0.25  0.05 -0.25  0.05 -0.26  0.06 -0.28  0.07  -0.26   0.08 -0.31  0.04  -0.27   0.03 -0.33  0.06 -0.34  0.00 -0.28 0.09  -0.11  0.08  -0.14   0.0  -0.29  0.0
 0.37  0.11   0.33   0.12   0.51  0.04  0.47  0.06  0.47  0.05  0.46  0.08  0.36  0.10  0.42  0.22   0.42   0.21  0.40  0.11   0.38   0.10  0.47  0.11  0.46  0.09  0.27 0.29   0.29  0.09   0.20   0.0   0.25  0.0
-0.02  0.07  -0.01   0.06  -0.05  0.07  0.04  0.09 -0.03  0.02  0.02  0.06  0.07  0.07 -0.03  0.10   0.03   0.10 -0.04  0.05  -0.03   0.05 -0.09  0.09 -0.18  0.00  0.01 0.14   0.24  0.08   0.015  0.0   0.11  0.0
-0.32  0.08  -0.31   0.07  -0.28  0.03 -0.14  0.07 -0.18  0.07 -0.22  0.09 -0.20  0.10 -0.27  0.11  -0.22   0.12 -0.31  0.16  -0.33   0.05 -0.36  0.09 -0.26  0.02 -0.48 0.17  -0.22  0.05  -0.18   0.0  -0.21  0.0
-0.53  0.09  -0.51   0.05  -0.39  0.04 -0.37  0.14 -0.49  0.05 -0.46  0.08 -0.46  0.11 -0.40  0.07  -0.39   0.10 -0.62  0.08  -0.52   0.10 -0.57  0.12 -0.57  0.00 -0.62 0.10  -0.23  0.14  -0.255  0.0  -0.25  0.0
