[Fe/H] [C/H] [O/H]
-1.14 -0.91 -0.49
-1.37 -1.21 -0.86
-0.44 -0.24 -0.08
-0.93 -1.02 -0.50
-1.32 -1.41 -0.98
-0.91 -0.97 -0.62
-1.25 -1.29 -0.70
-1.19 -1.25 -0.71
-1.25 -1.12 -0.69
-0.83 -0.63 -0.29
-1.12 -0.87 -0.38
-0.85 -0.59 -0.20
-1.41 -1.33 -0.88
-1.50 -1.45 -1.04
-1.10 -1.19 -30.0
-0.73 -0.59 -0.12
-1.12 -0.92 -0.51
-0.83 -0.77 -0.51
-0.55 -0.37 -30.0
-1.21 -1.39 -1.00
-0.90 -1.02 -30.0
-0.94 -0.88 -0.52
-0.48 -0.33 -30.0
-1.58 -1.37 -30.0
-0.88 -0.98 -0.46
-0.74 -0.54 -30.0
-1.04 -1.18 -0.75
-0.69 -0.57 -30.0
-0.78 -0.69 -0.38
-0.60 -0.46 -0.11
-1.10 -1.35 -30.0
-0.90 -0.63 -30.0
-0.89 -0.84 -30.0
-0.68 -0.41 -0.09
-1.27 -1.24 -0.91
-1.31 -1.21 -30.0
-1.12 -1.11 -30.0
-1.50 -1.54 -1.09
-0.94 -1.10 -30.0
-0.53 -0.38 -30.0
-0.82 -1.08 -0.66
-0.94 -0.70 -0.41
-1.01 -1.19 -30.0
-0.94 -0.97 -0.65
-1.36 -30.0 -0.73
-1.41 -1.18 -0.82
-0.68 -0.44 -30.0
-1.33 -1.19 -0.70
-1.17 -1.28 -0.86
-0.68 -0.47 -0.20
-0.86 -0.64 -0.29
-0.86 -0.68 -0.44
-0.58 -0.39 -0.17
-1.62 -1.62 -1.12
-0.87 -0.73 -0.40
-1.18 -0.97 -0.68
-0.81 -0.86 -0.56
-0.83 -0.73 -0.52
-0.69 -0.51 -0.22
-1.09 -0.93 -0.46
-0.66 -0.53 -0.19
-0.72 -0.54 -0.31
-0.91 -0.60 -0.26
-0.71 -0.52 -0.22
-1.20 -0.98 -0.50
-1.51 -1.36 -0.79
-0.74 -0.53 -0.28
-0.74 -0.55 -0.19
-0.48 -0.37 -0.10
-1.22 -1.17 -0.67
-0.66 -0.42 -0.09
-1.06 -0.87 -0.48
-1.14 -1.06 -0.51
-1.11 -1.05 -0.63
-1.11 -1.14 -0.70
-1.05 -0.88 -0.49
-1.19 -0.94 -0.54
-1.46 -1.53 -0.91
-0.70 -0.41 -0.07
-0.87 -0.70 -0.27
-1.58 -30.0 -0.99
-0.47 -0.23 -30.0
-1.11 -0.93 -0.51
-1.03 -30.0 -0.50
-1.59 -1.53 -1.15
 0.14  0.09  0.16
-0.28 -0.22 -0.17
-0.22 -0.25 -0.15
-0.35 -0.19 -0.02
-0.03 -0.07  0.01
 0.16  0.09  0.12
-0.06 -0.08 -0.05
-0.14 -0.18 -0.17
 0.21  0.22  0.14
 0.50  0.39  0.34
 0.22  0.16  0.19
-0.12  0.05  0.16
 0.26  0.14  0.04
-0.16 -0.19 -0.07
-0.33 -0.16 -0.05
-0.03 -0.04 -0.03
 0.31  0.29  0.30
 0.28  0.11  0.03
-0.51 -0.40 -0.14
-0.04 -0.17 -0.07
 0.26  0.19  0.14
 0.19  0.06  0.14
 0.30  0.26  0.23
 0.09  0.06  0.07
 0.14  0.08  0.11
-0.31 -0.19 -0.17
 0.17  0.05  0.00
 0.17  0.18  0.16
-0.48 -0.20 -0.01
 0.14  0.10  0.07
-0.28 -0.22 -0.12
-0.23 -0.25 -0.19
-0.01 -0.03 -0.01
 0.26  0.20  0.19
 0.01  0.01 -0.03
 0.33  0.26  0.23
 0.28  0.10  0.12
-0.10 -0.06 -0.06
-0.36 -0.32 -0.22
 0.05 -0.01  0.00
 0.31  0.30  0.23
-0.39 -0.18 -0.07
 0.12  0.08  0.12
-0.04 -0.10 -0.03
 0.05 -0.02 -0.01
 0.03 -0.03  0.01
 0.32  0.28  0.22
 0.07  0.16  0.22
 0.15  0.10  0.01
 0.20  0.12  0.06
 0.29  0.25  0.14
 0.44  0.38  0.34
 0.26  0.23  0.14
-0.26 -0.21 -0.22
 0.29  0.15  0.08
-0.66 -0.58 -0.45
-0.19 -0.21 -0.05
-0.02 -0.12 -0.09
 0.24  0.28  0.29
 0.16  0.10  0.03
 0.13  0.09  0.05
 0.25  0.19  0.11
-0.38 -0.35 -0.22
 0.28  0.24  0.17
 0.37  0.30  0.26
 0.08  0.00 -0.01
