[Fe/H] err  [O/H]  err
-0.34  0.04 -0.18  0.02
-0.17  0.04 -0.09  0.02
 0.03  0.03  0.05  0.02
 0.04  0.04  0.09  0.01
-0.02  0.04  0.15  0.01
 0.02  0.10  0.21  0.05
 0.13  0.05  0.19  0.02
-0.36  0.07  0.00  0.04
 0.06  0.05  0.15  0.01
 0.05  0.06  0.02  0.03
 0.01  0.03  0.07  0.02
-0.76  0.06 -0.30  0.02
-0.19  0.04 -0.10  0.01
-0.48  0.04 -0.25  0.01
-0.34  0.06 -0.30  0.01
-0.20  0.04 -0.18  0.03
 0.05  0.05  0.12  0.02
-0.01  0.05  0.13  0.01
 0.14  0.06  0.18  0.03
-0.24  0.06 -0.04  0.02
-0.01  0.06 -0.02  0.01
-0.11  0.04 -0.06  0.01
-0.06  0.04  0.02  0.01
-0.24  0.04 -0.08  0.01
-0.63  0.07 -0.24  0.02
-0.01  0.04  0.12  0.01
-0.03  0.06 -0.10  0.02
 0.18  0.03  0.13  0.01
-0.22  0.06 -0.16  0.02
-0.03  0.05 -0.06  0.01
-0.13  0.05 -0.07  0.01
-0.22  0.03 -0.13  0.01
-0.39  0.04 -0.27  0.01
-0.14  0.09 -0.01  0.03
-0.14  0.04 -0.06  0.02
-0.08  0.04  0.02  0.01
-0.07  0.02 -0.08  0.02
-0.22  0.05  0.02  0.04
-0.58  0.06 -0.39  0.02
-0.31  0.08 -0.08  0.01
-0.94  0.08 -0.88  0.02
-0.15  0.04 -0.09  0.03
 0.18  0.07  0.12  0.01
-0.33  0.05 -0.16  0.01
-0.61  0.04 -0.24  0.03
 0.23  0.10  0.24  0.07
-0.42  0.07 -0.29  0.03
-0.48  0.06 -0.14  0.02
-0.31  0.05 -0.11  0.02
-0.27  0.05 -0.19  0.01
-1.10  0.07 -0.91  0.02
-0.11  0.05 -0.02  0.01
-0.11  0.05  0.00  0.07
 0.06  0.04 -0.02  0.02
-0.26  0.04 -0.23  0.02
-0.23  0.08  0.08  0.01
-0.74  0.09 -0.67  0.03
-0.06  0.03  0.02  0.01
-0.21  0.05 -0.11  0.01
-0.24  0.05 -0.20  0.02
-0.51  0.05 -0.21  0.05
-0.25  0.03 -0.11  0.02
-0.56  0.07 -0.43  0.01
-0.52  0.04 -0.02  0.05
-0.80  0.05 -0.36  0.01
-0.59  0.07 -0.38  0.01
