[Star/Star] [Fe/H] [FeI/H] [C/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Y/Fe] [Ba/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
  3086      -0.23   -0.23  0.14   0.34  0.08   0.15   0.17  0.09    0.04 -0.07    0.04 -30.0 -0.04 -0.18  0.02 -0.03 -0.06  0.14 -0.16 -0.15    0.04    0.14    0.23
  3185 -0.65 -0.65  0.28  0.51  0.19  0.40  0.34  0.25  0.21  0.19  0.27  0.04  0.08 -0.19  0.12  0.04 -0.09  0.14  0.04 -0.06    0.12    0.34    0.60
  3441 -0.50 -0.50  0.35  0.56  0.06  0.32  0.24  0.18  0.10  0.24  0.19  0.06 -0.03 -0.32  0.08  0.05 -0.08  0.23  0.04 -0.09    0.18    0.26    0.42
  4039 -1.24 -1.24 -30.0  0.71  0.22  0.30 -0.12  0.15  0.29 -0.13  0.24 -30.0  0.07 -0.51  0.28 -0.08 -0.48  0.08  0.05  0.30   -30.0   -30.0    0.88
  4544 -0.87 -0.87  0.26  0.49  0.09  0.39  0.24  0.21  0.11  0.12  0.22  0.24 -0.09 -0.40  0.13 -30.0 -0.05  0.08 -0.02 -0.14   -30.0   -0.58    0.53
  5122 -0.62 -0.62  0.44  0.56  0.11  0.26  0.30  0.20  0.12  0.11  0.18  0.12 -30.0 -0.22  0.11  0.05  0.11  0.09 -0.03 -0.16   -0.02    0.20    0.40
  5315 -0.47 -0.47  0.37  0.51  0.20  0.46  0.32  0.23  0.27  0.22  0.29  0.17 -30.0 -0.18  0.12  0.03  0.14  0.23  0.07 -0.20    0.08    0.19    0.43
  5336 -0.86 -0.86  0.49  0.72  0.13  0.24  0.30  0.28  0.22  0.18  0.26  0.15 -30.0 -0.23  0.18  0.12  0.02  0.16 -0.02 -0.23    0.05    0.14    0.34
  5775 -0.59 -0.59  0.48  0.79  0.17  0.32  0.26  0.28  0.22  0.29  0.23  0.25  0.06 -0.16  0.12  0.04 -30.0  0.21  0.22  0.08    0.07   -30.0    0.43
  6159 -0.67 -0.67  0.42  0.59  0.10  0.33  0.23  0.18  0.12  0.17  0.20  0.13 -0.04 -0.26  0.06  0.04  0.03  0.08 -0.01 -0.14    0.22    0.25    0.46
