[Fe/H] err [O/Fe] err [Na/Fe] err [Mg/Fe] err [Si/Fe] err [Ca/Fe] err [Sc/Fe] err [Ti/Fe] err [V/Fe] err [Cr/Fe] err [Mn/Fe] err [FeII/Fe] err [Co/Fe] err [Ni/Fe] err [Cu/Fe] err [Ba/Fe] err [La/Fe] err [Nd/Fe] err [Eu/Fe] err
-1.39 0.15 -30.0 -30.0 -30.0 -30.0 0.30 0.21 -30.0 -30.0 0.50 0.20 -30.0 -30.0 0.26 0.16 -30.0 -30.0 -0.29 0.21 -30.0 -30.0 0.50 0.19 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.66 0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.42 0.15 0.17 0.27 -0.31 0.24 0.15 0.14 0.18 0.27 0.01 0.08 -0.27 0.15 0.22 0.12 -0.25 0.19 0.00 0.23 -0.90 0.17 -0.01 0.21 -30.0 -30.0 -0.25 0.12 -30.0 -30.0 0.13 0.22 0.24 0.26 -0.31 0.25 -30.0 -30.0
-1.66 0.14 -30.0 -30.0 -30.0 -30.0 0.33 0.19 -30.0 -30.0 0.12 0.06 -30.0 -30.0 0.24 0.09 -30.0 -30.0 0.19 0.19 -0.41 0.09 0.18 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.05 0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.71 0.14 -30.0 -30.0 -30.0 -30.0 0.41 0.21 -30.0 -30.0 0.09 0.08 -30.0 -30.0 0.25 0.11 -30.0 -30.0 0.03 0.15 -30.0 -30.0 0.35 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.07 0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.85 0.15 -30.0 -30.0 -30.0 -30.0 0.34 0.24 -30.0 -30.0 0.19 0.05 0.52 0.25 0.49 0.09 -30.0 -30.0 0.16 0.11 -0.16 0.13 0.32 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.34 0.25 1.09 0.25 -30.0 -30.0 -30.0 -30.0
-2.09 0.15 -30.0 -30.0 -30.0 -30.0 0.42 0.24 -30.0 -30.0 0.22 0.35 -30.0 -30.0 0.08 0.25 -30.0 -30.0 -0.46 0.24 -30.0 -30.0 -0.01 0.19 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.44 0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.35 0.15 -30.0 -30.0 -30.0 -30.0 0.62 0.19 -30.0 -30.0 0.57 0.05 -30.0 -30.0 0.90 0.21 -30.0 -30.0 -0.29 0.19 -30.0 -30.0 0.12 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.06 0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.68 0.15 -30.0 -30.0 -30.0 -30.0 -0.01 0.23 -30.0 -30.0 -0.02 0.11 -30.0 -30.0 0.45 0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.84 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.83 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.04 0.25 -30.0 -30.0 0.90 0.48 -30.0 -30.0 -0.11 0.25 -30.0 -30.0 0.18 0.49 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.40 0.27 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.32 0.11 -30.0 -30.0 -0.19 0.22 0.19 0.04 0.13 0.14 0.04 0.05 0.14 0.14 0.15 0.06 -0.28 0.16 0.02 0.11 -0.30 0.06 0.10 0.12 -30.0 -30.0 -0.10 0.08 -30.0 -30.0 0.04 0.14 0.48 0.11 -30.0 -30.0 -30.0 -30.0
-1.42 0.15 -30.0 -30.0 -30.0 -30.0 -0.20 0.31 -30.0 -30.0 -0.13 0.09 -30.0 -30.0 0.21 0.29 -30.0 -30.0 -0.62 0.31 -0.30 0.32 0.21 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.15 0.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.29 0.15 -30.0 -30.0 -30.0 -30.0 0.06 0.24 -30.0 -30.0 -0.05 0.23 -30.0 -30.0 0.74 0.24 -30.0 -30.0 0.33 0.24 -30.0 -30.0 0.06 0.27 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.14 0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.52 0.14 -30.0 -30.0 -30.0 -30.0 0.52 0.25 -30.0 -30.0 0.08 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.04 0.25 -30.0 -30.0 0.02 0.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.33 0.10 -30.0 -30.0 -0.69 0.19 -0.45 0.11 -30.0 -30.0 -0.27 0.03 -0.62 0.12 -0.22 0.07 -0.63 0.16 -0.14 0.08 -0.36 0.07 0.27 0.12 -30.0 -30.0 -0.35 0.05 -30.0 -30.0 -0.67 0.10 -30.0 -30.0 -0.34 0.22 -30.0 -30.0
-1.58 0.10 0.58 0.24 0.25 0.21 0.07 0.10 -30.0 -30.0 0.21 0.03 0.16 0.18 0.18 0.08 0.33 0.39 -0.03 0.12 -0.28 0.18 0.39 0.12 -30.0 -30.0 -0.06 0.17 -30.0 -30.0 0.43 0.18 0.89 0.23 -30.0 -30.0 -30.0 -30.0
-1.56 0.11 -30.0 -30.0 -0.25 0.24 0.43 0.16 0.55 0.44 0.15 0.06 -0.10 0.13 0.14 0.09 -30.0 -30.0 -0.10 0.16 -0.25 0.24 0.31 0.12 -30.0 -30.0 -0.11 0.08 -30.0 -30.0 0.13 0.09 0.59 0.25 -30.0 -30.0 -30.0 -30.0 
-1.28 0.14 0.28 0.21 -0.23 0.17 0.09 0.12 0.11 0.15 0.04 0.04 -0.04 0.14 0.23 0.07 -0.13 0.13 -0.12 0.12 -0.31 0.06 0.14 0.16 -0.41 0.18 -0.11 0.07 -30.0 -30.0 0.07 0.11 0.12 0.13 -30.0 -30.0 0.44 0.20
-1.58 0.15 -30.0 -30.0 -30.0 -30.0 -0.08 0.25 -30.0 -30.0 -0.22 0.06 -30.0 -30.0 0.18 0.09 -30.0 -30.0 0.12 0.25 -0.22 0.07 0.06 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.31 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.48 0.13 -30.0 -30.0 -0.21 0.20 0.28 0.23 0.10 0.22 0.08 0.04 0.01 0.16 0.29 0.08 0.02 0.16 -0.07 0.10 -0.29 0.14 0.32 0.19 -30.0 -30.0 -0.27 0.09 -0.48 0.20 0.11 0.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.50 0.10 0.45 0.27 -0.22 0.26 0.22 0.13 0.34 0.29 0.08 0.05 0.10 0.16 0.30 0.11 0.58 0.19 -0.01 0.11 -0.17 0.25 0.18 0.12 -30.0 -30.0 -0.06 0.07 -30.0 -30.0 0.45 0.21 1.15 0.26 -30.0 -30.0 -30.0 -30.0 
-1.73 0.14 0.47 0.21 -30.0 -30.0 0.25 0.13 0.41 0.21 -0.01 0.05 -0.02 0.13 0.04 0.10 -0.03 0.19 -0.05 0.14 -0.37 0.11 0.17 0.16 -30.0 -30.0 -0.02 0.06 -30.0 -30.0 0.19 0.20 0.61 0.11 0.44 0.19 -30.0 -30.0
-2.47 0.16 -30.0 -30.0 -30.0 -30.0 0.15 0.26 -30.0 -30.0 -0.45 0.15 0.06 0.16 0.53 0.28 -30.0 -30.0 -0.51 0.26 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.07 0.28 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.52 0.14 -30.0 -30.0 -30.0 -30.0 0.29 0.17 0.51 0.20 0.11 0.06 -30.0 -30.0 0.16 0.07 -30.0 -30.0 -0.08 0.17 -0.39 0.08 0.26 0.16 -30.0 -30.0 0.24 0.17 -30.0 -30.0 -0.11 0.19 -30.0 -30.0 -30.0 -30.0 0.52 0.21
-1.93 0.10 -30.0 -30.0 -30.0 -30.0 -0.40 0.13 -30.0 -30.0 -0.17 0.05 -0.27 0.21 0.15 0.09 -30.0 -30.0 -0.39 0.12 -0.25 0.17 0.29 0.12 -30.0 -30.0 -0.37 0.13 -30.0 -30.0 -0.31 0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.89 0.12 -30.0 -30.0 -30.0 -30.0 0.26 0.13 0.44 0.24 0.06 0.06 -0.01 0.16 0.32 0.16 0.27 0.34 -0.06 0.09 -0.47 0.09 0.30 0.16 -30.0 -30.0 -0.01 0.06 -30.0 -30.0 0.20 0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.78 0.15 -30.0 -30.0 -30.0 -30.0 0.03 0.38 0.84 0.24 -0.14 0.08 -0.22 0.17 -0.08 0.12 0.29 0.22 -0.13 0.12 -30.0 -30.0 0.31 0.16 -30.0 -30.0 -0.28 -.10 -30.0 -30.0 0.41 0.16 -30.0 -30.0 -30.0 -30.0 0.95 0.25
-1.65 0.10 0.56 0.16 -0.19 0.14 0.38 0.06 0.28 0.16 0.10 0.05 0.15 0.10 0.34 0.07 0.10 0.13 -0.21 0.09 -0.26 0.08 0.25 0.12 0.08 0.19 0.03 0.05 -30.0 -30.0 0.16 0.09 0.76 0.15 0.23 0.15 -30.0 -30.0
-1.56 0.09 0.50 0.21 -0.17 0.16 0.18 0.06 0.22 0.17 -0.02 0.04 0.08 0.10 0.23 0.07 -0.01 0.11 0.08 0.04 -0.36 0.06 0.15 0.12 0.14 0.35 -0.08 0.05 -30.0 -30.0 0.11 0.08 -30.0 -30.0 0.40 0.35 0.54 0.17
-1.30 0.15 -30.0 -30.0 -30.0 -30.0 0.12 0.21 -30.0 -30.0 0.03 0.06 -30.0 -30.0 0.05 0.07 -30.0 -30.0 0.11 0.21 -0.28 0.07 0.17 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.63 0.10 0.56 0.21 -0.21 0.19 0.33 0.11 0.24 0.21 0.07 0.03 0.13 0.14 0.18 0.06 -0.29 0.15 -0.14 0.07 -0.44 0.06 0.22 0.13 0.07 0.19 -0.05 0.06 -0.64 0.19 0.27 0.10 0.38 0.15 -30.0 -30.0 0.44 0.21
-1.27 0.14 -30.0 -30.0 -0.50 0.24 -0.05 0.43 0.45 0.25 0.13 0.13 -0.09 0.13 0.41 0.21 -0.16 0.11 0.09 0.20 -0.30 0.22 0.42 0.20 0.42 0.23 -0.11 0.17 -30.0 -30.0 0.19 0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-0.97 0.15 -30.0 -30.0 -30.0 -30.0 -0.81 0.23 -30.0 -30.0 -0.58 0.22 -30.0 -30.0 0.25 0.11 -30.0 -30.0 -0.56 0.23 -0.34 0.23 0.42 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.37 0.15 -30.0 -30.0 -30.0 -30.0 0.52 0.27 -30.0 -30.0 0.13 0.27 -30.0 -30.0 0.27 0.07 -30.0 -30.0 -0.07 0.27 -30.0 -30.0 0.28 0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.32 0.10 0.34 0.15 -0.36 0.12 0.16 0.10 0.22 0.14 0.03 0.04 -0.01 0.11 0.09 0.06 -0.19 0.16 -0.18 0.10 -0.45 0.06 0.22 0.12 -0.27 0.21 -0.17 0.08 -0.69 0.13 0.22 0.07 0.30 0.13 0.18 0.13 0.39 0.14
-1.95 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.16 0.20 -30.0 -30.0 0.28 0.22 -30.0 -30.0 -0.32 0.21 -30.0 -30.0 0.21 0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.48 0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.46 0.10 0.41 0.15 -0.27 0.14 0.20 0.09 0.21 0.22 0.07 0.03 0.11 0.10 0.20 0.05 -0.07 0.08 -0.03 0.07 -0.35 0.05 0.11 0.11 -0.03 0.19 -0.07 0.06 -0.63 0.19 0.40 0.12 0.50 0.08 0.67 0.20 0.51 0.22
-2.30 0.10 -30.0 -30.0 -30.0 -30.0 0.49 0.17 -30.0 -30.0 0.10 0.08 0.12 0.24 0.53 0.14 -30.0 -30.0 -0.46 0.13 -30.0 -30.0 0.37 0.21 -30.0 -30.0 0.43 0.23 -30.0 -30.0 -0.79 0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
