[Na/Fe] err [Mg/Fe] err  [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Ti2/Fe] err [Cr/Fe] err [Fe/H] err [Fe2/H] err [Ni/Fe] err [Y/Fe] err [Ba/Fe] err [La/Fe] err [Nd/Fe] err [Eu/Fe] err
-0.46  0.16  0.03  0.16  0.35  0.15 -0.25  0.10 -0.13  0.09  0.18  0.13 -0.11  0.23 -0.88  0.07 -0.70  0.08 -0.13  0.06  0.10  0.23  0.80  0.16  0.51  0.23  0.22  0.17  0.88  0.23
-30.0  0.00  0.02  0.13  0.25  0.17 -0.33  0.06 -0.23  0.05  0.03  0.10 -0.16  0.16 -1.09  0.05 -0.78  0.07 -0.22  0.07 -30.0  0.00 -0.05  0.15  0.17  0.16 -0.06  0.16  0.22  0.16
-0.85  0.34  0.07  0.24  0.16  0.34 -0.42  0.12 -0.37  0.13 -0.12  0.34 -0.31  0.34 -1.02  0.06 -0.52  0.17 -0.28  0.10 -0.16  0.34  0.57  0.28 -30.0  0.00  0.22  0.24  0.91  0.34
-30.0  0.00  0.00  0.18  0.32  0.16 -0.09  0.12 -0.18  0.07  0.28  0.11 -0.31  0.18 -1.43  0.07 -1.06  0.15 -0.15  0.07 -30.0  0.00  0.19  0.13 -30.0  0.00  0.49  0.18  0.37  0.18
-0.66  0.13 -0.14  0.13 -0.15  0.11 -0.19  0.07 -0.20  0.06  0.13  0.16 -0.21  0.19 -0.86  0.06 -0.43  0.12 -0.25  0.08 -30.0  0.00  0.50  0.13 -30.0  0.00  0.18  0.12  0.46  0.19
-0.78  0.14 -0.27  0.08 -0.09  0.10 -0.46  0.06 -0.38  0.06 -0.01  0.11 -0.42  0.14 -0.79  0.06 -0.38  0.21 -0.23  0.06 -30.0  0.00  0.29  0.11 -0.12  0.14  0.23  0.11  0.39  0.14
-0.65  0.31 -0.01  0.31 -0.13  0.31 -0.19  0.17  0.00  0.16 -0.09  0.32 -0.05  0.44 -0.57  0.08 -0.15  0.30 -0.18  0.12  0.14  0.44  1.04  0.44  0.52  0.44  0.45  0.25  0.79  0.44
-0.70  0.13 -0.32  0.13 -0.45  0.13 -0.34  0.06 -0.19  0.07 -0.05  0.13 -0.32  0.19 -0.62  0.06 -0.44  0.17 -0.24  0.06 -0.34  0.19  0.91  0.13  0.40  0.19  0.21  0.14  0.40  0.19
-30.0  0.00 -0.06  0.18 -0.07  0.17 -0.28  0.06 -0.35  0.06  0.25  0.16 -0.36  0.18 -0.86  0.05 -0.65  0.09 -0.23  0.06 -0.41  0.18  0.65  0.16  0.19  0.18  0.19  0.14  0.59  0.18
-30.0  0.00  0.40  0.15  0.86  0.15  0.35  0.06  0.58  0.15  0.54  0.22 -30.0  0.00 -2.60  0.05 -2.00  0.10  0.73  0.22 -30.0  0.00  0.08  0.11  0.72  0.15  1.50  0.15 -30.0  0.00     
-0.47  0.11 -0.04  0.11 -0.07  0.14 -0.15  0.07 -0.25  0.05  0.27  0.17 -0.14  0.16 -0.96  0.06 -0.60  0.19 -0.09  0.06 -0.31  0.16  0.56  0.11  0.30  0.16  0.42  0.09  0.65  0.16
-0.95  0.15  0.04  0.12 -0.08  0.10 -0.23  0.07 -0.23  0.08  0.33  0.16 -0.25  0.21 -0.95  0.07 -0.57  0.08 -0.20  0.09  0.20  0.21  0.66  0.15  0.27  0.21  0.30  0.12  0.68  0.21
-0.77  0.18  0.02  0.14 -0.07  0.18 -0.18  0.10 -0.19  0.09  0.10  0.14 -0.33  0.25 -0.75  0.08 -0.95  0.18 -0.29  0.08 -0.32  0.25  0.70  0.18  0.36  0.25  0.27  0.18  0.76  0.25
-0.63  0.12  0.06  0.17 -0.08  0.11 -0.18  0.08 -0.19  0.05  0.21  0.10 -0.34  0.17 -0.92  0.05 -0.53  0.21 -0.11  0.06 -0.06  0.17  0.56  0.14  0.21  0.17  0.30  0.10  0.63  0.17
-30.0  0.00 -0.01  0.14 -0.10  0.13 -0.48  0.08 -0.42  0.07  0.29  0.15 -0.31  0.19 -0.92  0.06 -0.67  0.12 -0.28  0.07 -0.42  0.19  0.19  0.18  0.05  0.19  0.29  0.13 -30.0  0.00     
-0.79  0.21 -0.01  0.15  0.48  0.18 -0.20  0.07 -0.13  0.07  0.21  0.12 -0.55  0.21 -0.96  0.06 -0.33  0.20 -0.15  0.07  0.05  0.21  0.58  0.15  0.45  0.21  0.34  0.12  0.86  0.21
-0.36  0.14 -0.03  0.20  0.00  0.10 -0.08  0.09 -0.18  0.08  0.24  0.14 -0.22  0.20 -0.75  0.06 -0.65  0.10 -0.24  0.06 -0.19  0.20  0.94  0.20  0.50  0.20  0.25  0.15  0.64  0.20
-30.0  0.00  0.05  0.10  0.00  0.16 -0.21  0.06 -0.23  0.08  0.04  0.13 -0.33  0.16 -1.48  0.06 -0.94  0.10 -0.13  0.07 -30.0  0.00  0.03  0.11 -0.04  0.16  0.45  0.16  0.09  0.16
-0.74  0.17 -0.04  0.12  0.03  0.10 -0.30  0.06 -0.19  0.06 -0.10  0.17 -0.20  0.17 -0.97  0.05 -0.78  0.07 -0.16  0.05 -0.09  0.17  0.40  0.12  0.37  0.17  0.34  0.10  0.52  0.17
-0.56  0.17  0.02  0.17 -0.15  0.12 -0.21  0.08 -0.09  0.08  0.36  0.16 -0.37  0.24 -0.73  0.07 -0.61  0.10 -0.33  0.06 -0.01  0.24  0.87  0.17  0.92  0.24  0.39  0.14  0.74  0.24
-0.94  0.13 -0.09  0.11  0.00  0.12 -0.41  0.07 -0.38  0.08  0.04  0.13 -0.30  0.19 -0.89  0.07 -0.72  0.10 -0.23  0.07 -30.0  0.00  0.21  0.15 -0.04  0.19  0.12  0.13  0.31  0.19
-0.51  0.14 -0.02  0.20  0.04  0.14 -0.30  0.08 -0.02  0.07  0.14  0.12 -0.21  0.20 -0.95  0.07 -0.69  0.14 -0.05  0.08 -0.10  0.20  0.62  0.14  0.43  0.20  0.37  0.14  0.59  0.20
-30.0  0.00 -0.08  0.10  0.29  0.17 -0.18  0.08 -0.10  0.06  0.15  0.12 -0.27  0.17 -1.01  0.06 -0.58  0.13 -0.10  0.08 -0.15  0.17  0.47  0.14  0.42  0.17  0.23  0.14  0.73  0.17
-0.81  0.17  0.02  0.12 -0.15  0.10 -0.29  0.06 -0.23  0.06  0.17  0.12 -0.18  0.17 -0.87  0.07  0.06  0.24 -0.13  0.08  0.07  0.17  0.69  0.12  0.48  0.17  0.33  0.20  0.86  0.17
-0.91  0.14 -0.11  0.14 -0.21  0.14 -0.33  0.08 -0.38  0.07 -0.08  0.09 -0.27  0.20 -0.82  0.06 -0.42  0.10 -0.24  0.06 -0.45  0.20  0.28  0.14  0.27  0.20  0.25  0.12  0.52  0.20
-0.72  0.11 -0.14  0.09  0.04  0.08 -0.38  0.06 -0.16  0.05 -0.15  0.16 -0.20  0.16 -0.92  0.06 -0.64  0.07 -0.19  0.06 -0.08  0.16  0.58  0.13  0.39  0.16  0.27  0.10  0.52  0.16
-0.39  0.32  0.44  0.20  0.11  0.18 -0.29  0.11 -0.31  0.12  0.60  0.22 -0.59  0.32 -1.38  0.07 -0.88  0.08 -0.35  0.11 -0.03  0.32  1.29  0.23  1.15  0.32  0.91  0.19  1.72  0.32
-0.40  0.23 -0.12  0.18 -0.06  0.18 -0.17  0.13  0.23  0.13 -0.20  0.18  0.11  0.32 -0.63  0.11 -0.74  0.14 -0.17  0.09 -0.22  0.32  0.10  0.32  0.76  0.32  0.72  0.23  0.55  0.32
