[Fe/H] err  [O/Fe] err [Mg/Fe] err [Si/Fe] err
-0.42  0.03  0.01  0.05 -0.16  0.08 -0.07  0.06
-0.62  0.03  0.19  0.04 -0.21  0.02  0.16  0.03
-0.58  0.02  0.04  0.06  0.06  0.09  0.14  0.05
-0.45  0.03 -0.18  0.09 -0.13  0.10  0.17  0.05
-0.46  0.02  0.06  0.04 -0.22  0.10  0.13  0.02
-0.37  0.02 -0.38  0.08 -0.16  0.09 -0.09  0.03
-0.50  0.03 -0.03  0.07 -0.12  0.10  0.03  0.04
-1.08  0.03  0.28  0.05 -0.14  0.11  0.18  0.06
-1.24  0.02  0.38  0.09  0.02  0.07  0.37  0.07
-0.64  0.02  0.24  0.09 -0.11  0.13 -0.04  0.05
-0.39  0.03 -30.0 -30.0 -0.15  0.12  0.24  0.04
-0.93  0.06 -0.04  0.08 -30.0 -30.0  0.37  0.01
-0.63  0.01  0.13  0.05 -0.13  0.06  0.24  0.02
-0.55  0.03 -0.01  0.09 -0.15  0.13 -0.03  0.02
-0.52  0.02 -30.0 -30.0 -0.08  0.12  0.19  0.04
-0.32  0.03 -0.07  0.07 -0.02  0.08 -0.07  0.04
-0.88  0.02  0.05  0.12 -0.18  0.13  0.30  0.09
-0.94  0.02  0.09  0.03 -0.30  0.10  0.19  0.04
-0.56  0.03  0.06  0.09 -0.22  0.12  0.08  0.01
-1.10  0.02  0.20  0.05 -0.27  0.07  0.24  0.05
-0.45  0.02 -0.10  0.06 -0.19  0.08  0.05  0.04
-0.52  0.04  0.02  0.06 -0.08  0.11 -0.08  0.10
-0.46  0.05 -0.08  0.07  0.01  0.15 -0.12  0.01
-0.53  0.02 -0.10  0.07 -0.06  0.11  0.12  0.05
-0.15  0.02 -0.54  0.06 -0.36  0.09 -0.16  0.03
-0.58  0.02  0.02  0.05 -0.22  0.11  0.27  0.04
-0.42  0.03 -0.15  0.11 -0.18  0.10  0.17  0.02
-1.51  0.01  0.33  0.23  0.03  0.06  0.28  0.02
-0.63  0.03  0.25  0.11 -0.16  0.15  0.04  0.12
-0.41  0.03 -0.13  0.05 -0.26  0.09 -0.02  0.04
-0.54  0.02  0.04  0.06 -0.12  0.12  0.07  0.03
-0.09  0.02 -30.0 -30.0 -0.29  0.13 -0.10  0.03
-0.51  0.02  0.06  0.09 -0.07  0.09  0.07  0.03
-0.64  0.02  0.15  0.11 -0.04  0.11  0.12  0.03
-0.41  0.05 -0.28  0.13 -0.10  0.10  0.12  0.11
-0.45  0.03 -0.08  0.06 -0.17  0.12 -0.07  0.02
-1.11  0.01  0.30  0.05 -0.15  0.07  0.09  0.04
-0.12  0.02 -30.0 -30.0 -0.16  0.12 -0.01  0.01
-0.60  0.02  0.10  0.06 -0.29  0.11 -0.07  0.02
-0.34  0.02 -0.25  0.06 -0.07  0.08  0.02  0.01
-0.64  0.02  0.02  0.06 -0.26  0.12  0.19  0.04
-0.14  0.04 -30.0 -30.0 -0.54  0.11 -0.21  0.09
-0.60  0.03  0.09  0.10 -0.03  0.08  0.03  0.03
-0.66  0.03 -0.07  0.08 -0.30  0.10  0.21  0.02
-0.47  0.02 -0.10  0.05 -0.35  0.14  0.06  0.01
-0.92  0.03 -0.07  0.07 -0.08  0.10  0.10  0.01
-0.53  0.02  0.06  0.12 -0.29  0.12  0.19  0.06
-1.00  0.01  0.24  0.11 -0.28  0.06  0.04  0.03
-0.12  0.04 -30.0 -30.0 -0.46  0.15  0.02  0.09
-0.48  0.02  0.10  0.08 -0.24  0.14 -0.05  0.07
-0.50  0.03 -0.08  0.09 -0.41  0.15  0.34  0.07
-0.43  0.02 -0.21  0.09 -0.27  0.12  0.03  0.01
-0.45  0.02 -0.11  0.09  0.09  0.09  0.07  0.04
-0.66  0.02  0.17  0.09 -0.18  0.11  0.14  0.01
-0.36  0.04  0.08  0.15  0.03  0.11  0.03  0.11
-0.55  0.02 -0.04  0.10 -0.05  0.07  0.18  0.04
-0.39  0.02  0.02  0.08 -0.06  0.13 -0.14  0.05
-0.64  0.02  0.04  0.08  0.05  0.10  0.01  0.03
