[Fe/H] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [TiII/Fe] err  [O/Fe] err [Mg/Fe] err [Na/Fe] err [Sc/Fe] err [Cu/Fe] err [Cr/Fe] err [Ni/Fe] err  [V/Fe] err [Co/Fe] err [La/Fe] err [Ba/Fe] err [Y/Fe]  err [Zr/Fe] err 
-0.96  0.16 -0.01  0.09 -0.10  0.05 -0.21  0.04 -0.06    0.12  0.10 -30.0  0.50 -30.0 -0.76  0.05  0.20 -30.0  0.57 -30.0 -0.47 -30.0 -0.32  0.08 -0.40  0.04  0.00 -30.0  0.05 -30.0  0.40 -30.0 -0.40 -30.0 -30.0 -30.0
-0.73  0.16  0.04  0.21 -0.07  0.11  0.10  0.12  0.01    0.09 -30.0 -30.0  0.02 -30.0 -0.43  0.07  0.04 -30.0 -0.78 -30.0 -0.32 -30.0 -0.26  0.08 -0.06  0.05 -0.10 -30.0  0.15 -30.0  0.40 -30.0 -0.48 -30.0 -0.50 -30.0
-0.57  0.16  0.13  0.07  0.03  0.12  0.00  0.06  0.13    0.03  0.10 -30.0  0.00 -30.0 -0.28  0.10 -0.16 -30.0 -0.84 -30.0 -0.19 -30.0 -0.20  0.06 -0.19  0.08 -0.20 -30.0  1.12 -30.0  1.00 -30.0  0.14 -30.0  0.00 -30.0
-0.85  0.16  0.18  0.05 -0.06  0.09  0.20  0.05 -0.06    0.13  0.40 -30.0  0.15 -30.0 -0.05  0.07 -0.23 -30.0 -0.55 -30.0  0.11 -30.0 -0.23  0.09  0.14  0.06 -0.08 -30.0  0.48 -30.0  0.35 -30.0  0.27 -30.0  0.00 -30.0
-0.84  0.16 -0.07  0.08 -0.06  0.08  0.06  0.04 -0.04    0.03 -30.0 -30.0  0.32 -30.0 -0.42  0.07  0.10 -30.0 -0.80 -30.0 -0.18 -30.0 -0.15  0.06  0.06  0.08 -0.05 -30.0  0.50 -30.0  0.50 -30.0 -0.04 -30.0 -0.17 -30.0
-0.70  0.16  0.24  0.04 -0.13  0.07  0.09  0.02  0.22    0.03 -30.0 -30.0  0.40 -30.0 -0.03  0.15 -0.18 -30.0 -0.46 -30.0 -0.08 -30.0 -0.07  0.05  0.17  0.06 -0.12 -30.0  0.40 -30.0  0.60 -30.0  0.00 -30.0 -0.35 -30.0
-0.75  0.16  0.07  0.04 -0.08  0.10  0.17  0.04 -0.06    0.12 -30.0 -30.0  0.30 -30.0 -0.08  0.07 -0.15 -30.0 -0.62 -30.0 -0.13 -30.0 -0.23  0.07  0.15  0.06 -0.10 -30.0  0.40 -30.0  0.15 -30.0 -0.20 -30.0 -0.38 -30.0
-1.21  0.16  0.15  0.13 -0.02  0.05  0.09  0.05  0.17    0.14 -30.0 -30.0  0.28 -30.0 -0.25  0.05 -0.11 -30.0 -0.60 -30.0 -0.29 -30.0 -0.11  0.05 -0.03  0.05  0.00 -30.0  0.20 -30.0  0.20 -30.0  0.10 -30.0 -0.35 -30.0
-0.93  0.16 -0.06  0.16  0.05  0.09 -0.08  0.04 -0.07    0.04 -30.0 -30.0  0.10 -30.0 -0.49  0.13  0.22 -30.0 -0.94 -30.0 -0.22 -30.0 -0.30  0.06 -0.15  0.05 -0.10 -30.0  0.62 -30.0  0.65 -30.0 -0.20 -30.0 -0.20 -30.0
-0.74  0.16  0.08  0.08 -0.23  0.09  0.04  0.04 -0.09    0.09 -30.0 -30.0  0.25 -30.0 -0.30  0.10  0.00 -30.0 -0.46 -30.0 -0.30 -30.0 -0.27  0.08 -0.06  0.06 -0.19 -30.0  0.32 -30.0  0.70 -30.0 -0.30 -30.0 -0.61 -30.0
