[Fe/H] [FeII/H] [Obrac/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Si/Fe] [Ca/Fe] [Ti/Fe] [TiII/Fe] [alpha/Fe] [Sc/Fe] [V/Fe] [Cr/Fe] [CrII/Fe] [Mn/Fe] [Ni/Fe] [Zn/Fe]
-0.90 0.00 -30.0 -30.0 0.23 0.42 0.36 0.37 0.32 0.24 0.36 -30.0 0.18 0.04 -30.0 -30.0 -30.0 -30.0
-1.22 -0.04 0.59 0.46 -0.28 0.22 0.17 0.32 0.17 0.27 0.23 -0.05 -0.02 -0.11 0.05 -0.48 -30.0 -0.06
-0.21 -0.04 -30.0 -30.0 0.11 0.37 0.12 0.13 0.07 0.09 0.18 -30.0 -0.05 0.02 -30.0 -30.0 -30.0 -30.0
-1.15 -0.17 -30.0 0.85 -0.04 0.61 0.33 0.32 0.31 0.29 0.39 0.09 0.20 0.00 -0.05 -0.37 -0.03 -30.0
-0.87 -0.06 -30.0 -30.0 0.08 0.33 0.34 0.28 0.33 0.25 0.31 -30.0 0.15 0.00 -30.0 -30.0 -0.06 -30.0
-0.37 -0.13 -30.0 -30.0 0.00 0.35 0.13 0.15 0.24 0.15 0.21 -30.0 0.05 0.04 -30.0 -30.0 -0.09 -30.0
-1.25 0.04 -30.0 0.44 -0.28 0.23 0.19 0.31 0.19 0.28 0.24 -0.15 -0.09 -0.09 0.03 -0.47 -0.04 -0.03
-0.99 -0.16 -30.0 0.71 0.00 0.62 0.32 0.30 0.29 0.25 0.38 0.34 0.04 -0.04 -0.04 -0.42 -0.06 0.36
-1.02 -0.12 0.49 0.73 0.07 0.48 0.23 0.22 0.21 0.14 0.28 0.11 0.02 -0.08 -0.06 -0.31 -0.02 -0.04
-0.91 -0.12 -30.0 -30.0 -0.05 0.48 0.26 0.29 0.22 0.16 0.30 -30.0 0.02 0.00 -30.0 -30.0 -0.11 -30.0
-0.53 -0.30 -30.0 -30.0 0.12 0.37 0.28 0.15 0.07 0.25 0.24 -30.0 0.01 -0.16 -30.0 -30.0 -0.04 -30.0
-0.54 -0.07 -30.0 -30.0 0.07 0.32 0.17 0.16 0.11 0.09 0.19 -30.0 -0.04 -0.08 -30.0 -30.0 -0.07 -30.0
-0.82 -0.11 -30.0 0.49 -0.05 0.37 0.14 0.26 0.27 0.25 0.26 -30.0 -30.0 0.00 0.03 -30.0 0.03 -30.0
-0.72 -0.07 -30.0 0.52 0.11 0.43 0.27 0.28 0.21 0.19 0.29 -30.0 0.03 -0.04 0.03 -30.0 0.03 -30.0
-0.88 0.00 -30.0 -30.0 0.24 0.55 0.44 0.33 0.23 0.24 0.39 -30.0 0.03 -0.07 -30.0 -30.0 0.00 -30.0
-2.08 -0.05 -30.0 0.81 0.07 0.52 0.48 0.34 0.29 0.27 0.40 0.01 -30.0 -0.10 0.05 -0.56 -0.02 0.09
-0.40 0.07 -30.0 -30.0 0.12 0.25 0.19 0.13 -0.03 -0.01 0.14 -30.0 0.01 -0.03 -30.0 -30.0 0.00 -30.0
-0.79 0.04 -30.0 0.49 -0.01 0.42 0.25 0.26 0.27 0.42 0.32 -30.0 -30.0 0.00 0.00 -30.0 0.00 0.05 -30.0
-0.83 -0.06 -30.0 0.53 0.03 0.45 0.24 0.28 0.19 0.25 0.30 -30.0 -0.05 -0.05 0.01 -30.0 -0.01 -30.0
-1.07 0.01 0.56 0.92 -0.07 0.52 0.44 0.30 0.25 0.28 0.38 0.06 0.16 -0.01 0.15 -0.36 -0.04 0.19
-1.04 0.02 -30.0 -30.0 0.26 0.63 0.51 0.35 0.15 0.25 0.42 -30.0 0.15 -0.12 -30.0 -30.0 -0.02 -30.0
-0.91 -0.10 0.23 0.56 0.14 0.31 0.19 0.25 0.13 0.10 0.22 -0.01 0.19 -0.13 -0.06 -0.37 -0.01 -0.01
-1.80 -0.06 -30.0 -30.0 0.24 0.59 0.51 0.51 0.40 0.30 0.49 -30.0 0.33 0.07 -30.0 -30.0 0.03 -30.0
-0.53 0.16 -30.0 -30.0 0.13 0.15 0.33 0.05 0.05 -30.0 0.14 -30.0 -0.16 -30.0 -30.0 -30.0 0.00 -30.0
-1.60 -0.03 -30.0 -30.0 0.12 0.35 -30.0 0.33 0.29 0.27 0.32 -30.0 -30.0 -0.21 -30.0 -30.0 -0.10 -30.0
-1.52 -0.01 -30.0 0.71 -0.23 0.31 0.18 0.29 0.18 0.25 0.25 -0.16 -0.01 0.10 0.27 -0.47 -0.14 0.19
-0.66 0.29 -30.0 -30.0 0.09 0.56 0.43 0.18 0.23 0.47 0.38 -30.0 0.17 -0.02 -30.0 -30.0 -0.02 -30.0
-0.39 0.08 -30.0 0.41 0.02 0.42 0.22 0.21 0.30 0.34 0.29 0.18 0.25 0.03 0.13 -0.10 -0.02 0.08
-1.54 -0.04 -30.0 0.71 -0.14 0.45 0.33 0.40 0.39 0.49 0.41 -0.02 0.54 0.07 0.13 -0.19 0.06 0.15
-1.08 -0.11 -30.0 0.59 -0.02 0.42 0.26 0.27 0.18 0.21 0.29 0.04 -30.0 -0.13 -0.06 -0.38 -0.04 -0.01
-1.69 -0.08 -30.0 0.69 -0.10 0.45 0.38 0.40 0.26 0.29 0.37 -0.09 0.05 -0.11 0.18 -0.46 -0.08 0.24
-0.40 -0.03 -30.0 0.38 0.12 0.44 0.21 0.26 0.24 0.26 0.29 0.21 0.14 -0.03 0.04 -0.15 -0.02 0.17
-1.17 0.02 -30.0 0.59 0.00 0.39 0.27 0.25 0.34 0.22 0.30 -30.0 -30.0 -0.01 0.14 -30.0 0.04 -30.0
-0.57 -0.12 -30.0 -30.0 0.00 0.12 0.04 0.05 0.02 -0.01 0.05 -30.0 0.04 -0.08 -30.0 -30.0 -0.14 -30.0
-0.91 0.05 -30.0 -30.0 0.10 0.35 0.32 0.25 0.18 0.18 0.28 -30.0 -0.03 -0.08 -30.0 -30.0 -0.02 -30.0
-0.64 0.05 -30.0 -30.0 0.04 0.24 0.20 0.13 -30.0 -0.05 0.13 -30.0 -0.17 0.08 -30.0 -30.0 -0.13 -30.0
-0.60 0.04 -30.0 -30.0 0.09 0.53 0.32 0.20 0.28 0.27 0.33 -30.0 0.29 -0.02 -30.0 -30.0 -0.06 -30.0
-1.28 -0.07 -30.0 0.49 0.06 0.44 0.18 0.25 0.26 0.26 0.28 -30.0 -30.0 -0.14 -30.0 -30.0 -0.01 -30.0
-0.60 -30.0 -30.0 -30.0 0.01 0.51 0.23 0.22 -30.0 0.29 0.31 -30.0 -30.0 0.11 -30.0 -30.0 0.01 -30.0
-0.29 0.03 -30.0 -30.0 -0.02 0.14 0.08 0.12 0.08 -30.0 0.10 -30.0 -0.04 -30.0 -30.0 -30.0 -0.03 -30.0
-0.84 -0.07 -30.0 0.17 -0.38 0.11 -0.01 0.13 0.04 0.04 0.07 -30.0 -30.0 -0.10 -0.10 -30.0 -0.18 -30.0
-0.35 -0.16 -30.0 -30.0 0.05 0.12 0.03 0.08 0.06 0.01 0.07 -30.0 0.04 -0.03 -30.0 -30.0 -0.10 -30.0
-0.44 0.05 -30.0 0.37 0.14 0.37 0.16 0.15 0.21 0.23 0.23 0.09 0.30 0.04 0.05 -0.01 0.02 0.11
-0.88 -0.06 -30.0 -30.0 0.06 0.43 0.25 0.25 0.21 0.25 0.29 -30.0 0.10 -0.07 -30.0 -30.0 -0.06 -30.0
-0.85 0.07 -30.0 0.34 -0.39 0.16 0.08 0.11 0.13 0.21 0.13 -30.0 -30.0 -0.07 0.11 -30.0 -0.12 -30.0
-0.80 -0.05 -30.0 0.36 0.07 0.33 0.17 0.21 0.20 0.26 0.24 -30.0 0.11 -0.04 0.00 -30.0 0.03 -30.0
-1.64 -0.22 -30.0 0.64 -0.20 0.31 0.07 0.32 0.20 0.18 0.22 -0.07 -0.04 -0.08 -0.09 -0.42 -0.18 0.07
-0.94 0.04 -30.0 -30.0 0.15 0.51 0.39 0.28 0.31 0.27 0.37 -30.0 0.19 -0.02 -30.0 -30.0 0.00 -30.0
