[Fe/H] err   [FeII/H] err   [Mg/Fe] err   [Si/Fe] err   [Ca/Fe] err   [Ti/Fe] err    [TiII/Fe] err   [Na/Fe] err   [Sc/Fe] err   [V/Fe] err    [Cr/Fe] err   [CrII/Fe] err   [Mn/Fe] err   [Co/Fe] err   [Ni/Fe] err   [Cu/Fe] err   [Zn/Fe] err   [Sr/Fe] err   [Y/Fe]  err   [Zr/Fe] err   [Ba/Fe] err   [La/Fe] err   [Nd/Fe] err   [Sm/Fe] err   [Eu/Fe] err
-1.95  0.14   -1.94   0.12    0.47  0.10    0.44  0.12    0.43  0.08    0.30  0.10      0.33  0.11    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-2.37  0.16   -2.41   0.12    0.30  0.09   -30.0 -30.0    0.32  0.09    0.20  0.08      0.30  0.09    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.08  0.12   -1.11   0.11    0.30  0.08    0.27  0.14    0.15  0.09    0.36  0.07      0.48  0.07    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.65  0.20   -1.65   0.16    0.38  0.12    0.43  0.17    0.36  0.08    0.18  0.10      0.29  0.12    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.49  0.13   -1.47   0.13    0.26  0.11    0.47  0.11    0.34  0.08    0.23  0.09      0.21  0.09    -30.0 -30.0    0.01  0.07   -0.09  0.10   -0.24  0.08     0.11  0.08    -0.34  0.10   -30.0 -30.0   -0.04  0.09   -0.86  0.12    0.01  0.09   -30.0 -30.0   -0.22  0.08    0.14  0.10    0.01  0.23   -0.01  0.10    0.10  0.10    0.29  0.10    0.38  0.11                                       
-1.97  0.09   -2.02   0.11    0.11  0.09   -30.0 -30.0    0.20  0.08    0.35  0.07      0.50  0.09    -30.0 -30.0    0.26  0.11    0.08  0.16   -0.13  0.11     0.23  0.10    -0.35  0.13    0.21  0.15    0.06  0.16   -30.0 -30.0    0.09  0.15   -0.00  0.21   -30.0 -30.0   -30.0 -30.0   -0.07  0.11   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.31  0.11   -1.30   0.12   -0.06  0.08    0.02  0.12    0.20  0.08    0.24  0.07      0.30  0.08    -30.0 -30.0    0.07  0.09   -30.0 -30.0   -0.12  0.07     0.15  0.11    -0.34  0.11   -30.0 -30.0   -0.19  0.09   -0.86 -30.0   -0.09  0.12    0.04  0.19   -0.21  0.11   -30.0 -30.0    0.09  0.17    0.43  0.12   -30.0 -30.0   -30.0 -30.0    0.75  0.21 
-1.36  0.10   -1.35   0.11    0.17  0.09    0.13  0.11    0.21  0.07    0.30  0.07      0.39  0.07    -0.20  0.12    0.10  0.07    0.09  0.14   -0.14  0.06     0.15  0.08    -0.32  0.07    0.17  0.14   -0.07  0.09   -0.80 -30.0    0.03  0.11   -0.09  0.21   -0.10  0.09   -30.0 -30.0   -0.01  0.15   -30.0 -30.0    0.38  0.18    0.61  0.12    0.52  0.21 
-1.10  0.12   -1.25   0.12    0.19  0.09    0.22  0.14    0.10  0.10    0.40  0.07      0.48  0.09    -0.14  0.13    0.23  0.08    0.36  0.12   -0.02  0.09     0.20  0.08    -0.25  0.06   -30.0 -30.0   -0.04  0.09   -0.12  0.12    0.03  0.15   -30.0 -30.0    0.27  0.09    0.55  0.13    0.24  0.17   -30.0 -30.0    0.68  0.11    0.73  0.13    0.35  0.10 
-2.17  0.10   -2.50   0.13    0.09  0.11   -30.0 -30.0    0.09  0.08    0.27  0.07      0.58  0.12    -30.0 -30.0    0.33  0.16    0.17  0.17    0.01  0.12    -30.0 -30.0    -0.35  0.16    0.15  0.16   -0.09  0.18   -3.39 -30.0   -0.20  0.21    0.28  0.26    0.12  0.12   -30.0 -30.0   -0.10  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.50  0.21 
