[Fe/H] [N/H] [O/H]
-2.74 -2.44 -2.11 
-1.48 -1.58 -30.0 
-2.66 -2.86 -1.78 
-1.50 -1.80 -0.94 
-2.36 -1.36 -1.42 
-2.17 -1.97 -1.36 
-3.05 -1.90 -1.88 
-2.99 -2.29 -2.08 
-0.86 -1.05 -0.53 
-2.04 -1.69 -0.82 
-1.74 -1.75 -1.00 
-0.90 -1.12 -0.56 
-2.06 -2.06 -1.29 
-1.83 -1.83 -30.0 
-1.49 -1.34 -0.78 
-1.43 -1.83 -1.06 
-2.11 -2.41 -30.0 
-0.81 -0.81 -0.52 
-2.47 -2.42 -1.58 
-0.35 -0.45 -0.24 
-0.67 -0.77 -0.63 
-1.68 -1.38 -0.69 
-0.65 -0.86 -0.74 
-1.57 -1.57 -1.01 
-1.12 -1.32 -0.74
-1.20 -1.10 -0.68
-0.95 -1.05 -0.80
-1.05 -0.95 -0.60
-1.76 -2.06 -30.0
-1.48 -1.98 -1.27
-0.50 -0.65 -0.71
0.23 0.25 0.02
0.28 0.21 -0.05
0.30 0.39 0.21
0.35 0.26 0.44
0.13 0.10 -0.07
-0.13 -0.05 0.00
0.40 0.42 -0.01
0.32 0.42 0.08
0.23 0.20 0.08
0.30 0.40 0.22
-0.21 -0.30 -0.12
0.02 0.01 -0.07
0.20 0.20 0.16
0.37 0.40 0.17
0.05 0.12 -0.04
