[C/H] [Na/H] [Mg/H] [Al/H] [Si/H] [Ca/H] [Sc/H] [TiI/H] [Ti/H] [Cr/H] [CrII/H] [Mn/H] [Fe/H] [FeII/H] [Co/H] [Ni/H] [Zn/H] [Sr/H] [Ba/H] [Eu/H]
-2.65 -30.0 -1.91 -3.13 -1.82 -1.98 -2.12 -2.2 -1.95 -2.57 -2.14 -2.38 -2.32 -2.31 -2.26 -2.31 -2.15 -2.35 -3.53 -2.87 
-2.55 -30.0 -1.99 -3.21 -2.19 -2.06 -2.29 -2.21 -2.05 -2.54 -2.14 -2.45 -2.32 -2.3 -2.33 -2.35 -2.24 -2.57 -2.33 -1.92 
-2.81 -2.25 -2.06 -3.26 -30.0 -2.24 -2.65 -2.4 -2.11 -2.75 -2.41 -3.0 -2.56 -2.56 -2.36 -2.5 -2.47 -2.72 -2.54 -2.11 
-2.88 -3.3 -2.74 -4.0 -30.0 -3.0 -3.29 -3.06 -3.05 -3.66 -30.0 -3.52 -3.17 -3.15 -3.11 -3.13 -30.0 -3.15 -4.35 -2.67 
-2.48 -30.0 -2.09 -30.0 -1.77 -2.15 -2.52 -2.41 -2.15 -2.76 -2.26 -2.94 -2.53 -2.53 -2.53 -2.69 -2.33 -2.42 -2.33 -2.02 
-3.75 -2.78 -2.81 -3.55 -2.49 -2.93 -3.42 -3.19 -3.0 -3.84 -30.0 -3.61 -3.36 -3.35 -2.77 -3.25 -30.0 -4.94 -4.42 -3.46 
-3.92 -3.66 -3.24 -4.28 -3.24 -3.42 -4.17 -3.75 -3.68 -4.35 -30.0 -4.52 -3.83 -3.8 -3.55 -3.98 -3.11 -4.82 -4.84 -3.52 
-2.73 -1.94 -3.32 -4.18 -3.2 -3.38 -3.95 -3.37 -3.61 -4.3 -30.0 -4.42 -3.93 -3.93 -3.27 -3.63 -30.0 -5.04 -4.58 -2.47 
-2.84 -2.26 -2.61 -3.65 -30.0 -2.56 -3.21 -2.73 -2.79 -3.23 -30.0 -3.26 -3.03 -3.01 -2.89 -2.93 -30.0 -3.21 -3.26 -2.83 
-3.66 -3.5 -3.23 -4.39 -2.86 -3.33 -3.98 -3.58 -3.54 -4.25 -30.0 -4.31 -3.79 -3.78 -3.65 -3.92 -30.0 -4.58 -5.43 -30.0 
-2.8 -2.05 -2.57 -3.51 -2.53 -2.6 -2.95 -2.79 -2.71 -3.26 -30.0 -3.2 -3.02 -3.02 -2.86 -3.04 -2.7 -3.31 -3.27 -2.67 
-2.12 -30.0 -1.75 -2.5 -30.0 -1.54 -1.47 -1.63 -1.42 -1.71 -1.55 -1.67 -1.59 -1.59 -1.63 -1.96 -1.91 -1.97 -1.63 -1.51 
-3.08 -2.01 -2.39 -3.75 -30.0 -2.32 -2.53 -2.53 -2.42 -2.98 -2.54 -2.98 -2.81 -2.79 -2.8 -2.8 -2.45 -2.81 -3.04 -2.68 
-3.14 -2.43 -1.76 -2.9 -1.84 -2.55 -2.52 -2.43 -2.23 -2.91 -30.0 -3.15 -2.62 -2.6 -2.83 -2.62 -2.73 -4.38 -3.31 -2.76 
-2.92 -30.0 -2.55 -4.06 -1.85 -2.65 -3.07 -2.9 -2.76 -3.28 -30.0 -3.28 -3.11 -3.11 -2.86 -3.24 -30.0 -3.37 -3.6 -2.81 
-3.55 -30.0 -2.51 -3.71 -30.0 -2.65 -2.87 -2.72 -2.68 -3.33 -30.0 -3.49 -3.03 -3.02 -3.02 -3.17 -30.0 -3.25 -2.96 -2.67 
-3.25 -1.96 -2.22 -3.58 -30.0 -2.25 -2.37 -2.46 -2.27 -2.85 -30.0 -2.98 -2.71 -2.68 -2.58 -2.68 -2.46 -2.66 -2.52 -2.37 
-3.4 -2.12 -2.36 -3.24 -2.34 -2.34 -2.84 -2.6 -2.56 -3.18 -30.0 -3.05 -2.87 -2.86 -2.82 -2.74 -2.43 -2.68 -3.78 -2.87 
-3.37 -2.64 -2.82 -3.83 -2.44 -3.14 -3.41 -3.34 -3.31 -4.0 -30.0 -3.99 -3.4 -3.39 -3.38 -3.48 -30.0 -3.46 -3.02 -3.05 
-3.9 -3.98 -3.35 -4.35 -3.41 -3.56 -3.62 -3.62 -3.63 -4.5 -30.0 -4.54 -3.97 -3.95 -3.69 -4.03 -30.0 -2.89 -4.88 -2.82 
-2.43 -2.1 -1.99 -2.9 -2.44 -2.28 -2.82 -2.42 -2.33 -3.16 -30.0 -2.71 -2.55 -2.53 -2.48 -2.47 -30.0 -3.4 -2.71 -1.92 
-2.25 -2.12 -2.31 -3.48 -30.0 -2.23 -2.76 -2.36 -2.31 -3.16 -30.0 -2.96 -2.63 -2.62 -2.61 -2.59 -30.0 -2.62 -2.47 -1.93 
-1.98 -2.11 -2.13 -3.04 -1.41 -2.05 -2.27 -2.03 -1.99 -2.33 -2.19 -2.4 -2.22 -2.23 -2.01 -2.21 -2.34 -3.17 -2.56 -1.87 
-2.54 -2.07 -2.26 -3.61 -2.13 -2.44 -2.92 -2.66 -2.64 -3.22 -30.0 -3.21 -2.94 -2.93 -2.71 -3.08 -2.67 -3.61 -3.21 -2.94 
-3.07 -3.59 -3.13 -4.29 -3.06 -3.19 -3.8 -3.25 -3.33 -4.08 -30.0 -3.82 -3.42 -3.42 -2.88 -3.14 -30.0 -5.5 -5.05 -3.12 
-3.35 -2.43 -2.73 -3.88 -2.82 -2.83 -3.17 -2.94 -3.02 -3.63 -30.0 -3.8 -3.37 -3.34 -2.9 -30.0 -30.0 -3.54 -3.11 -2.87 
