[Fe/H] [C/H] [N/H] [O/H]
-2.47 -2.97 -1.62 -1.97
-2.82 -3.29 -2.12 -2.20
-2.59 -2.89 -1.97 -1.84
-2.07 -2.44 -1.42 -1.38
-3.06 -3.08 -3.42 -2.64
-4.19 -4.52 -3.12 -30.0
-3.77 -3.52 -3.32 -30.0
-3.36 -3.07 -3.62 -30.0
-2.88 -3.00 -2.02 -30.0
-3.04 -3.26 -2.02 -30.0
-3.86 -3.86 -3.62 -2.82
-3.00 -3.54 -2.02 -2.41
-3.49 -3.18 -3.22 -30.0
-2.99 -3.72 -1.92 -2.47
-2.97 -3.10 -1.92 -30.0
-3.25 -3.54 -1.92 -30.0
-3.78 -3.52 -3.52 -30.0
-3.29 -3.94 -2.17 -2.52
-3.03 -2.14 -2.52 -2.56
-2.69 -2.46 -2.92 -1.75
-3.41 -2.85 -3.17 -30.0
-3.14 -3.14 -1.92 -2.25
-3.97 -2.82 -1.82 -1.99
-3.43 -4.02 -2.12 -30.0
-2.84 -2.54 -2.72 -2.09
-3.33 -3.06 -3.02 -2.21
-2.62 -2.56 -2.52 -1.63
-3.56 -3.31 -3.32 -2.66
-3.04 -3.31 -2.22 -2.28
-2.82 -2.89 -2.42 -2.14
-3.19 -3.03 -3.62 -30.0
-3.06 -3.12 -3.82 -2.44
-2.69 -2.82 -1.87 -1.89
-3.30 -3.30 -3.12 -2.58
-2.91 -2.69 -3.42 -2.31
