[Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Zn/Fe] [Ga/Fe] [Ge/Fe] [Sr/Fe] [Y/Fe] [Zr/Fe] [Nb/Fe] [Mo/Fe] [Ru/Fe] [Rh/Fe] [Pd/Fe] [Ag/Fe] [Ba/Fe] [La/Fe] [Ce/Fe] [Pr/Fe] [Nd/Fe] [Sm/Fe] [Eu/Fe] [Gd/Fe] [Tb/Fe] [Dy/Fe] [Ho/Fe] [Er/Fe] [Tm/Fe] [Yb/Fe] [Lu/Fe] [Hf/Fe] [Os/Fe] [Ir/Fe] [Pt/Fe] [Au/Fe] [Pb/Fe] [Th/Fe] [U/Fe]
-3.98 +0.20 -30.0 -30.0 -0.04 +0.30 -30.0 +1.09 +0.42 +0.37 +0.28 -30.0 -0.46 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.62 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.13 -30.0 -30.0 -30.0 -0.01 +0.52 -30.0 -30.0 +0.53 -30.0 +0.15 -30.0 +0.02 -30.0 -30.0 +0.16 -30.0 -30.0 -30.0 -30.0 +0.36 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.88 +0.74 -30.0 -30.0 +0.87 -30.0 +1.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.81 -30.0 -30.0 +0.27 -0.18 +0.51 +0.15 +0.37 +0.39 +0.16 +0.14 -30.0 -0.06 -0.19 +0.28 +0.26 +0.32 -30.0 -30.0 -30.0 +0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.48 +0.07 -30.0 -30.0 +0.50 -30.0 +0.78 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.71 -30.0 -30.0 +0.49 -0.40 +0.33 +0.15 +0.29 +0.37 -0.07 +0.14 -30.0 -0.03 -0.34 +0.32 +0.19 -0.18 -30.0 -30.0 -30.0 -0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.33 +0.06 -30.0 -30.0 +0.26 -30.0 +0.47 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.92 -30.0 -30.0 +0.53 -0.44 +0.41 +0.15 +0.15 +0.32 +0.10 +0.17 -30.0 +0.08 -0.24 +0.16 -0.09 -0.23 -30.0 -30.0 -30.0 -0.64 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.04 -0.20 -30.0 -30.0 -0.21 -30.0 +0.40 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.39 -30.0 -30.0 +0.23 -0.40 +0.24 +0.15 +0.08 +0.21 -0.23 +0.14 -30.0 +0.01 -0.25 +0.08 -0.13 +0.23 -30.0 -30.0 -30.0 -0.49 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.38 +0.25 -30.0 -30.0 +0.01 -30.0 +0.35 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.37 -30.0 -30.0 -0.04 -0.38 -0.02 -0.27 -0.18 +0.03 -0.21 +0.01 -30.0 -30.0 -0.14 -30.0 -0.03 -0.21 -30.0 -30.0 -30.0 -0.02 -0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.03 +0.30 -30.0 -30.0 -30.0 -30.0 -0.13 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.27 -30.0 -30.0 +0.44 -0.35 +0.86 -30.0 +0.18 +0.29 +0.16 +0.27 -30.0 -30.0 +0.13 -30.0 +0.14 +0.44 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.23 -30.0 -30.0 -30.0 -30.0 -30.0 +0.62 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.89 -30.0 -30.0 +0.22 -0.44 +0.33 -30.0 -0.16 +0.34 +0.14 +0.34 -30.0 -30.0 -0.22 -30.0 +0.21 +0.36 -30.0 -30.0 -30.0 -30.0 +0.37 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +0.32 +0.50 -30.0 -30.0 -30.0 -30.0 +0.43 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.14 -30.0 -30.0 -0.29 -0.07 -0.05 -0.21 -30.0 +0.01 -0.18 +0.03 -30.0 -30.0 -0.43 -30.0 +0.04 +0.24 -30.0 -30.0 -30.0 +1.28 +1.42 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 +2.06 +2.22 -30.0 -30.0 -30.0 -30.0 +1.58 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
