H AGB yields: Lugaro et al. (2012), Karakas et al. (2016, 2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-7, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-51, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58
H Table: (M=0.9,Z=0.03)
H Lifetime: 2.399e+10
H Mfinal: 5.663e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &2.169e-01  &0.000e+00  &1  &1
&H-2      &8.114e-08  &0.000e+00  &1  &2
&He-3     &2.570e-04  &0.000e+00  &2  &3
&He-4     &1.069e-01  &0.000e+00  &2  &4
&Li-7     &1.670e-11  &0.000e+00  &3  &7
&C-12     &1.425e-03  &0.000e+00  &6  &12
&C-13     &5.581e-05  &0.000e+00  &6  &13
&N-14     &7.512e-04  &0.000e+00  &7  &14
&N-15     &8.716e-07  &0.000e+00  &7  &15
&O-16     &4.090e-03  &0.000e+00  &8  &16
&O-17     &2.244e-06  &0.000e+00  &8  &17
&O-18     &8.582e-06  &0.000e+00  &8  &18
&F-19     &2.616e-07  &0.000e+00  &9  &19
&Ne-20    &8.289e-04  &0.000e+00  &10 &20
&Ne-21    &2.092e-06  &0.000e+00  &10 &21
&Ne-22    &6.675e-05  &0.000e+00  &10 &22
&Na-23    &2.274e-05  &0.000e+00  &11 &23
&Mg-24    &3.954e-04  &0.000e+00  &12 &24
&Mg-25    &5.213e-05  &0.000e+00  &12 &25
&Mg-26    &5.972e-05  &0.000e+00  &12 &26
&Al-27    &3.807e-05  &0.000e+00  &13 &27
&Si-28    &4.378e-04  &0.000e+00  &14 &28
&Si-29    &2.302e-05  &0.000e+00  &14 &29
&Si-30    &1.570e-05  &0.000e+00  &14 &30
&P-31     &4.371e-06  &0.000e+00  &15 &31
&S-32     &2.098e-04  &0.000e+00  &16 &32
&S-33     &1.732e-06  &0.000e+00  &16 &33
&S-34     &1.007e-05  &0.000e+00  &16 &34
&S-36     &4.972e-08  &0.000e+00  &16 &36
&Cl-35    &2.152e-06  &0.000e+00  &17 &35
