H Neutrino-driven wind yields, from ndw_wind_expand.001.txt 
&Isotopes  &Z=0.02
&H-1      &3.71081E-08
&H-2      &3.21065E-12
&He-3     &2.22573E-15
&He-4     &6.07704E-01
&Li-6     &1.61889E-16
&Li-7     &1.59149E-14
&Be-9     &2.92708E-14
&B-10     &7.88995E-19
&B-11     &1.40487E-14
&C-12     &3.47473E-06
&C-13     &3.60439E-09
&N-14     &1.47649E-13
&N-15     &1.90280E-15
&O-16     &1.67789E-07
&O-17     &2.18559E-13
&O-18     &1.73425E-14
&F-19     &1.07720E-15
&Ne-20    &2.10410E-07
&Ne-21    &2.30556E-09
&Ne-22    &1.38068E-11
&Na-23    &3.29920E-11
&Mg-24    &3.00846E-07
&Mg-25    &3.75677E-08
&Mg-26    &1.85962E-08
&Al-27    &1.11222E-08
&Si-28    &4.00890E-07
&Si-29    &1.37741E-07
&Si-30    &1.48200E-07
&P-31     &3.40690E-07
&S-32     &6.12306E-07
&S-33     &2.66314E-07
&S-34     &4.68316E-07
&S-36     &7.71139E-07
&Cl-35    &2.28139E-07
&Cl-37    &5.10209E-07
&Ar-36    &2.32382E-11
&Ar-38    &5.50528E-07
&Ar-40    &1.77556E-06
&K-39     &2.06799E-07
&K-40     &2.34056E-14
&K-41     &2.86167E-07
&Ca-40    &3.25377E-16
&Ca-42    &4.47702E-06
&Ca-43    &1.83304E-07
&Ca-44    &4.56188E-07
&Ca-46    &7.50464E-07
&Ca-48    &2.06490E-05
&Sc-45    &3.59108E-07
&Ti-46    &3.90815E-18
&Ti-47    &1.20596E-06
&Ti-48    &3.32569E-13
&Ti-49    &1.32427E-06
&Ti-50    &4.90178E-06
&V-50     &1.09630E-20
&V-51     &3.06222E-05
&Cr-50    &2.14404E-22
&Cr-52    &7.22194E-05
&Cr-53    &1.35931E-06
&Cr-54    &4.33581E-07
&Mn-55    &1.75804E-07
&Fe-54    &1.16881E-21
&Fe-56    &1.77487E-04
&Fe-57    &7.58817E-06
&Fe-58    &1.41852E-05
&Co-59    &5.32435E-06
&Ni-58    &3.70932E-22
&Ni-60    &9.97843E-07
&Ni-61    &5.87394E-06
&Ni-62    &3.87790E-06
&Ni-64    &4.21745E-04
&Cu-63    &1.92261E-06
&Cu-65    &2.94473E-05
&Zn-64    &2.29797E-21
&Zn-66    &3.29309E-06
&Zn-67    &2.88693E-05
&Zn-68    &5.85314E-05
&Zn-70    &6.21987E-04
&Ga-69    &2.22019E-05
&Ga-71    &5.08939E-05
&Ge-70    &1.44274E-21
&Ge-72    &2.45341E-04
&Ge-73    &6.24394E-05
&Ge-74    &1.82378E-05
&Ge-76    &1.62066E-04
&As-75    &1.75800E-05
&Se-74    &5.61172E-22
&Se-76    &2.36221E-21
&Se-77    &3.49900E-05
&Se-78    &1.68452E-03
&Se-80    &3.13035E-03
&Se-82    &1.88650E-03
&Br-79    &1.00128E-04
&Br-81    &3.43162E-04
&Kr-78    &3.65641E-22
&Kr-80    &8.23725E-22
&Kr-82    &3.89085E-21
&Kr-83    &9.25956E-05
&Kr-84    &3.03474E-03
