H CC SNe yields: Limongi & Chieffi (2018), Model R, V_rot = 150.0 km/s
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74, Ge-76, As-75, Se-74, Se-76, Se-77, Se-78, Se-80, Se-82, Br-79, Br-81, Kr-78, Kr-80, Kr-82, Kr-83, Kr-84, Kr-86, Rb-85, Rb-87, Sr-84, Sr-86, Sr-87, Sr-88, Y-89, Zr-90, Zr-91, Zr-92, Zr-94, Zr-96, Nb-93, Mo-92, Mo-94, Mo-95, Mo-96, Mo-97, Mo-98, Xe-132, Xe-134, Cs-133, Ba-134, Ba-135, Ba-136, Ba-137, Ba-138, La-138, La-139, Ce-140, Pr-141, Nd-142, Nd-143, Nd-144, Hg-202, Hg-204, Tl-203, Tl-205, Pb-204, Pb-206, Pb-207, Pb-208, Bi-209
H Table: (M=13.0,Z=0.01345)
H Lifetime: 2.084e+07
H Mfinal: 2.260e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &4.732e+00  &0.000e+00  &1  &1
&H-2      &2.049e-16  &0.000e+00  &1  &2
&He-3     &2.345e-04  &0.000e+00  &2  &3
&He-4     &3.929e+00  &0.000e+00  &2  &4
&Li-6     &2.580e-12  &0.000e+00  &3  &6
&Li-7     &5.944e-11  &0.000e+00  &3  &7
&Be-9     &1.812e-12  &0.000e+00  &4  &9
&B-10     &1.296e-11  &0.000e+00  &5  &10
&B-11     &2.779e-09  &0.000e+00  &5  &11
&C-12     &3.680e-01  &0.000e+00  &6  &12
&C-13     &9.795e-04  &0.000e+00  &6  &13
&N-14     &3.927e-02  &0.000e+00  &7  &14
&N-15     &1.931e-05  &0.000e+00  &7  &15
&O-16     &1.313e+00  &0.000e+00  &8  &16
&O-17     &6.027e-05  &0.000e+00  &8  &17
&O-18     &1.035e-03  &0.000e+00  &8  &18
&F-19     &1.445e-05  &0.000e+00  &9  &19
&Ne-20    &3.434e-02  &0.000e+00  &10 &20
&Ne-21    &2.303e-04  &0.000e+00  &10 &21
&Ne-22    &2.272e-02  &0.000e+00  &10 &22
&Na-23    &1.471e-03  &0.000e+00  &11 &23
&Mg-24    &1.376e-02  &0.000e+00  &12 &24
&Mg-25    &4.218e-03  &0.000e+00  &12 &25
&Mg-26    &4.418e-03  &0.000e+00  &12 &26
&Al-27    &1.811e-03  &0.000e+00  &13 &27
&Si-28    &9.956e-02  &0.000e+00  &14 &28
&Si-29    &2.550e-03  &0.000e+00  &14 &29
&Si-30    &3.862e-03  &0.000e+00  &14 &30
&P-31     &9.028e-04  &0.000e+00  &15 &31
&S-32     &4.574e-02  &0.000e+00  &16 &32
&S-33     &5.090e-04  &0.000e+00  &16 &33
&S-34     &4.261e-03  &0.000e+00  &16 &34
&S-36     &3.473e-06  &0.000e+00  &16 &36
&Cl-35    &3.504e-04  &0.000e+00  &17 &35
&Cl-37    &9.406e-05  &0.000e+00  &17 &37
&Ar-36    &7.818e-03  &0.000e+00  &18 &36
&Ar-38    &2.199e-03  &0.000e+00  &18 &38
&Ar-40    &1.150e-06  &0.000e+00  &18 &40
&K-39     &1.766e-04  &0.000e+00  &19 &39
&K-40     &1.568e-06  &0.000e+00  &19 &40
&K-41     &2.027e-05  &0.000e+00  &19 &41
&Ca-40    &6.715e-03  &0.000e+00  &20 &40
&Ca-42    &8.348e-05  &0.000e+00  &20 &42
&Ca-43    &4.115e-06  &0.000e+00  &20 &43
&Ca-44    &5.301e-05  &0.000e+00  &20 &44
&Ca-46    &1.626e-06  &0.000e+00  &20 &46
&Ca-48    &1.505e-06  &0.000e+00  &20 &48
&Sc-45    &3.749e-06  &0.000e+00  &21 &45
&Ti-46    &3.661e-05  &0.000e+00  &22 &46
&Ti-47    &5.798e-06  &0.000e+00  &22 &47
&Ti-48    &1.023e-04  &0.000e+00  &22 &48
&Ti-49    &9.720e-06  &0.000e+00  &22 &49
&Ti-50    &7.890e-06  &0.000e+00  &22 &50
&V-50     &4.313e-07  &0.000e+00  &23 &50
&V-51     &1.557e-05  &0.000e+00  &23 &51
&Cr-50    &6.802e-05  &0.000e+00  &24 &50
&Cr-52    &7.802e-04  &0.000e+00  &24 &52
&Cr-53    &8.681e-05  &0.000e+00  &24 &53
&Cr-54    &1.238e-05  &0.000e+00  &24 &54
&Mn-55    &4.830e-04  &0.000e+00  &25 &55
&Fe-54    &3.515e-03  &0.000e+00  &26 &54
&Fe-56    &8.128e-02  &0.000e+00  &26 &56
&Fe-57    &3.008e-03  &0.000e+00  &26 &57
&Fe-58    &3.484e-04  &0.000e+00  &26 &58
&Co-59    &3.105e-04  &0.000e+00  &27 &59
&Ni-58    &4.962e-03  &0.000e+00  &28 &58
&Ni-60    &1.875e-03  &0.000e+00  &28 &60
&Ni-61    &1.808e-04  &0.000e+00  &28 &61
&Ni-62    &8.612e-04  &0.000e+00  &28 &62
&Ni-64    &1.431e-04  &0.000e+00  &28 &64
&Cu-63    &7.170e-05  &0.000e+00  &29 &63
&Cu-65    &9.280e-05  &0.000e+00  &29 &65
&Zn-64    &3.559e-05  &0.000e+00  &30 &64
&Zn-66    &1.174e-04  &0.000e+00  &30 &66
&Zn-67    &9.307e-06  &0.000e+00  &30 &67
&Zn-68    &5.572e-05  &0.000e+00  &30 &68
&Zn-70    &1.660e-05  &0.000e+00  &30 &70
&Ga-69    &1.017e-05  &0.000e+00  &31 &69
&Ga-71    &1.238e-05  &0.000e+00  &31 &71
&Ge-70    &1.435e-05  &0.000e+00  &32 &70
&Ge-72    &1.664e-05  &0.000e+00  &32 &72
&Ge-73    &2.685e-06  &0.000e+00  &32 &73
&Ge-74    &1.276e-05  &0.000e+00  &32 &74
&Ge-76    &3.098e-06  &0.000e+00  &32 &76
&As-75    &3.213e-06  &0.000e+00  &33 &75
&Se-74    &9.726e-07  &0.000e+00  &34 &74
&Se-76    &4.207e-06  &0.000e+00  &34 &76
&Se-77    &2.883e-06  &0.000e+00  &34 &77
&Se-78    &5.920e-06  &0.000e+00  &34 &78
&Se-80    &3.172e-06  &0.000e+00  &34 &80
&Se-82    &8.964e-07  &0.000e+00  &34 &82
&Br-79    &1.124e-06  &0.000e+00  &35 &79
&Br-81    &9.130e-07  &0.000e+00  &35 &81
&Kr-78    &6.143e-08  &0.000e+00  &36 &78
&Kr-80    &7.355e-07  &0.000e+00  &36 &80
&Kr-82    &2.057e-06  &0.000e+00  &36 &82
&Kr-83    &1.126e-06  &0.000e+00  &36 &83
&Kr-84    &3.896e-06  &0.000e+00  &36 &84
&Kr-86    &1.802e-06  &0.000e+00  &36 &86
&Rb-85    &1.252e-06  &0.000e+00  &37 &85
&Rb-87    &8.065e-07  &0.000e+00  &37 &87
&Sr-84    &5.963e-08  &0.000e+00  &38 &84
&Sr-86    &9.647e-07  &0.000e+00  &38 &86
&Sr-87    &5.698e-07  &0.000e+00  &38 &87
&Sr-88    &3.821e-06  &0.000e+00  &38 &88
&Y-89     &7.170e-07  &0.000e+00  &39 &89
&Zr-90    &6.030e-07  &0.000e+00  &40 &90
&Zr-91    &1.302e-07  &0.000e+00  &40 &91
&Zr-92    &1.255e-07  &0.000e+00  &40 &92
&Zr-94    &9.575e-08  &0.000e+00  &40 &94
&Zr-96    &2.736e-08  &0.000e+00  &40 &96
&Nb-93    &4.075e-08  &0.000e+00  &41 &93
&Mo-92    &1.412e-08  &0.000e+00  &42 &92
&Mo-94    &6.530e-09  &0.000e+00  &42 &94
&Mo-95    &1.709e-08  &0.000e+00  &42 &95
&Mo-96    &2.269e-08  &0.000e+00  &42 &96
&Mo-97    &7.243e-09  &0.000e+00  &42 &97
&Mo-98    &1.973e-08  &0.000e+00  &42 &98
&Xe-132   &5.429e-08  &0.000e+00  &54 &132
&Xe-134   &1.938e-08  &0.000e+00  &54 &134
&Cs-133   &1.327e-08  &0.000e+00  &55 &133
&Ba-134   &8.544e-09  &0.000e+00  &56 &134
&Ba-135   &1.319e-08  &0.000e+00  &56 &135
&Ba-136   &2.323e-08  &0.000e+00  &56 &136
&Ba-137   &2.423e-08  &0.000e+00  &56 &137
&Ba-138   &1.581e-07  &0.000e+00  &56 &138
&La-138   &1.229e-11  &0.000e+00  &57 &138
&La-139   &1.714e-08  &0.000e+00  &57 &139
&Ce-140   &4.158e-08  &0.000e+00  &58 &140
&Pr-141   &6.182e-09  &0.000e+00  &59 &141
&Nd-142   &1.092e-08  &0.000e+00  &60 &142
&Nd-143   &3.098e-09  &0.000e+00  &60 &143
&Nd-144   &6.669e-09  &0.000e+00  &60 &144
&Hg-202   &7.831e-09  &0.000e+00  &80 &202
&Hg-204   &1.988e-09  &0.000e+00  &80 &204
&Tl-203   &3.993e-09  &0.000e+00  &81 &203
&Tl-205   &9.051e-09  &0.000e+00  &81 &205
&Pb-204   &3.288e-09  &0.000e+00  &82 &204
&Pb-206   &1.939e-08  &0.000e+00  &82 &206
&Pb-207   &2.025e-08  &0.000e+00  &82 &207
&Pb-208   &5.738e-08  &0.000e+00  &82 &208
&Bi-209   &6.807e-09  &0.000e+00  &83 &209
H Table: (M=15.0,Z=0.01345)
H Lifetime: 1.694e+07
H Mfinal: 2.382e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.121e+00  &0.000e+00  &1  &1
&H-2      &1.738e-14  &0.000e+00  &1  &2
&He-3     &2.423e-04  &0.000e+00  &2  &3
&He-4     &4.467e+00  &0.000e+00  &2  &4
&Li-6     &4.738e-12  &0.000e+00  &3  &6
&Li-7     &1.151e-10  &0.000e+00  &3  &7
&Be-9     &3.355e-12  &0.000e+00  &4  &9
&B-10     &2.335e-11  &0.000e+00  &5  &10
&B-11     &3.049e-09  &0.000e+00  &5  &11
&C-12     &3.649e-01  &0.000e+00  &6  &12
&C-13     &7.521e-04  &0.000e+00  &6  &13
&N-14     &4.106e-02  &0.000e+00  &7  &14
&N-15     &2.202e-05  &0.000e+00  &7  &15
&O-16     &1.926e+00  &0.000e+00  &8  &16
&O-17     &4.819e-05  &0.000e+00  &8  &17
&O-18     &8.990e-05  &0.000e+00  &8  &18
&F-19     &6.510e-04  &0.000e+00  &9  &19
&Ne-20    &6.086e-02  &0.000e+00  &10 &20
&Ne-21    &4.806e-04  &0.000e+00  &10 &21
&Ne-22    &3.155e-02  &0.000e+00  &10 &22
&Na-23    &1.825e-03  &0.000e+00  &11 &23
&Mg-24    &1.620e-02  &0.000e+00  &12 &24
&Mg-25    &1.320e-02  &0.000e+00  &12 &25
&Mg-26    &1.026e-02  &0.000e+00  &12 &26
&Al-27    &2.242e-03  &0.000e+00  &13 &27
&Si-28    &1.100e-01  &0.000e+00  &14 &28
&Si-29    &3.236e-03  &0.000e+00  &14 &29
&Si-30    &4.192e-03  &0.000e+00  &14 &30
&P-31     &1.036e-03  &0.000e+00  &15 &31
&S-32     &4.987e-02  &0.000e+00  &16 &32
&S-33     &6.288e-04  &0.000e+00  &16 &33
&S-34     &5.319e-03  &0.000e+00  &16 &34
&S-36     &4.684e-06  &0.000e+00  &16 &36
&Cl-35    &3.891e-04  &0.000e+00  &17 &35
&Cl-37    &1.441e-04  &0.000e+00  &17 &37
&Ar-36    &7.525e-03  &0.000e+00  &18 &36
&Ar-38    &3.141e-03  &0.000e+00  &18 &38
&Ar-40    &1.616e-06  &0.000e+00  &18 &40
&K-39     &2.572e-04  &0.000e+00  &19 &39
&K-40     &2.654e-06  &0.000e+00  &19 &40
&K-41     &2.947e-05  &0.000e+00  &19 &41
&Ca-40    &5.321e-03  &0.000e+00  &20 &40
&Ca-42    &1.372e-04  &0.000e+00  &20 &42
&Ca-43    &7.999e-06  &0.000e+00  &20 &43
&Ca-44    &4.299e-05  &0.000e+00  &20 &44
&Ca-46    &2.793e-06  &0.000e+00  &20 &46
&Ca-48    &1.624e-06  &0.000e+00  &20 &48
&Sc-45    &8.507e-06  &0.000e+00  &21 &45
&Ti-46    &8.516e-05  &0.000e+00  &22 &46
&Ti-47    &8.216e-06  &0.000e+00  &22 &47
&Ti-48    &3.327e-05  &0.000e+00  &22 &48
&Ti-49    &1.637e-05  &0.000e+00  &22 &49
&Ti-50    &1.940e-05  &0.000e+00  &22 &50
&V-50     &5.956e-07  &0.000e+00  &23 &50
&V-51     &1.582e-04  &0.000e+00  &23 &51
&Cr-50    &3.857e-03  &0.000e+00  &24 &50
&Cr-52    &3.711e-03  &0.000e+00  &24 &52
&Cr-53    &2.069e-03  &0.000e+00  &24 &53
&Cr-54    &2.483e-05  &0.000e+00  &24 &54
&Mn-55    &9.233e-03  &0.000e+00  &25 &55
&Fe-54    &2.767e-01  &0.000e+00  &26 &54
&Fe-56    &3.945e-02  &0.000e+00  &26 &56
&Fe-57    &2.447e-03  &0.000e+00  &26 &57
&Fe-58    &6.811e-04  &0.000e+00  &26 &58
&Co-59    &4.785e-04  &0.000e+00  &27 &59
&Ni-58    &2.578e-02  &0.000e+00  &28 &58
&Ni-60    &1.305e-03  &0.000e+00  &28 &60
&Ni-61    &1.175e-04  &0.000e+00  &28 &61
&Ni-62    &4.305e-04  &0.000e+00  &28 &62
&Ni-64    &2.703e-04  &0.000e+00  &28 &64
&Cu-63    &1.450e-04  &0.000e+00  &29 &63
&Cu-65    &1.697e-04  &0.000e+00  &29 &65
&Zn-64    &4.483e-05  &0.000e+00  &30 &64
&Zn-66    &2.027e-04  &0.000e+00  &30 &66
&Zn-67    &2.418e-05  &0.000e+00  &30 &67
&Zn-68    &1.914e-04  &0.000e+00  &30 &68
&Zn-70    &5.020e-05  &0.000e+00  &30 &70
&Ga-69    &3.276e-05  &0.000e+00  &31 &69
&Ga-71    &3.869e-05  &0.000e+00  &31 &71
&Ge-70    &4.121e-05  &0.000e+00  &32 &70
&Ge-72    &5.427e-05  &0.000e+00  &32 &72
&Ge-73    &8.763e-06  &0.000e+00  &32 &73
&Ge-74    &5.306e-05  &0.000e+00  &32 &74
&Ge-76    &2.415e-05  &0.000e+00  &32 &76
&As-75    &1.441e-05  &0.000e+00  &33 &75
&Se-74    &3.112e-06  &0.000e+00  &34 &74
&Se-76    &1.598e-05  &0.000e+00  &34 &76
&Se-77    &1.671e-05  &0.000e+00  &34 &77
&Se-78    &2.228e-05  &0.000e+00  &34 &78
&Se-80    &1.338e-05  &0.000e+00  &34 &80
&Se-82    &6.687e-06  &0.000e+00  &34 &82
&Br-79    &3.996e-06  &0.000e+00  &35 &79
&Br-81    &4.125e-06  &0.000e+00  &35 &81
&Kr-78    &1.840e-07  &0.000e+00  &36 &78
&Kr-80    &2.760e-06  &0.000e+00  &36 &80
&Kr-82    &8.853e-06  &0.000e+00  &36 &82
&Kr-83    &5.618e-06  &0.000e+00  &36 &83
&Kr-84    &1.535e-05  &0.000e+00  &36 &84
&Kr-86    &1.178e-05  &0.000e+00  &36 &86
&Rb-85    &5.287e-06  &0.000e+00  &37 &85
&Rb-87    &7.066e-06  &0.000e+00  &37 &87
&Sr-84    &3.516e-07  &0.000e+00  &38 &84
&Sr-86    &4.441e-06  &0.000e+00  &38 &86
&Sr-87    &2.319e-06  &0.000e+00  &38 &87
&Sr-88    &2.087e-05  &0.000e+00  &38 &88
&Y-89     &3.681e-06  &0.000e+00  &39 &89
&Zr-90    &2.542e-06  &0.000e+00  &40 &90
&Zr-91    &6.050e-07  &0.000e+00  &40 &91
&Zr-92    &5.391e-07  &0.000e+00  &40 &92
&Zr-94    &3.492e-07  &0.000e+00  &40 &94
&Zr-96    &1.359e-07  &0.000e+00  &40 &96
&Nb-93    &1.511e-07  &0.000e+00  &41 &93
&Mo-92    &2.159e-08  &0.000e+00  &42 &92
&Mo-94    &1.444e-08  &0.000e+00  &42 &94
&Mo-95    &7.050e-08  &0.000e+00  &42 &95
&Mo-96    &3.868e-08  &0.000e+00  &42 &96
&Mo-97    &1.349e-08  &0.000e+00  &42 &97
&Mo-98    &3.810e-08  &0.000e+00  &42 &98
&Xe-132   &9.354e-08  &0.000e+00  &54 &132
&Xe-134   &4.673e-08  &0.000e+00  &54 &134
&Cs-133   &2.331e-08  &0.000e+00  &55 &133
&Ba-134   &1.594e-08  &0.000e+00  &56 &134
&Ba-135   &2.484e-08  &0.000e+00  &56 &135
&Ba-136   &4.491e-08  &0.000e+00  &56 &136
&Ba-137   &5.291e-08  &0.000e+00  &56 &137
&Ba-138   &2.855e-07  &0.000e+00  &56 &138
&La-138   &1.524e-11  &0.000e+00  &57 &138
&La-139   &2.890e-08  &0.000e+00  &57 &139
&Ce-140   &6.132e-08  &0.000e+00  &58 &140
&Pr-141   &1.073e-08  &0.000e+00  &59 &141
&Nd-142   &1.578e-08  &0.000e+00  &60 &142
&Nd-143   &3.619e-09  &0.000e+00  &60 &143
&Nd-144   &8.036e-09  &0.000e+00  &60 &144
&Hg-202   &1.050e-08  &0.000e+00  &80 &202
&Hg-204   &2.610e-09  &0.000e+00  &80 &204
&Tl-203   &5.553e-09  &0.000e+00  &81 &203
&Tl-205   &1.166e-08  &0.000e+00  &81 &205
&Pb-204   &4.040e-09  &0.000e+00  &82 &204
&Pb-206   &2.810e-08  &0.000e+00  &82 &206
&Pb-207   &2.804e-08  &0.000e+00  &82 &207
&Pb-208   &7.401e-08  &0.000e+00  &82 &208
&Bi-209   &7.936e-09  &0.000e+00  &83 &209
H Table: (M=20.0,Z=0.01345)
H Lifetime: 1.183e+07
H Mfinal: 2.939e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &6.224e+00  &0.000e+00  &1  &1
&H-2      &2.483e-11  &0.000e+00  &1  &2
&He-3     &2.713e-04  &0.000e+00  &2  &3
&He-4     &6.360e+00  &0.000e+00  &2  &4
&Li-6     &1.169e-11  &0.000e+00  &3  &6
&Li-7     &2.629e-10  &0.000e+00  &3  &7
&Be-9     &7.671e-12  &0.000e+00  &4  &9
&B-10     &5.206e-11  &0.000e+00  &5  &10
&B-11     &3.402e-09  &0.000e+00  &5  &11
&C-12     &1.112e+00  &0.000e+00  &6  &12
&C-13     &2.275e-03  &0.000e+00  &6  &13
&N-14     &6.800e-02  &0.000e+00  &7  &14
&N-15     &9.101e-06  &0.000e+00  &7  &15
&O-16     &2.618e+00  &0.000e+00  &8  &16
&O-17     &7.257e-05  &0.000e+00  &8  &17
&O-18     &7.125e-05  &0.000e+00  &8  &18
&F-19     &1.141e-04  &0.000e+00  &9  &19
&Ne-20    &1.094e-01  &0.000e+00  &10 &20
&Ne-21    &6.424e-04  &0.000e+00  &10 &21
&Ne-22    &2.796e-02  &0.000e+00  &10 &22
&Na-23    &3.076e-03  &0.000e+00  &11 &23
&Mg-24    &3.670e-02  &0.000e+00  &12 &24
&Mg-25    &1.330e-02  &0.000e+00  &12 &25
&Mg-26    &1.180e-02  &0.000e+00  &12 &26
&Al-27    &4.446e-03  &0.000e+00  &13 &27
&Si-28    &2.197e-01  &0.000e+00  &14 &28
&Si-29    &5.840e-03  &0.000e+00  &14 &29
&Si-30    &6.834e-03  &0.000e+00  &14 &30
&P-31     &2.178e-03  &0.000e+00  &15 &31
&S-32     &8.628e-02  &0.000e+00  &16 &32
&S-33     &1.386e-03  &0.000e+00  &16 &33
&S-34     &9.926e-03  &0.000e+00  &16 &34
&S-36     &5.857e-06  &0.000e+00  &16 &36
&Cl-35    &8.019e-04  &0.000e+00  &17 &35
&Cl-37    &2.045e-04  &0.000e+00  &17 &37
&Ar-36    &1.236e-02  &0.000e+00  &18 &36
&Ar-38    &4.276e-03  &0.000e+00  &18 &38
&Ar-40    &3.699e-06  &0.000e+00  &18 &40
&K-39     &3.108e-04  &0.000e+00  &19 &39
&K-40     &2.970e-06  &0.000e+00  &19 &40
&K-41     &3.622e-05  &0.000e+00  &19 &41
&Ca-40    &8.849e-03  &0.000e+00  &20 &40
&Ca-42    &1.563e-04  &0.000e+00  &20 &42
&Ca-43    &1.275e-05  &0.000e+00  &20 &43
&Ca-44    &8.334e-05  &0.000e+00  &20 &44
&Ca-46    &7.258e-06  &0.000e+00  &20 &46
&Ca-48    &2.315e-06  &0.000e+00  &20 &48
&Sc-45    &1.301e-05  &0.000e+00  &21 &45
&Ti-46    &6.076e-05  &0.000e+00  &22 &46
&Ti-47    &1.133e-05  &0.000e+00  &22 &47
&Ti-48    &1.136e-04  &0.000e+00  &22 &48
