H CC SNe yields: Limongi & Chieffi (2018), Model R, V_rot = mix as in Prantzos et al. (2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74, Ge-76, As-75, Se-74, Se-76, Se-77, Se-78, Se-80, Se-82, Br-79, Br-81, Kr-78, Kr-80, Kr-82, Kr-83, Kr-84, Kr-86, Rb-85, Rb-87, Sr-84, Sr-86, Sr-87, Sr-88, Y-89, Zr-90, Zr-91, Zr-92, Zr-94, Zr-96, Nb-93, Mo-92, Mo-94, Mo-95, Mo-96, Mo-97, Mo-98, Xe-132, Xe-134, Cs-133, Ba-134, Ba-135, Ba-136, Ba-137, Ba-138, La-138, La-139, Ce-140, Pr-141, Nd-142, Nd-143, Nd-144, Hg-202, Hg-204, Tl-203, Tl-205, Pb-204, Pb-206, Pb-207, Pb-208, Bi-209
H Table: (M=13.0,Z=0.01345)
H Lifetime: 1.734e+07
H Mfinal: 1.776e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.667e+00  &0.000e+00  &1  &1
&H-2      &1.963e-06  &0.000e+00  &1  &2
&He-3     &3.198e-04  &0.000e+00  &2  &3
&He-4     &4.400e+00  &0.000e+00  &2  &4
&Li-6     &4.058e-11  &0.000e+00  &3  &6
&Li-7     &5.839e-10  &0.000e+00  &3  &7
&Be-9     &1.583e-11  &0.000e+00  &4  &9
&B-10     &1.733e-10  &0.000e+00  &5  &10
&B-11     &6.236e-09  &0.000e+00  &5  &11
&C-12     &2.025e-01  &0.000e+00  &6  &12
&C-13     &8.010e-04  &0.000e+00  &6  &13
&N-14     &3.543e-02  &0.000e+00  &7  &14
&N-15     &1.116e-05  &0.000e+00  &7  &15
&O-16     &6.053e-01  &0.000e+00  &8  &16
&O-17     &5.704e-05  &0.000e+00  &8  &17
&O-18     &2.752e-03  &0.000e+00  &8  &18
&F-19     &1.733e-05  &0.000e+00  &9  &19
&Ne-20    &3.786e-02  &0.000e+00  &10 &20
&Ne-21    &1.313e-04  &0.000e+00  &10 &21
&Ne-22    &1.277e-02  &0.000e+00  &10 &22
&Na-23    &1.203e-03  &0.000e+00  &11 &23
&Mg-24    &1.692e-02  &0.000e+00  &12 &24
&Mg-25    &2.581e-03  &0.000e+00  &12 &25
&Mg-26    &2.834e-03  &0.000e+00  &12 &26
&Al-27    &1.972e-03  &0.000e+00  &13 &27
&Si-28    &7.749e-02  &0.000e+00  &14 &28
&Si-29    &1.743e-03  &0.000e+00  &14 &29
&Si-30    &2.769e-03  &0.000e+00  &14 &30
&P-31     &6.000e-04  &0.000e+00  &15 &31
&S-32     &3.402e-02  &0.000e+00  &16 &32
&S-33     &3.138e-04  &0.000e+00  &16 &33
&S-34     &2.482e-03  &0.000e+00  &16 &34
&S-36     &1.981e-06  &0.000e+00  &16 &36
&Cl-35    &2.167e-04  &0.000e+00  &17 &35
&Cl-37    &5.904e-05  &0.000e+00  &17 &37
&Ar-36    &6.101e-03  &0.000e+00  &18 &36
&Ar-38    &1.172e-03  &0.000e+00  &18 &38
&Ar-40    &6.403e-07  &0.000e+00  &18 &40
&K-39     &1.110e-04  &0.000e+00  &19 &39
&K-40     &7.679e-07  &0.000e+00  &19 &40
&K-41     &1.263e-05  &0.000e+00  &19 &41
&Ca-40    &5.451e-03  &0.000e+00  &20 &40
&Ca-42    &4.334e-05  &0.000e+00  &20 &42
&Ca-43    &2.695e-06  &0.000e+00  &20 &43
&Ca-44    &4.761e-05  &0.000e+00  &20 &44
&Ca-46    &6.283e-07  &0.000e+00  &20 &46
&Ca-48    &1.573e-06  &0.000e+00  &20 &48
&Sc-45    &2.141e-06  &0.000e+00  &21 &45
&Ti-46    &2.021e-05  &0.000e+00  &22 &46
&Ti-47    &4.323e-06  &0.000e+00  &22 &47
&Ti-48    &1.055e-04  &0.000e+00  &22 &48
&Ti-49    &7.392e-06  &0.000e+00  &22 &49
&Ti-50    &4.305e-06  &0.000e+00  &22 &50
&V-50     &1.774e-07  &0.000e+00  &23 &50
&V-51     &1.427e-05  &0.000e+00  &23 &51
&Cr-50    &5.414e-05  &0.000e+00  &24 &50
&Cr-52    &7.908e-04  &0.000e+00  &24 &52
&Cr-53    &9.073e-05  &0.000e+00  &24 &53
&Cr-54    &8.347e-06  &0.000e+00  &24 &54
&Mn-55    &5.031e-04  &0.000e+00  &25 &55
&Fe-54    &3.780e-03  &0.000e+00  &26 &54
&Fe-56    &8.262e-02  &0.000e+00  &26 &56
&Fe-57    &3.107e-03  &0.000e+00  &26 &57
&Fe-58    &2.053e-04  &0.000e+00  &26 &58
&Co-59    &2.789e-04  &0.000e+00  &27 &59
&Ni-58    &5.241e-03  &0.000e+00  &28 &58
&Ni-60    &1.716e-03  &0.000e+00  &28 &60
&Ni-61    &1.279e-04  &0.000e+00  &28 &61
&Ni-62    &7.656e-04  &0.000e+00  &28 &62
&Ni-64    &6.187e-05  &0.000e+00  &28 &64
&Cu-63    &3.701e-05  &0.000e+00  &29 &63
&Cu-65    &3.701e-05  &0.000e+00  &29 &65
&Zn-64    &2.410e-05  &0.000e+00  &30 &64
&Zn-66    &5.447e-05  &0.000e+00  &30 &66
&Zn-67    &4.271e-06  &0.000e+00  &30 &67
&Zn-68    &2.439e-05  &0.000e+00  &30 &68
&Zn-70    &5.542e-06  &0.000e+00  &30 &70
&Ga-69    &4.232e-06  &0.000e+00  &31 &69
&Ga-71    &4.618e-06  &0.000e+00  &31 &71
&Ge-70    &5.900e-06  &0.000e+00  &32 &70
&Ge-72    &6.644e-06  &0.000e+00  &32 &72
&Ge-73    &1.187e-06  &0.000e+00  &32 &73
&Ge-74    &5.667e-06  &0.000e+00  &32 &74
&Ge-76    &1.238e-06  &0.000e+00  &32 &76
&As-75    &1.323e-06  &0.000e+00  &33 &75
&Se-74    &3.782e-07  &0.000e+00  &34 &74
&Se-76    &1.674e-06  &0.000e+00  &34 &76
&Se-77    &1.179e-06  &0.000e+00  &34 &77
&Se-78    &2.452e-06  &0.000e+00  &34 &78
&Se-80    &1.751e-06  &0.000e+00  &34 &80
&Se-82    &4.079e-07  &0.000e+00  &34 &82
&Br-79    &5.054e-07  &0.000e+00  &35 &79
&Br-81    &4.353e-07  &0.000e+00  &35 &81
&Kr-78    &2.670e-08  &0.000e+00  &36 &78
&Kr-80    &2.846e-07  &0.000e+00  &36 &80
&Kr-82    &8.673e-07  &0.000e+00  &36 &82
&Kr-83    &5.066e-07  &0.000e+00  &36 &83
&Kr-84    &1.909e-06  &0.000e+00  &36 &84
&Kr-86    &8.547e-07  &0.000e+00  &36 &86
&Rb-85    &5.860e-07  &0.000e+00  &37 &85
&Rb-87    &3.696e-07  &0.000e+00  &37 &87
&Sr-84    &2.573e-08  &0.000e+00  &38 &84
&Sr-86    &3.948e-07  &0.000e+00  &38 &86
&Sr-87    &2.314e-07  &0.000e+00  &38 &87
&Sr-88    &1.746e-06  &0.000e+00  &38 &88
&Y-89     &3.533e-07  &0.000e+00  &39 &89
&Zr-90    &3.199e-07  &0.000e+00  &40 &90
&Zr-91    &7.025e-08  &0.000e+00  &40 &91
&Zr-92    &8.180e-08  &0.000e+00  &40 &92
&Zr-94    &6.970e-08  &0.000e+00  &40 &94
&Zr-96    &1.031e-08  &0.000e+00  &40 &96
&Nb-93    &2.969e-08  &0.000e+00  &41 &93
&Mo-92    &1.076e-08  &0.000e+00  &42 &92
&Mo-94    &6.671e-09  &0.000e+00  &42 &94
&Mo-95    &1.270e-08  &0.000e+00  &42 &95
&Mo-96    &2.009e-08  &0.000e+00  &42 &96
&Mo-97    &6.423e-09  &0.000e+00  &42 &97
&Mo-98    &1.689e-08  &0.000e+00  &42 &98
&Xe-132   &5.185e-08  &0.000e+00  &54 &132
&Xe-134   &1.912e-08  &0.000e+00  &54 &134
&Cs-133   &1.301e-08  &0.000e+00  &55 &133
&Ba-134   &6.386e-09  &0.000e+00  &56 &134
&Ba-135   &1.161e-08  &0.000e+00  &56 &135
&Ba-136   &1.778e-08  &0.000e+00  &56 &136
&Ba-137   &2.147e-08  &0.000e+00  &56 &137
&Ba-138   &1.393e-07  &0.000e+00  &56 &138
&La-138   &1.293e-11  &0.000e+00  &57 &138
&La-139   &1.581e-08  &0.000e+00  &57 &139
&Ce-140   &4.033e-08  &0.000e+00  &58 &140
&Pr-141   &6.185e-09  &0.000e+00  &59 &141
&Nd-142   &9.686e-09  &0.000e+00  &60 &142
&Nd-143   &3.412e-09  &0.000e+00  &60 &143
&Nd-144   &7.180e-09  &0.000e+00  &60 &144
&Hg-202   &7.621e-09  &0.000e+00  &80 &202
&Hg-204   &1.780e-09  &0.000e+00  &80 &204
&Tl-203   &3.977e-09  &0.000e+00  &81 &203
&Tl-205   &9.334e-09  &0.000e+00  &81 &205
&Pb-204   &2.521e-09  &0.000e+00  &82 &204
&Pb-206   &1.872e-08  &0.000e+00  &82 &206
&Pb-207   &2.016e-08  &0.000e+00  &82 &207
&Pb-208   &5.750e-08  &0.000e+00  &82 &208
&Bi-209   &7.379e-09  &0.000e+00  &83 &209
H Table: (M=15.0,Z=0.01345)
H Lifetime: 1.412e+07
H Mfinal: 1.912e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &6.283e+00  &0.000e+00  &1  &1
&H-2      &2.439e-06  &0.000e+00  &1  &2
&He-3     &3.417e-04  &0.000e+00  &2  &3
&He-4     &4.906e+00  &0.000e+00  &2  &4
&Li-6     &5.093e-11  &0.000e+00  &3  &6
&Li-7     &7.389e-10  &0.000e+00  &3  &7
&Be-9     &1.838e-11  &0.000e+00  &4  &9
&B-10     &1.948e-10  &0.000e+00  &5  &10
&B-11     &6.954e-09  &0.000e+00  &5  &11
&C-12     &2.727e-01  &0.000e+00  &6  &12
&C-13     &7.952e-04  &0.000e+00  &6  &13
&N-14     &3.876e-02  &0.000e+00  &7  &14
&N-15     &1.288e-05  &0.000e+00  &7  &15
&O-16     &1.032e+00  &0.000e+00  &8  &16
&O-17     &5.425e-05  &0.000e+00  &8  &17
&O-18     &2.260e-03  &0.000e+00  &8  &18
&F-19     &2.100e-04  &0.000e+00  &9  &19
&Ne-20    &1.070e-01  &0.000e+00  &10 &20
&Ne-21    &2.630e-04  &0.000e+00  &10 &21
&Ne-22    &1.907e-02  &0.000e+00  &10 &22
&Na-23    &2.253e-03  &0.000e+00  &11 &23
&Mg-24    &3.140e-02  &0.000e+00  &12 &24
&Mg-25    &7.148e-03  &0.000e+00  &12 &25
&Mg-26    &6.279e-03  &0.000e+00  &12 &26
&Al-27    &3.717e-03  &0.000e+00  &13 &27
&Si-28    &1.099e-01  &0.000e+00  &14 &28
&Si-29    &2.761e-03  &0.000e+00  &14 &29
&Si-30    &4.014e-03  &0.000e+00  &14 &30
&P-31     &9.245e-04  &0.000e+00  &15 &31
&S-32     &4.511e-02  &0.000e+00  &16 &32
&S-33     &4.852e-04  &0.000e+00  &16 &33
&S-34     &3.822e-03  &0.000e+00  &16 &34
&S-36     &3.137e-06  &0.000e+00  &16 &36
&Cl-35    &3.047e-04  &0.000e+00  &17 &35
&Cl-37    &9.096e-05  &0.000e+00  &17 &37
&Ar-36    &7.262e-03  &0.000e+00  &18 &36
&Ar-38    &1.903e-03  &0.000e+00  &18 &38
&Ar-40    &9.787e-07  &0.000e+00  &18 &40
&K-39     &1.695e-04  &0.000e+00  &19 &39
&K-40     &1.620e-06  &0.000e+00  &19 &40
&K-41     &1.865e-05  &0.000e+00  &19 &41
&Ca-40    &5.840e-03  &0.000e+00  &20 &40
&Ca-42    &7.443e-05  &0.000e+00  &20 &42
&Ca-43    &4.924e-06  &0.000e+00  &20 &43
&Ca-44    &4.313e-05  &0.000e+00  &20 &44
&Ca-46    &9.758e-07  &0.000e+00  &20 &46
&Ca-48    &1.769e-06  &0.000e+00  &20 &48
&Sc-45    &4.152e-06  &0.000e+00  &21 &45
&Ti-46    &4.170e-05  &0.000e+00  &22 &46
&Ti-47    &5.819e-06  &0.000e+00  &22 &47
&Ti-48    &8.219e-05  &0.000e+00  &22 &48
&Ti-49    &1.132e-05  &0.000e+00  &22 &49
&Ti-50    &8.803e-06  &0.000e+00  &22 &50
&V-50     &2.845e-07  &0.000e+00  &23 &50
&V-51     &6.513e-05  &0.000e+00  &23 &51
&Cr-50    &1.315e-03  &0.000e+00  &24 &50
&Cr-52    &1.850e-03  &0.000e+00  &24 &52
&Cr-53    &7.549e-04  &0.000e+00  &24 &53
&Cr-54    &1.466e-05  &0.000e+00  &24 &54
&Mn-55    &3.532e-03  &0.000e+00  &25 &55
&Fe-54    &9.458e-02  &0.000e+00  &26 &54
&Fe-56    &7.082e-02  &0.000e+00  &26 &56
&Fe-57    &2.936e-03  &0.000e+00  &26 &57
&Fe-58    &4.158e-04  &0.000e+00  &26 &58
&Co-59    &3.708e-04  &0.000e+00  &27 &59
&Ni-58    &1.243e-02  &0.000e+00  &28 &58
&Ni-60    &1.421e-03  &0.000e+00  &28 &60
&Ni-61    &1.103e-04  &0.000e+00  &28 &61
&Ni-62    &6.047e-04  &0.000e+00  &28 &62
&Ni-64    &1.092e-04  &0.000e+00  &28 &64
&Cu-63    &6.821e-05  &0.000e+00  &29 &63
&Cu-65    &6.790e-05  &0.000e+00  &29 &65
&Zn-64    &2.954e-05  &0.000e+00  &30 &64
&Zn-66    &8.848e-05  &0.000e+00  &30 &66
&Zn-67    &9.938e-06  &0.000e+00  &30 &67
&Zn-68    &7.219e-05  &0.000e+00  &30 &68
&Zn-70    &1.613e-05  &0.000e+00  &30 &70
&Ga-69    &1.223e-05  &0.000e+00  &31 &69
&Ga-71    &1.353e-05  &0.000e+00  &31 &71
&Ge-70    &1.552e-05  &0.000e+00  &32 &70
&Ge-72    &1.970e-05  &0.000e+00  &32 &72
&Ge-73    &3.350e-06  &0.000e+00  &32 &73
&Ge-74    &1.964e-05  &0.000e+00  &32 &74
&Ge-76    &7.899e-06  &0.000e+00  &32 &76
&As-75    &5.147e-06  &0.000e+00  &33 &75
&Se-74    &1.120e-06  &0.000e+00  &34 &74
&Se-76    &5.710e-06  &0.000e+00  &34 &76
&Se-77    &5.660e-06  &0.000e+00  &34 &77
&Se-78    &8.125e-06  &0.000e+00  &34 &78
&Se-80    &5.404e-06  &0.000e+00  &34 &80
&Se-82    &2.262e-06  &0.000e+00  &34 &82
&Br-79    &1.531e-06  &0.000e+00  &35 &79
&Br-81    &1.552e-06  &0.000e+00  &35 &81
&Kr-78    &6.875e-08  &0.000e+00  &36 &78
&Kr-80    &9.784e-07  &0.000e+00  &36 &80
&Kr-82    &3.247e-06  &0.000e+00  &36 &82
&Kr-83    &2.057e-06  &0.000e+00  &36 &83
&Kr-84    &6.079e-06  &0.000e+00  &36 &84
&Kr-86    &4.358e-06  &0.000e+00  &36 &86
&Rb-85    &2.055e-06  &0.000e+00  &37 &85
&Rb-87    &2.541e-06  &0.000e+00  &37 &87
&Sr-84    &1.288e-07  &0.000e+00  &38 &84
&Sr-86    &1.635e-06  &0.000e+00  &38 &86
&Sr-87    &8.653e-07  &0.000e+00  &38 &87
&Sr-88    &7.955e-06  &0.000e+00  &38 &88
&Y-89     &1.462e-06  &0.000e+00  &39 &89
&Zr-90    &1.060e-06  &0.000e+00  &40 &90
&Zr-91    &2.517e-07  &0.000e+00  &40 &91
&Zr-92    &2.567e-07  &0.000e+00  &40 &92
&Zr-94    &1.784e-07  &0.000e+00  &40 &94
&Zr-96    &5.374e-08  &0.000e+00  &40 &96
&Nb-93    &7.764e-08  &0.000e+00  &41 &93
&Mo-92    &1.479e-08  &0.000e+00  &42 &92
&Mo-94    &1.040e-08  &0.000e+00  &42 &94
&Mo-95    &3.614e-08  &0.000e+00  &42 &95
&Mo-96    &2.820e-08  &0.000e+00  &42 &96
&Mo-97    &9.597e-09  &0.000e+00  &42 &97
&Mo-98    &2.641e-08  &0.000e+00  &42 &98
&Xe-132   &7.350e-08  &0.000e+00  &54 &132
&Xe-134   &3.178e-08  &0.000e+00  &54 &134
&Cs-133   &1.857e-08  &0.000e+00  &55 &133
&Ba-134   &1.027e-08  &0.000e+00  &56 &134
&Ba-135   &1.689e-08  &0.000e+00  &56 &135
&Ba-136   &2.919e-08  &0.000e+00  &56 &136
&Ba-137   &3.598e-08  &0.000e+00  &56 &137
&Ba-138   &2.061e-07  &0.000e+00  &56 &138
&La-138   &1.532e-11  &0.000e+00  &57 &138
&La-139   &2.234e-08  &0.000e+00  &57 &139
&Ce-140   &5.200e-08  &0.000e+00  &58 &140
&Pr-141   &8.459e-09  &0.000e+00  &59 &141
&Nd-142   &1.281e-08  &0.000e+00  &60 &142
&Nd-143   &3.903e-09  &0.000e+00  &60 &143
&Nd-144   &8.369e-09  &0.000e+00  &60 &144
&Hg-202   &9.388e-09  &0.000e+00  &80 &202
&Hg-204   &2.110e-09  &0.000e+00  &80 &204
&Tl-203   &4.978e-09  &0.000e+00  &81 &203
&Tl-205   &1.122e-08  &0.000e+00  &81 &205
&Pb-204   &3.224e-09  &0.000e+00  &82 &204
&Pb-206   &2.394e-08  &0.000e+00  &82 &206
&Pb-207   &2.503e-08  &0.000e+00  &82 &207
&Pb-208   &6.927e-08  &0.000e+00  &82 &208
&Bi-209   &8.510e-09  &0.000e+00  &83 &209
H Table: (M=20.0,Z=0.01345)
H Lifetime: 9.822e+06
H Mfinal: 2.097e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &7.769e+00  &0.000e+00  &1  &1
&H-2      &3.915e-06  &0.000e+00  &1  &2
&He-3     &4.013e-04  &0.000e+00  &2  &3
&He-4     &6.892e+00  &0.000e+00  &2  &4
&Li-6     &8.343e-11  &0.000e+00  &3  &6
&Li-7     &1.282e-09  &0.000e+00  &3  &7
&Be-9     &4.388e-11  &0.000e+00  &4  &9
&B-10     &2.730e-10  &0.000e+00  &5  &10
&B-11     &8.593e-09  &0.000e+00  &5  &11
&C-12     &6.431e-01  &0.000e+00  &6  &12
&C-13     &1.484e-03  &0.000e+00  &6  &13
&N-14     &5.316e-02  &0.000e+00  &7  &14
&N-15     &1.231e-05  &0.000e+00  &7  &15
&O-16     &1.715e+00  &0.000e+00  &8  &16
&O-17     &5.665e-05  &0.000e+00  &8  &17
&O-18     &4.235e-03  &0.000e+00  &8  &18
&F-19     &4.217e-05  &0.000e+00  &9  &19
&Ne-20    &2.953e-01  &0.000e+00  &10 &20
&Ne-21    &4.270e-04  &0.000e+00  &10 &21
&Ne-22    &3.087e-02  &0.000e+00  &10 &22
&Na-23    &5.443e-03  &0.000e+00  &11 &23
&Mg-24    &8.437e-02  &0.000e+00  &12 &24
&Mg-25    &1.209e-02  &0.000e+00  &12 &25
&Mg-26    &1.116e-02  &0.000e+00  &12 &26
&Al-27    &9.513e-03  &0.000e+00  &13 &27
&Si-28    &1.652e-01  &0.000e+00  &14 &28
&Si-29    &5.678e-03  &0.000e+00  &14 &29
&Si-30    &7.104e-03  &0.000e+00  &14 &30
&P-31     &1.598e-03  &0.000e+00  &15 &31
&S-32     &5.827e-02  &0.000e+00  &16 &32
&S-33     &7.805e-04  &0.000e+00  &16 &33
&S-34     &5.542e-03  &0.000e+00  &16 &34
&S-36     &5.100e-06  &0.000e+00  &16 &36
&Cl-35    &4.633e-04  &0.000e+00  &17 &35
&Cl-37    &1.341e-04  &0.000e+00  &17 &37
&Ar-36    &8.954e-03  &0.000e+00  &18 &36
&Ar-38    &2.296e-03  &0.000e+00  &18 &38
&Ar-40    &2.004e-06  &0.000e+00  &18 &40
&K-39     &1.893e-04  &0.000e+00  &19 &39
&K-40     &1.948e-06  &0.000e+00  &19 &40
&K-41     &2.309e-05  &0.000e+00  &19 &41
&Ca-40    &7.219e-03  &0.000e+00  &20 &40
&Ca-42    &8.777e-05  &0.000e+00  &20 &42
&Ca-43    &9.184e-06  &0.000e+00  &20 &43
&Ca-44    &7.141e-05  &0.000e+00  &20 &44
&Ca-46    &2.632e-06  &0.000e+00  &20 &46
&Ca-48    &2.454e-06  &0.000e+00  &20 &48
&Sc-45    &7.368e-06  &0.000e+00  &21 &45
&Ti-46    &3.693e-05  &0.000e+00  &22 &46
&Ti-47    &8.521e-06  &0.000e+00  &22 &47
&Ti-48    &1.195e-04  &0.000e+00  &22 &48
