H CC SNe yields: Nomoto et al. (2013), 0% HNe
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74
H Table: (M=13.0,Z=0.05)
H Lifetime: 1.707e+07
H Mfinal: 2.235e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.119e+00  &0.000e+00  &1  &1
&H-2      &1.510e-14  &0.000e+00  &1  &2
&He-3     &2.820e-04  &0.000e+00  &2  &3
&He-4     &4.693e+00  &0.000e+00  &2  &4
&Li-6     &4.518e-17  &0.000e+00  &3  &6
&Li-7     &3.896e-12  &0.000e+00  &3  &7
&Be-9     &2.099e-18  &0.000e+00  &4  &9
&B-10     &3.228e-10  &0.000e+00  &5  &10
&B-11     &1.370e-09  &0.000e+00  &5  &11
&C-12     &1.152e-01  &0.000e+00  &6  &12
&C-13     &2.538e-03  &0.000e+00  &6  &13
&N-14     &1.051e-01  &0.000e+00  &7  &14
&N-15     &1.007e-04  &0.000e+00  &7  &15
&O-16     &3.559e-01  &0.000e+00  &8  &16
&O-17     &3.265e-03  &0.000e+00  &8  &17
&O-18     &1.303e-02  &0.000e+00  &8  &18
&F-19     &3.311e-05  &0.000e+00  &9  &19
&Ne-20    &5.160e-02  &0.000e+00  &10 &20
&Ne-21    &4.939e-04  &0.000e+00  &10 &21
&Ne-22    &9.170e-03  &0.000e+00  &10 &22
&Na-23    &1.923e-03  &0.000e+00  &11 &23
&Mg-24    &3.215e-02  &0.000e+00  &12 &24
&Mg-25    &4.070e-03  &0.000e+00  &12 &25
&Mg-26    &4.491e-03  &0.000e+00  &12 &26
&Al-27    &3.486e-03  &0.000e+00  &13 &27
&Si-28    &7.367e-02  &0.000e+00  &14 &28
&Si-29    &4.608e-03  &0.000e+00  &14 &29
&Si-30    &5.071e-03  &0.000e+00  &14 &30
&P-31     &1.042e-03  &0.000e+00  &15 &31
&S-32     &3.485e-02  &0.000e+00  &16 &32
&S-33     &2.794e-04  &0.000e+00  &16 &33
&S-34     &2.297e-03  &0.000e+00  &16 &34
&S-36     &2.340e-05  &0.000e+00  &16 &36
&Cl-35    &1.634e-04  &0.000e+00  &17 &35
&Cl-37    &6.899e-05  &0.000e+00  &17 &37
&Ar-36    &5.803e-03  &0.000e+00  &18 &36
&Ar-38    &1.175e-03  &0.000e+00  &18 &38
&Ar-40    &3.725e-06  &0.000e+00  &18 &40
&K-39     &1.113e-04  &0.000e+00  &19 &39
&K-40     &3.699e-07  &0.000e+00  &19 &40
&K-41     &1.283e-05  &0.000e+00  &19 &41
&Ca-40    &4.760e-03  &0.000e+00  &20 &40
&Ca-42    &3.161e-05  &0.000e+00  &20 &42
&Ca-43    &3.552e-06  &0.000e+00  &20 &43
&Ca-44    &6.618e-05  &0.000e+00  &20 &44
&Ca-46    &9.114e-07  &0.000e+00  &20 &46
&Ca-48    &3.819e-06  &0.000e+00  &20 &48
&Sc-45    &1.945e-06  &0.000e+00  &21 &45
&Ti-46    &1.543e-05  &0.000e+00  &22 &46
&Ti-47    &9.140e-06  &0.000e+00  &22 &47
&Ti-48    &1.364e-04  &0.000e+00  &22 &48
&Ti-49    &7.816e-06  &0.000e+00  &22 &49
&Ti-50    &5.966e-06  &0.000e+00  &22 &50
&V-50     &4.549e-08  &0.000e+00  &23 &50
&V-51     &2.029e-05  &0.000e+00  &23 &51
&Cr-50    &3.723e-05  &0.000e+00  &24 &50
&Cr-52    &1.174e-03  &0.000e+00  &24 &52
&Cr-53    &9.924e-05  &0.000e+00  &24 &53
&Cr-54    &1.628e-05  &0.000e+00  &24 &54
&Mn-55    &5.130e-04  &0.000e+00  &25 &55
&Fe-54    &2.738e-03  &0.000e+00  &26 &54
&Fe-56    &1.016e-01  &0.000e+00  &26 &56
&Fe-57    &2.556e-03  &0.000e+00  &26 &57
&Fe-58    &3.228e-04  &0.000e+00  &26 &58
&Co-59    &2.605e-04  &0.000e+00  &27 &59
&Ni-58    &2.757e-03  &0.000e+00  &28 &58
&Ni-60    &2.755e-03  &0.000e+00  &28 &60
&Ni-61    &1.149e-04  &0.000e+00  &28 &61
&Ni-62    &4.177e-04  &0.000e+00  &28 &62
&Ni-64    &1.100e-04  &0.000e+00  &28 &64
&Cu-63    &3.383e-05  &0.000e+00  &29 &63
&Cu-65    &2.097e-05  &0.000e+00  &29 &65
&Zn-64    &1.030e-04  &0.000e+00  &30 &64
&Zn-66    &4.185e-05  &0.000e+00  &30 &66
&Zn-67    &4.677e-06  &0.000e+00  &30 &67
&Zn-68    &3.936e-05  &0.000e+00  &30 &68
&Zn-70    &5.481e-06  &0.000e+00  &30 &70
&Ga-69    &3.134e-06  &0.000e+00  &31 &69
&Ga-71    &6.432e-06  &0.000e+00  &31 &71
&Ge-70    &3.510e-06  &0.000e+00  &32 &70
&Ge-72    &6.073e-06  &0.000e+00  &32 &72
&Ge-73    &1.703e-06  &0.000e+00  &32 &73
&Ge-74    &1.970e-05  &0.000e+00  &32 &74
H Table: (M=15.0,Z=0.05)
H Lifetime: 1.385e+07
H Mfinal: 2.555e+00
&Isotopes &Yields     &X0         &Z &A
&H-1      &5.669e+00  &0.000e+00  &1  &1
&H-2      &3.240e-14  &0.000e+00  &1  &2
&He-3     &6.101e-05  &0.000e+00  &2  &3
&He-4     &5.229e+00  &0.000e+00  &2  &4
&Li-6     &1.094e-16  &0.000e+00  &3  &6
&Li-7     &1.173e-08  &0.000e+00  &3  &7
&Be-9     &1.033e-15  &0.000e+00  &4  &9
&B-10     &2.319e-10  &0.000e+00  &5  &10
&B-11     &9.999e-10  &0.000e+00  &5  &11
&C-12     &9.238e-02  &0.000e+00  &6  &12
&C-13     &8.829e-04  &0.000e+00  &6  &13
&N-14     &1.593e-01  &0.000e+00  &7  &14
&N-15     &2.974e-05  &0.000e+00  &7  &15
&O-16     &7.272e-01  &0.000e+00  &8  &16
&O-17     &3.833e-03  &0.000e+00  &8  &17
&O-18     &1.373e-02  &0.000e+00  &8  &18
&F-19     &1.263e-05  &0.000e+00  &9  &19
&Ne-20    &9.012e-02  &0.000e+00  &10 &20
&Ne-21    &7.964e-04  &0.000e+00  &10 &21
&Ne-22    &1.025e-02  &0.000e+00  &10 &22
&Na-23    &2.475e-03  &0.000e+00  &11 &23
&Mg-24    &8.109e-02  &0.000e+00  &12 &24
&Mg-25    &9.634e-03  &0.000e+00  &12 &25
&Mg-26    &9.530e-03  &0.000e+00  &12 &26
&Al-27    &1.155e-02  &0.000e+00  &13 &27
&Si-28    &1.188e-01  &0.000e+00  &14 &28
&Si-29    &1.381e-02  &0.000e+00  &14 &29
&Si-30    &1.221e-02  &0.000e+00  &14 &30
&P-31     &2.730e-03  &0.000e+00  &15 &31
&S-32     &4.268e-02  &0.000e+00  &16 &32
&S-33     &4.072e-04  &0.000e+00  &16 &33
&S-34     &3.827e-03  &0.000e+00  &16 &34
&S-36     &3.249e-05  &0.000e+00  &16 &36
&Cl-35    &2.489e-04  &0.000e+00  &17 &35
&Cl-37    &1.066e-04  &0.000e+00  &17 &37
&Ar-36    &6.353e-03  &0.000e+00  &18 &36
&Ar-38    &1.485e-03  &0.000e+00  &18 &38
&Ar-40    &5.988e-06  &0.000e+00  &18 &40
&K-39     &1.367e-04  &0.000e+00  &19 &39
&K-40     &3.873e-07  &0.000e+00  &19 &40
&K-41     &1.827e-05  &0.000e+00  &19 &41
&Ca-40    &5.133e-03  &0.000e+00  &20 &40
&Ca-42    &3.525e-05  &0.000e+00  &20 &42
&Ca-43    &4.764e-06  &0.000e+00  &20 &43
&Ca-44    &7.498e-05  &0.000e+00  &20 &44
&Ca-46    &2.320e-06  &0.000e+00  &20 &46
&Ca-48    &4.416e-06  &0.000e+00  &20 &48
&Sc-45    &3.657e-06  &0.000e+00  &21 &45
&Ti-46    &1.386e-05  &0.000e+00  &22 &46
&Ti-47    &8.711e-06  &0.000e+00  &22 &47
&Ti-48    &1.541e-04  &0.000e+00  &22 &48
&Ti-49    &9.818e-06  &0.000e+00  &22 &49
&Ti-50    &1.018e-05  &0.000e+00  &22 &50
&V-50     &7.699e-08  &0.000e+00  &23 &50
&V-51     &2.055e-05  &0.000e+00  &23 &51
&Cr-50    &8.097e-05  &0.000e+00  &24 &50
&Cr-52    &1.500e-03  &0.000e+00  &24 &52
&Cr-53    &1.562e-04  &0.000e+00  &24 &53
&Cr-54    &2.614e-05  &0.000e+00  &24 &54
&Mn-55    &8.375e-04  &0.000e+00  &25 &55
&Fe-54    &6.223e-03  &0.000e+00  &26 &54
&Fe-56    &1.053e-01  &0.000e+00  &26 &56
&Fe-57    &2.889e-03  &0.000e+00  &26 &57
&Fe-58    &7.785e-04  &0.000e+00  &26 &58
&Co-59    &2.972e-04  &0.000e+00  &27 &59
&Ni-58    &3.519e-03  &0.000e+00  &28 &58
&Ni-60    &2.548e-03  &0.000e+00  &28 &60
&Ni-61    &2.196e-04  &0.000e+00  &28 &61
&Ni-62    &7.200e-04  &0.000e+00  &28 &62
&Ni-64    &4.472e-04  &0.000e+00  &28 &64
&Cu-63    &1.116e-04  &0.000e+00  &29 &63
&Cu-65    &3.746e-05  &0.000e+00  &29 &65
&Zn-64    &5.358e-05  &0.000e+00  &30 &64
&Zn-66    &7.899e-05  &0.000e+00  &30 &66
&Zn-67    &1.005e-05  &0.000e+00  &30 &67
&Zn-68    &1.329e-04  &0.000e+00  &30 &68
&Zn-70    &2.054e-05  &0.000e+00  &30 &70
&Ga-69    &5.230e-06  &0.000e+00  &31 &69
&Ga-71    &2.204e-05  &0.000e+00  &31 &71
&Ge-70    &6.320e-06  &0.000e+00  &32 &70
&Ge-72    &1.691e-05  &0.000e+00  &32 &72
