H Mass fractions of material from MHD Jets
H delayed explosion, Nishimura et al. 2015
H Metallicity header is dummy argument
&Isotopes &Z=0.02
&H-1      &1.7811999664E-03
&H-2      &2.0546145213E-08
&He-3     &1.6869515021E-06
&He-4     &7.4946430807E-02
&Li-6     &5.7005219538E-14
&Li-7     &3.1655542929E-14
&Be-9     &3.3013464881E-17
&B-10     &8.7940797808E-15
&B-11     &2.3428704091E-10
&C-12     &1.5948532310E-05
&C-13     &8.5011834763E-09
&N-14     &2.0950281508E-07
&N-15     &5.3721724653E-07
&O-16     &3.3154277527E-06
&O-17     &3.7264746681E-06
&O-18     &1.6099645881E-05
&F-19     &9.3009252997E-06
&Ne-20    &4.0235613490E-06
&Ne-21    &1.4641414920E-06
&Ne-22    &3.3130175363E-05
&Na-23    &4.8853187419E-07
&Mg-24    &3.4992842646E-07
&Mg-25    &7.1873554837E-07
&Mg-26    &8.3723119026E-06
&Al-27    &7.2456207164E-07
&Si-28    &5.3295286356E-06
&Si-29    &2.8940799122E-06
&Si-30    &3.1112994203E-05
&P-31     &4.0376226118E-06
&S-32     &1.3695629980E-05
&S-33     &1.3401203538E-06
&S-34     &7.4284171331E-05
&S-36     &1.2199095579E-07
&Cl-35    &1.8840091995E-05
&Cl-37    &4.5285066972E-06
&Ar-36    &2.7623880852E-05
&Ar-38    &1.5096455786E-05
&Ar-40    &3.9697065123E-07
&K-39     &1.8729882098E-05
&K-40     &3.0766363073E-09
&K-41     &1.7831201389E-06
&Ca-40    &5.4420787435E-04
&Ca-42    &4.3938146007E-06
&Ca-43    &5.3479902936E-06
&Ca-44    &1.8619772209E-04
&Ca-46    &6.8614262126E-07
&Ca-48    &1.1941472443E-02
&Sc-45    &7.2497110838E-06
&Ti-46    &1.4436896552E-05
&Ti-47    &1.7810899566E-05
&Ti-48    &3.3838538980E-04
&Ti-49    &7.0753354234E-04
&Ti-50    &2.0972183475E-03
&V-50     &4.1021784094E-10
&V-51     &1.0819771705E-03
&Cr-50    &1.1033890934E-04
&Cr-52    &4.8551560330E-03
&Cr-53    &2.9148417768E-03
&Cr-54    &2.9374138040E-03
&Mn-55    &4.3859338930E-04
&Fe-54    &2.1768755014E-03
&Fe-56    &4.0539440776E-01
&Fe-57    &9.9674951632E-03
&Fe-58    &3.5258566510E-03
&Co-59    &5.1737746476E-03
&Ni-58    &2.8856391542E-02
&Ni-60    &2.5447885430E-02
&Ni-61    &8.9959679120E-04
&Ni-62    &1.0863475630E-02
&Ni-64    &6.7344848122E-03
&Cu-63    &8.1893454707E-04
&Cu-65    &1.4431396058E-03
&Zn-64    &6.3726123131E-03
&Zn-66    &1.6516883352E-02
&Zn-67    &1.1067993997E-03
&Zn-68    &1.2751245167E-02
&Zn-70    &2.4519902089E-03
&Ga-69    &1.2005878227E-03
&Ga-71    &2.3291491768E-03
&Ge-70    &1.0851374543E-04
&Ge-72    &6.8880286017E-03
&Ge-73    &5.4899530430E-03
&Ge-74    &6.7975404751E-03
&Ge-76    &1.2262801301E-02
&As-75    &6.3028360466E-03
&Se-74    &9.5344862754E-06
&Se-76    &8.3616509451E-06
&Se-77    &5.0109300228E-03
&Se-78    &8.2269288460E-02
&Se-80    &5.0583542819E-02
&Se-82    &5.4317178130E-03
&Br-79    &1.4441196938E-02
&Br-81    &3.5546092332E-02
&Kr-78    &1.5206565675E-06
&Kr-80    &2.4520702161E-06
&Kr-82    &8.7688075112E-07
&Kr-83    &3.5136055507E-03
&Kr-84    &1.2275102405E-02
&Kr-86    &6.0114398768E-03
&Rb-85    &7.2309694006E-03
&Rb-87    &7.4896126289E-03
&Sr-84    &1.8389051488E-07
&Sr-86    &2.8671474935E-07
&Sr-87    &5.8890888887E-08
&Sr-88    &3.3213682862E-03
&Y-89     &2.2241997515E-03
&Zr-90    &3.7086130640E-03
&Zr-91    &5.2752137577E-03
&Zr-92    &4.4290077614E-03
&Zr-94    &2.7208643560E-03
&Zr-96    &2.9669464562E-03
&Nb-93    &1.3432506350E-03
&Mo-92    &6.9519543428E-07
&Mo-94    &2.7185541486E-09
&Mo-95    &5.4971936933E-03
&Mo-96    &1.7859003886E-05
&Mo-97    &2.0421634031E-03
&Mo-98    &4.6736997367E-03
&Mo-100   &1.7494171121E-03
&Ru-96    &3.8212031755E-11
&Ru-98    &5.6856706201E-13
&Ru-99    &3.3458904885E-03
&Ru-100   &5.8547358035E-15
&Ru-101   &1.3408104158E-03
&Ru-102   &9.6426459891E-04
&Ru-104   &1.8098625406E-03
&Rh-103   &1.3959853710E-03
&Pd-102   &6.6250449836E-15
&Pd-104   &4.1065788046E-16
&Pd-105   &2.7309552623E-03
&Pd-106   &1.9966293138E-03
&Pd-108   &3.4342684256E-03
&Pd-110   &2.9295630989E-03
&Ag-107   &2.6032337918E-03
&Ag-109   &2.4841931010E-03
&Cd-106   &1.2045981828E-15
&Cd-108   &1.2484921249E-15
&Cd-110   &8.2863841856E-16
&Cd-111   &4.2536820157E-03
&Cd-112   &1.6635994049E-03
&Cd-113   &4.8943195502E-04
&Cd-114   &1.8958502630E-04
&Cd-116   &8.0972371986E-05
&In-113   &1.4503002489E-16
&In-115   &8.2760132542E-05
&Sn-112   &7.7424853390E-15
&Sn-114   &9.0046486916E-15
&Sn-115   &1.4280482505E-16
&Sn-116   &5.8987097527E-15
&Sn-117   &5.9497443361E-05
&Sn-118   &6.4884527165E-05
&Sn-119   &6.2877646931E-05
&Sn-120   &5.8764477534E-05
&Sn-122   &5.6353761032E-05
&Sn-124   &1.1943572631E-04
&Sb-121   &8.1415211757E-05
&Sb-123   &6.3148471253E-05
&Te-120   &8.6867201390E-16
&Te-122   &9.0908164302E-17
&Te-123   &6.7059522498E-17
&Te-124   &1.3558617676E-16
&Te-125   &5.3140472452E-04
&Te-126   &1.6185253569E-03
&Te-128   &3.6668693151E-03
&Te-130   &6.0027290945E-04
&I-127    &2.5598398947E-03
&Xe-124   &3.4201571583E-15
&Xe-126   &2.3291691786E-15
&Xe-128   &2.9429142979E-16
&Xe-129   &1.6332466790E-03
&Xe-130   &4.7608775660E-16
&Xe-131   &7.8101714177E-05
&Xe-132   &1.1912569847E-05
&Xe-134   &7.3093664413E-08
&Xe-136   &3.7171338292E-06
&Cs-133   &1.2104787110E-06
&Ba-130   &8.5016635194E-15
&Ba-132   &1.2224597870E-15
&Ba-134   &1.6235958123E-16
&Ba-135   &1.8098725415E-09
&Ba-136   &2.0436535369E-15
&Ba-137   &1.6514883173E-08
&Ba-138   &1.2136189930E-09
&La-138   &1.4696819896E-18
&La-139   &1.1161402386E-08
&Ce-136   &1.4291483493E-14
&Ce-138   &2.0103105424E-15
&Ce-140   &1.8972203860E-09
&Ce-142   &5.8951594339E-09
&Pr-141   &3.1730249638E-10
&Nd-142   &7.4914127906E-14
&Nd-143   &1.8564867278E-09
&Nd-144   &2.2435314876E-09
&Nd-145   &3.6093741515E-09
&Nd-146   &2.5165060030E-09
&Nd-148   &1.0093806507E-09
&Nd-150   &6.2949953424E-09
&Sm-144   &1.0228818632E-13
&Sm-147   &3.9828776952E-09
&Sm-148   &1.2000977787E-18
&Sm-149   &8.7942197934E-09
&Sm-150   &2.7560475158E-18
&Sm-152   &3.5549392628E-08
&Sm-154   &4.3116872250E-08
&Eu-151   &3.7607677479E-08
&Eu-153   &2.8659673875E-08
&Gd-152   &2.7572076200E-17
&Gd-154   &4.0025694637E-17
&Gd-155   &9.3033755198E-09
&Gd-156   &7.0244608545E-09
&Gd-157   &3.4403689735E-08
&Gd-158   &4.6559381416E-08
&Gd-160   &1.9630662995E-08
&Tb-159   &1.5981535274E-08
&Dy-156   &8.1165889366E-16
&Dy-158   &9.1492916818E-17
&Dy-160   &2.0834671125E-15
&Dy-161   &1.6421574793E-08
&Dy-162   &1.9465148131E-08
&Dy-163   &1.7544575647E-08
&Dy-164   &9.0503027918E-09
&Ho-165   &1.7307254334E-08
&Er-162   &1.3855944378E-15
&Er-164   &1.2411314638E-16
&Er-166   &3.1154497931E-08
&Er-167   &1.0650256481E-08
&Er-168   &2.3101674721E-08
&Er-170   &1.7705990144E-08
&Tm-169   &1.3334397539E-08
&Yb-168   &1.2733643586E-15
&Yb-170   &3.0051298854E-16
&Yb-171   &4.4143364438E-09
&Yb-172   &6.6140940001E-09
&Yb-173   &1.5079354250E-08
&Yb-174   &8.1928257833E-09
&Yb-176   &1.1781058036E-08
&Lu-175   &1.7267250741E-08
&Lu-176   &4.7920603665E-17
&Hf-174   &3.5580695440E-16
&Hf-176   &1.2113587900E-16
&Hf-177   &5.3547308989E-09
&Hf-178   &5.3146072955E-09
&Hf-179   &4.9888080361E-09
&Hf-180   &5.5610594290E-09
&Ta-180   &9.5079838953E-18
&Ta-181   &1.0084605681E-08
&W-180    &1.0637855367E-15
&W-182    &1.3887947252E-08
&W-183    &5.3183576323E-08
&W-184    &5.9127210111E-08
&W-186    &9.7127822879E-08
&Re-185   &8.6877902351E-08
&Re-187   &1.5430185758E-07
&Os-184   &4.5109351191E-16
&Os-186   &7.7931798918E-17
&Os-187   &5.4940234086E-18
&Os-188   &1.7514672962E-07
&Os-189   &2.9202622636E-07
&Os-190   &3.7591476024E-07
&Os-192   &5.5275764219E-07
&Ir-191   &3.0130906004E-07
&Ir-193   &7.9457135905E-08
&Pt-190   &2.4342386147E-16
&Pt-192   &2.3364898360E-16
&Pt-194   &1.4261480798E-07
&Pt-195   &1.3607522068E-07
&Pt-196   &1.5301674216E-07
&Pt-198   &1.9207224967E-08
&Au-197   &9.2918644860E-09
&Hg-196   &1.4819330898E-13
&Hg-198   &1.4001457446E-14
&Hg-199   &1.1203806194E-09
&Hg-200   &4.5360373735E-09
&Hg-201   &4.1962868611E-10
&Hg-202   &2.2205294218E-09
&Hg-204   &2.7590477852E-09
&Tl-203   &7.3910237748E-10
&Tl-205   &1.8625372712E-09
&Pb-204   &1.5567498090E-12
&Pb-206   &5.0950575781E-09
&Pb-207   &9.9674251569E-09
&Pb-208   &9.2966849189E-09
&Bi-209   &7.8371438401E-09
&Th-232   &1.6201355015E-08
&U-235    &1.6534984978E-08
&U-238    &3.3637820953E-11
