H Mass fractions of material from MHD Jets
H prompt explosion, Nishimura et al. 2015
H Metallicity header is dummy argument
&Isotopes &Z=0.02
&H-1      &1.0004744191E-05
&H-2      &2.6014799539E-14
&He-3     &9.3884934670E-13
&He-4     &5.6241331984E-02
&Li-6     &2.6465748913E-14
&Li-7     &3.3553398682E-13
&Be-9     &1.6759767450E-16
&B-10     &1.1273834555E-14
&B-11     &1.0576921902E-10
&C-12     &1.6076881216E-05
&C-13     &5.2975881424E-09
&N-14     &9.1523186256E-08
&N-15     &3.2857988860E-07
&O-16     &3.1749000052E-06
&O-17     &6.8681463288E-06
&O-18     &7.0987306403E-05
&F-19     &4.0271853063E-05
&Ne-20    &1.0149015930E-05
&Ne-21    &4.9069724077E-06
&Ne-22    &3.1027641354E-04
&Na-23    &6.1214499071E-07
&Mg-24    &1.8873448622E-07
&Mg-25    &5.8395589583E-06
&Mg-26    &6.3008177510E-06
&Al-27    &6.4119771225E-07
&Si-28    &3.3585459069E-06
&Si-29    &2.5728159645E-06
&Si-30    &2.1210750991E-05
&P-31     &3.1704516265E-06
&S-32     &8.3424632423E-06
&S-33     &2.5527682040E-06
&S-34     &5.0152663822E-05
&S-36     &1.3432700835E-06
&Cl-35    &1.2740497051E-05
&Cl-37    &4.6986500272E-06
&Ar-36    &1.7210817013E-05
&Ar-38    &1.2163009338E-05
&Ar-40    &3.6977648344E-06
&K-39     &1.2752118941E-05
&K-40     &1.0373639014E-08
&K-41     &1.7148098882E-05
&Ca-40    &3.4637139937E-04
&Ca-42    &2.1668012254E-05
&Ca-43    &7.2778981068E-06
&Ca-44    &1.2437826964E-04
&Ca-46    &1.3783661879E-05
&Ca-48    &2.2658077066E-02
&Sc-45    &9.1349358848E-06
&Ti-46    &1.2919133518E-05
&Ti-47    &5.5010814272E-05
&Ti-48    &2.2415420015E-04
&Ti-49    &2.3963836497E-03
&Ti-50    &3.1720346081E-02
&V-50     &3.8600404847E-09
&V-51     &1.1483329143E-02
&Cr-50    &8.1977606914E-05
&Cr-52    &2.5871930441E-02
&Cr-53    &6.9408432553E-03
&Cr-54    &5.1041638228E-03
&Mn-55    &1.2143873295E-03
&Fe-54    &5.7708194857E-03
&Fe-56    &2.5513355055E-01
&Fe-57    &7.9256080850E-03
&Fe-58    &4.5950348654E-03
&Co-59    &6.4307324486E-03
&Ni-58    &5.9017661271E-02
&Ni-60    &5.1646677835E-02
&Ni-61    &1.4954968064E-03
&Ni-62    &1.3942160415E-02
&Ni-64    &7.0715193872E-03
&Cu-63    &8.0987842668E-04
&Cu-65    &1.0129779698E-03
&Zn-64    &2.0337205646E-02
&Zn-66    &9.1695210268E-03
&Zn-67    &5.2100632871E-04
&Zn-68    &1.1603154838E-02
&Zn-70    &9.2753503590E-03
&Ga-69    &7.3209491946E-04
&Ga-71    &8.1977306348E-04
&Ge-70    &8.1288909735E-05
&Ge-72    &5.9882390009E-03
&Ge-73    &1.5662901475E-03
&Ge-74    &2.3895708176E-03
&Ge-76    &1.1537531234E-02
&As-75    &2.6786352779E-03
&Se-74    &1.3522670294E-05
&Se-76    &5.2741039093E-06
&Se-77    &2.5129431926E-03
&Se-78    &3.6742605635E-02
&Se-80    &3.9000458358E-02
&Se-82    &3.2384997970E-02
&Br-79    &1.1135774515E-02
&Br-81    &3.5286262576E-02
&Kr-78    &3.0242161883E-06
&Kr-80    &3.3160658947E-07
&Kr-82    &9.4521533720E-07
&Kr-83    &6.3929512868E-03
&Kr-84    &1.6375944509E-02
&Kr-86    &2.0131918983E-03
&Rb-85    &4.3148471246E-03
&Rb-87    &2.8622811796E-03
&Sr-84    &2.3555066569E-07
&Sr-86    &2.0765011429E-07
&Sr-87    &1.5626432785E-07
&Sr-88    &2.0258657699E-03
&Y-89     &8.3174761786E-04
&Zr-90    &1.8075645940E-03
&Zr-91    &1.8905609197E-03
&Zr-92    &1.5999535533E-03
&Zr-94    &8.4307996262E-04
&Zr-96    &1.2327118442E-03
&Nb-93    &5.1417546260E-04
&Mo-92    &1.9384911976E-06
&Mo-94    &3.0434624391E-09
&Mo-95    &1.8266004485E-03
&Mo-96    &8.2908259823E-06
&Mo-97    &7.3423995970E-04
&Mo-98    &1.4206057472E-03
&Mo-100   &5.6714122497E-04
&Ru-96    &1.0205422173E-10
&Ru-98    &3.4738530909E-13
&Ru-99    &1.0239185768E-03
&Ru-100   &6.5902629284E-15
&Ru-101   &5.0178612697E-04
&Ru-102   &5.4920945001E-04
&Ru-104   &1.0180174619E-03
&Rh-103   &9.7778167673E-04
&Pd-102   &8.1261958973E-15
&Pd-104   &3.5742221386E-16
&Pd-105   &1.3772340555E-03
&Pd-106   &1.0428742803E-03
&Pd-108   &2.1703479056E-03
&Pd-110   &1.3272899845E-03
&Ag-107   &1.3694193363E-03
&Ag-109   &1.5148933403E-03
&Cd-106   &5.8067772130E-15
&Cd-108   &1.0686628537E-15
&Cd-110   &3.5562382655E-16
&Cd-111   &1.7297079491E-03
&Cd-112   &6.6687808188E-04
&Cd-113   &2.1551192220E-04
&Cd-114   &1.0215541233E-04
&Cd-116   &7.8510175919E-05
&In-113   &5.7709797877E-16
&In-115   &7.4891259598E-05
&Sn-112   &1.1358494013E-14
&Sn-114   &3.3048347405E-15
&Sn-115   &6.1067522236E-16
&Sn-116   &1.9740080946E-15
&Sn-117   &5.9751142802E-05
&Sn-118   &6.0780982531E-05
&Sn-119   &5.8602178699E-05
&Sn-120   &5.5265994911E-05
&Sn-122   &1.2918231819E-04
&Sn-124   &7.4337216043E-04
&Sb-121   &1.1011540517E-04
&Sb-123   &3.2973406252E-04
&Te-120   &1.3149968301E-15
&Te-122   &3.8774933577E-17
&Te-123   &9.1469184543E-17
&Te-124   &1.3211083413E-16
&Te-125   &2.7858872898E-03
&Te-126   &7.7281962548E-03
&Te-128   &2.3202001562E-02
&Te-130   &1.2864230106E-02
&I-127    &1.1534425384E-02
&Xe-124   &3.9215062571E-15
&Xe-126   &3.0796405816E-16
