&H-1      &1.18946E-01
&H-2      &1.34356E-05
&He-3     &2.47247E-05
&He-4     &2.79110E-01
&Li-6     &3.61651E-12
&Li-7     &7.54164E-18
&Be-9     &3.73194E-21
&B-10     &2.09225E-18
&B-11     &1.80734E-11
&C-12     &1.06474E-08
&C-13     &6.29786E-08
&N-14     &1.07177E-06
&N-15     &7.15006E-07
&O-16     &3.98909E-06
&O-17     &3.33036E-04
&O-18     &2.55670E-05
&F-19     &1.35191E-05
&Ne-20    &9.21302E-05
&Ne-21    &7.45710E-05
&Ne-22    &5.61323E-05
&Na-23    &9.80148E-08
&Mg-24    &1.78275E-07
&Mg-25    &6.53620E-08
&Mg-26    &1.92938E-07
&Al-27    &2.18497E-10
&Si-28    &1.47424E-09
&Si-29    &7.50070E-10
&Si-30    &1.12566E-08
&P-31     &1.43000E-09
&S-32     &8.87470E-09
&S-33     &7.16035E-09
&S-34     &2.99176E-07
&S-36     &8.99206E-10
&Cl-35    &9.61767E-09
&Cl-37    &7.92826E-08
&Ar-36    &0.00000E+00
&Ar-38    &2.88829E-08
&Ar-40    &5.25525E-09
&K-39     &4.73846E-08
&K-40     &0.00000E+00
&K-41     &2.96012E-09
&Ca-40    &0.00000E+00
&Ca-42    &8.44992E-05
&Ca-43    &3.57717E-05
&Ca-44    &3.66707E-06
&Ca-46    &2.52258E-05
&Ca-48    &1.99654E-05
&Sc-45    &5.80200E-07
&Ti-46    &0.00000E+00
&Ti-47    &1.96830E-06
&Ti-48    &0.00000E+00
&Ti-49    &7.01208E-06
&Ti-50    &4.65059E-06
&V-50     &0.00000E+00
&V-51     &1.17801E-05
&Cr-50    &0.00000E+00
&Cr-52    &4.97422E-05
&Cr-53    &4.52680E-06
&Cr-54    &1.44762E-06
&Mn-55    &1.07790E-05
&Fe-54    &0.00000E+00
&Fe-56    &4.05731E-05
&Fe-57    &4.71932E-07
&Fe-58    &1.68880E-05
&Co-59    &1.11761E-06
&Ni-58    &0.00000E+00
&Ni-60    &2.16288E-06
&Ni-61    &1.39322E-05
&Ni-62    &4.40164E-05
&Ni-64    &1.13576E-05
&Cu-63    &1.90231E-06
&Cu-65    &8.28029E-07
&Zn-64    &0.00000E+00
&Zn-66    &2.36865E-06
&Zn-67    &2.20776E-06
&Zn-68    &1.12881E-06
&Zn-70    &2.49188E-05
&Ga-69    &8.84364E-06
&Ga-71    &8.95380E-06
&Ge-70    &0.00000E+00
&Ge-72    &3.59014E-05
&Ge-73    &6.64612E-06
&Ge-74    &1.14762E-05
&Ge-76    &6.15468E-04
&As-75    &4.68878E-05
&Se-74    &0.00000E+00
&Se-76    &0.00000E+00
&Se-77    &6.26325E-05
&Se-78    &1.89494E-04
&Se-80    &3.27455E-03
&Se-82    &6.08654E-04
&Br-79    &7.77603E-05
&Br-81    &3.59982E-05
&Kr-78    &0.00000E+00
&Kr-80    &0.00000E+00
&Kr-82    &0.00000E+00
&Kr-83    &1.16138E-04
&Kr-84    &3.74562E-05
&Kr-86    &6.13420E-04
&Rb-85    &4.00243E-04
&Rb-87    &3.69891E-05
&Sr-84    &0.00000E+00
&Sr-86    &0.00000E+00
&Sr-87    &0.00000E+00
&Sr-88    &8.14506E-05
&Y-89     &6.12446E-05
&Zr-90    &2.90880E-05
&Zr-91    &4.35904E-05
&Zr-92    &4.11861E-05
&Zr-94    &2.76119E-04
&Zr-96    &1.05691E-04
&Nb-93    &6.60970E-05
&Mo-92    &0.00000E+00
&Mo-94    &0.00000E+00
&Mo-95    &4.11688E-05
&Mo-96    &0.00000E+00
&Mo-97    &2.83266E-05
&Mo-98    &1.48409E-05
&Mo-100   &3.41916E-05
&Ru-96    &0.00000E+00
&Ru-98    &0.00000E+00
&Ru-99    &2.88668E-05
&Ru-100   &0.00000E+00
&Ru-101   &6.35178E-05
&Ru-102   &7.34229E-05
&Ru-104   &1.16818E-04
&Rh-103   &7.33235E-05
&Pd-102   &0.00000E+00
&Pd-104   &0.00000E+00
&Pd-105   &7.53747E-05
&Pd-106   &1.26384E-04
&Pd-108   &2.47039E-04
&Pd-110   &9.18445E-05
&Ag-107   &8.68636E-05
&Ag-109   &1.91368E-04
&Cd-106   &0.00000E+00
&Cd-108   &0.00000E+00
&Cd-110   &0.00000E+00
&Cd-111   &5.38246E-05
&Cd-112   &2.27526E-05
&Cd-113   &2.93806E-05
&Cd-114   &5.53183E-05
&Cd-116   &1.12406E-04
&In-113   &0.00000E+00
&In-115   &4.29191E-05
&Sn-112   &0.00000E+00
&Sn-114   &0.00000E+00
&Sn-115   &0.00000E+00
&Sn-116   &0.00000E+00
&Sn-117   &2.22311E-05
&Sn-118   &2.57235E-05
&Sn-119   &2.93779E-05
&Sn-120   &7.65969E-05
&Sn-122   &3.00544E-04
&Sn-124   &9.03800E-04
&Sb-121   &4.51696E-04
&Sb-123   &4.70342E-04
&Te-120   &0.00000E+00
&Te-122   &0.00000E+00
&Te-123   &0.00000E+00
&Te-124   &0.00000E+00
&Te-125   &6.09701E-04
&Te-126   &1.35210E-03
&Te-128   &1.79281E-03
&Te-130   &9.37163E-04
&I-127    &4.51847E-04
&Xe-124   &0.00000E+00
&Xe-126   &0.00000E+00
&Xe-128   &0.00000E+00
&Xe-129   &8.58674E-04
&Xe-130   &0.00000E+00
&Xe-131   &1.10532E-03
&Xe-132   &1.17266E-01
&Xe-134   &8.40012E-03
&Xe-136   &2.47258E-01
&Cs-133   &7.71454E-02
&Ba-130   &0.00000E+00
&Ba-132   &0.00000E+00
&Ba-134   &0.00000E+00
&Ba-135   &1.00966E-03
&Ba-136   &0.00000E+00
&Ba-137   &1.00022E-02
&Ba-138   &4.25963E-04
&La-138   &0.00000E+00
&La-139   &4.32386E-03
&Ce-136   &0.00000E+00
&Ce-138   &0.00000E+00
&Ce-140   &1.01017E-02
&Ce-142   &9.62769E-03
&Pr-141   &1.61521E-04
&Nd-142   &0.00000E+00
&Nd-143   &5.08081E-04
&Nd-144   &3.81698E-04
&Nd-145   &7.79495E-04
&Nd-146   &5.94873E-04
&Nd-148   &8.89259E-04
&Nd-150   &2.58660E-03
&Sm-144   &0.00000E+00
&Sm-147   &1.00370E-03
&Sm-148   &0.00000E+00
&Sm-149   &1.59369E-03
&Sm-150   &0.00000E+00
&Sm-152   &1.21538E-03
