H Yields (Msun) of stable (?) isotopes
H Tielemann et al. 1986, Table 5
&Isotopes  &Z=0.02
&H-1       &5.03873238e-03
&He-4      &3.89046973e-01
&Li-7      &1.00903351e-15
&B-11      &1.87067545e-13
&C-12      &3.96695160e-01      
&N-14      &1.31279490e-03    
&O-16      &1.87561378e-01
&F-19      &8.60472707e-07    
&Ne-22     &1.66853843e-02
&Na-23     &3.33817681e-04
&Mg-24     &1.63886513e-03    
&Al-27     &9.29145742e-05
&Si-28     &4.54057587e-04
&P-31      &8.32246258e-05
&S-32      &1.00481024e-04
&Cl-35     &5.69207478e-06
&Ar-36     &2.80965863e-05    
&K-39      &6.52910848e-06
&Ca-40     &2.18850069e-05
&Sc-45     &1.58703688e-06
&Ti-48     &4.85809805e-06
&V-51      &1.37106252e-07
&Cr-52     &3.63725942e-06
&Mn-55     &1.20741151e-06
&Fe-56     &1.93802145e-04
&Co-59     &1.37600354e-05
&Ni-60     &1.33486073e-04
&Cu-65     &3.97395477e-05
&Zn-66     &1.37762838e-04
&Ga-69     &1.57772032e-05
&Ge-70     &6.79515583e-05
&As-75     &6.21347913e-06
&Se-80     &7.74902265e-05
&Br-79     &1.08113961e-05
&Kr-84     &9.37113870e-05
&Rb-85     &3.17487354e-05
&Sr-88     &1.75833910e-05
&Y-89      &8.55743143e-06
&Zr-90     &2.15295393e-05
&Nb-93     &1.12635453e-06
&Mo-98     &5.55573961e-06
&Ru-102    &7.45358448e-07
&Rh-103    &9.10390346e-08
&Pd-106    &8.14634212e-07
&Ag-107    &9.98807055e-08
&Cd-114    &8.39421200e-07
&In-115    &7.69457571e-08
&Sn-120    &1.53307944e-06
&Sb-121    &1.55651202e-07
&Te-130    &3.51013945e-07
&I-127     &3.60990172e-08
&Xe-129    &2.05758085e-07
&Cs-133    &2.18576274e-08
&Ba-138    &6.14926234e-08
&La-139    &2.38124628e-09
&Ce-140    &3.52230683e-09
&Pr-141    &6.88758331e-10
&Nd-142    &3.34856764e-09
&Sm-152    &6.97990123e-10
&Eu-153    &2.37721709e-10
&Gd-158    &9.41353573e-10
&Tb-159    &1.00539431e-10
&Dy-164    &6.08792531e-10
&Ho-165    &1.34265325e-10
&Er-166    &1.00112119e-09
&Tm-169    &1.15808459e-10
&Yb-174    &1.70696218e-09
&Lu-175    &2.05756334e-10
&Hf-180    &1.07681930e-09
&Ta-181    &2.48675855e-10
&W-184     &1.34499708e-09
&Re-187    &3.33996204e-10
&Os-192    &1.84257276e-09
&Ir-193    &5.95019593e-10
&Pt-195    &2.37596640e-09
&Au-197    &3.48916581e-10
&Hg-202    &5.05565454e-09
&Tl-205    &2.02687447e-09
&Pb-208    &5.25450923e-08
&Bi-209    &3.14157379e-09
