H Yields (Msun) of stable (?) isotopes
H Tielemann et al. 1986, Table 5
&Isotopes  &Z=0.02
&H-1       &3.17368396e-11
&He-4      &3.98472866e-01
&Li-7      &2.37216671e-16
&B-11      &6.11740528e-25
&C-12      &4.00139339e-01      
&N-14      &1.72763895e-02    
&O-16      &1.66905991e-01
&F-19      &8.45939474e-07    
&Ne-22     &1.44768032e-02    
&Na-23     &3.13400517e-04    
&Mg-24     &1.01927920e-03    
&Al-27     &2.62176588e-05    
&Si-28     &3.93266684e-04     
&P-31      &4.27363175e-05    
&S-32      &6.74666685e-05     
&Cl-35     &6.34322246e-06    
&Ar-36     &3.14767713e-05    
&K-39      &7.45355054e-06    
&Ca-40     &2.27888508e-05      
&Sc-45     &1.04467510e-06       
&Ti-48     &2.88575691e-06             
&V-51      &1.63398748e-07    
&Cr-52     &6.88240980e-06        
&Mn-55     &2.70977708e-06          
&Fe-56     &3.83670667e-04    
&Co-59     &4.01184648e-05        
&Ni-60     &1.34841396e-04             
&Cu-65     &3.63603994e-05    
&Zn-66     &1.04790157e-04         
&Ga-69     &8.77235202e-06    
&Ge-70     &2.58722527e-05
&As-75    &2.84088176e-06  
&Se-80    &2.58458718e-05 
&Br-79    &3.12120078e-06  
&Kr-84    &9.83492755e-06 
&Rb-85    &3.15524836e-06 
&Sr-88    &1.51293632e-06 
&Y-89     &4.37668754e-07 
&Zr-90    &1.35476963e-06
&Nb-93    &1.46287416e-07
&Mo-98    &3.60562909e-07
&Ru-102   &8.01208053e-08
&Rh-103   &1.09588342e-08
&Pd-106   &6.44177859e-08
&Ag-107   &1.18177361e-08
&Cd-114   &6.66970616e-08
&In-115   &7.15611941e-09
&Sn-120   &1.31304161e-07
&Sb-121   &1.44101458e-08
&Te-130   &7.64525370e-08
&I-127    &1.03164026e-08
&Xe-129   &5.07456886e-08
&Cs-133   &5.97983008e-09
&Ba-138   &2.11747279e-08
&La-139   &1.05092530e-09
&Ce-140   &3.17314620e-09
&Pr-141   &5.82383082e-10
&Nd-142   &2.11799857e-09
&Sm-152   &7.06074347e-10
&Eu-153   &1.94968954e-10
&Gd-158   &8.35897538e-10
&Tb-159   &1.19528585e-10
&Dy-164   &6.21197731e-10
&Ho-165   &1.18487940e-10
&Er-166   &8.88691082e-10
&Tm-169   &1.37790085e-10
&Yb-174   &1.32513054e-09
&Lu-175   &2.50877267e-10
&Hf-180   &1.06532411e-09
&Ta-181   &2.41986239e-10
&W-184    &1.35901889e-09
&Re-187   &3.82522606e-10
&Os-192   &1.77336430e-09
&Ir-193   &6.06806313e-10
&Pt-195   &2.61783059e-09
&Au-197   &4.12704174e-10
&Hg-202   &7.22622072e-09
&Tl-205   &2.76280643e-09
&Pb-208   &3.06136966e-08
&Bi-209   &1.28737340e-09
