H Yields (Msun) of stable isotopes, and radioactive ones with half-lifes >2Gyr at t=100s
H Seitenzahl et al. 2012, Table 2
H N=100 
&Isotopes  &Z=0.02    &Z=0.01    &Z=0.002   &Z=0.0002
&C-12      &3.04E-03  &3.10e-03  &3.15e-03  &3.16e-03  
&C-13      &1.74E-08  &8.47e-09  &1.91e-09  &2.72e-10  
&N-14      &3.21E-06  &1.80e-06  &4.71e-07  &7.22e-08  
&N-15      &3.67E-09  &2.07e-09  &2.98e-09  &8.73e-08  
&O-16      &1.01E-01  &9.87e-02  &9.64e-02  &9.47e-02  
&O-17      &4.13E-07  &2.84e-07  &9.32e-08  &5.43e-09  
&O-18      &3.53E-09  &2.23e-09  &1.21e-09  &9.93e-10  
&F-19      &4.39E-11  &2.20e-11  &1.48e-11  &4.79e-11  
&Ne-20     &3.53E-03  &3.60e-03  &3.69e-03  &3.74e-03  
&Ne-21     &4.11E-07  &1.97e-07  &4.47e-08  &6.93e-09  
&Ne-22     &4.07E-05  &1.65e-05  &2.30e-06  &1.71e-07  
&Na-23     &3.74E-05  &2.63e-05  &1.96e-05  &1.72e-05  
&Mg-24     &1.52E-02  &2.02e-02  &2.69e-02  &2.90e-02  
&Mg-25     &6.49E-05  &3.09e-05  &1.06e-05  &8.99e-07  
&Mg-26     &9.66E-05  &4.44e-05  &7.36e-06  &1.04e-06  
&Al-27     &6.74E-04  &5.88e-04  &2.68e-04  &8.71e-05  
&Si-28     &2.84E-01  &2.90e-01  &2.94e-01  &2.89e-01  
&Si-29     &1.03E-03  &7.28e-04  &4.30e-04  &1.35e-04  
&Si-30     &2.36E-03  &1.19e-03  &1.44e-04  &1.84e-05  
&P-31      &5.77E-04  &3.58e-04  &1.05e-04  &3.54e-05  
&S-32      &1.11E-01  &1.12e-01  &1.12e-01  &1.15e-01  
&S-33      &3.39E-04  &2.39e-04  &1.04e-04  &4.57e-05  
&S-34      &4.04E-03  &1.86e-03  &2.60e-04  &7.14e-06  
&S-36      &2.47E-07  &3.86e-08  &1.64e-09  &1.73e-11  
&Cl-35     &1.78E-04  &9.91e-05  &2.64e-05  &5.65e-06  
&Cl-37     &3.51E-05  &2.27e-05  &9.14e-06  &3.52e-06  
&Ar-36     &1.77E-02  &1.85e-02  &1.92e-02  &2.04e-02  
&Ar-38     &1.91E-03  &8.31e-04  &1.19e-04  &5.40e-06  
&Ar-40     &5.21E-09  &4.66e-10  &9.87e-12  &5.11e-14  
